月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,45,45~45,优,15,45,38,0.7,25,51
2015-01,55,25~152,良,30,60,45,0.784,27,48
2015-02,53,31~84,良,29,56,52,0.825,17,62
2015-03,48,34~100,优,24,46,41,0.613,13,83
2015-04,55,35~194,良,21,52,29,0.5,15,92
2015-05,42,24~83,优,10,31,25,0.545,20,82
2015-06,41,28~56,优,14,41,14,0.773,11,66
2015-07,55,27~128,良,22,57,15,0.61,12,70
2015-08,47,32~69,优,13,48,15,0.71,13,59
2015-09,42,26~65,优,13,42,18,0.837,12,43
2015-10,58,25~225,良,30,62,23,0.887,22,47
2015-11,93,32~239,良,61,89,27,1.207,21,39
2015-12,56,27~139,良,28,63,35,1.032,16,33
2016-01,44,24~72,优,21,47,28,0.568,13,43
2016-02,51,28~147,良,32,50,32,0.755,17,54
2016-03,49,32~159,优,28,43,24,0.61,13,70
2016-04,40,33~52,优,15,30,21,0.813,11,74
2016-05,52,35~114,良,26,48,20,1.116,11,82
2016-06,42,32~65,优,10,28,29,1.223,17,70
2016-07,52,35~104,良,13,43,25,1.674,18,84
2016-08,51,29~127,良,9,46,24,1.4,17,56
2016-09,44,28~103,优,18,40,25,1.303,20,59
2016-10,38,30~55,优,16,33,31,1.026,24,69
2016-11,48,31~70,优,27,46,36,0.807,28,49
2016-12,53,30~79,良,34,50,39,0.855,29,47
2017-01,51,26~115,良,32,46,31,0.958,23,54
2017-02,42,35~63,优,22,36,25,0.843,18,74
2017-03,39,31~48,优,15,30,29,0.665,17,77
2017-04,39,30~47,优,11,26,31,0.88,18,76
2017-05,45,26~209,优,10,33,32,0.61,14,78
2017-06,36,26~48,优,13,23,23,0.66,13,69
2017-07,34,21~87,优,13,23,19,0.545,13,67
2017-08,35,18~144,优,14,28,22,0.629,14,58
2017-09,32,20~52,优,10,23,19,0.66,14,63
2017-10,49,30~272,优,25,41,31,0.677,23,65
2017-11,41,27~55,优,22,40,30,0.69,25,50
2017-12,50,28~79,优,30,47,33,0.719,28,52
2018-01,53,30~134,良,31,51,30,0.765,25,66
2018-02,54,37~77,良,34,56,29,0.671,29,74
2018-03,51,40~94,良,23,43,20,0.529,22,92
2018-04,64,49~113,良,19,39,12,0.4,14,108
