‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,98,34~279,¡º,68,110,111,1.803,54,20
2014-01,94,32~280,¡º,67,109,94,2.997,55,36
2014-02,106,28~253,«·∂»Œ€»æ,77,117,73,2.804,43,52
2014-03,73,31~129,¡º,31,97,59,2.523,39,73
2014-04,79,50~197,¡º,38,107,37,2.2,37,97
2014-05,102,44~252,«·∂»Œ€»æ,45,148,26,1.148,26,104
2014-06,61,44~86,¡º,29,61,21,1.123,23,106
2014-07,72,30~135,¡º,40,73,24,1.113,26,111
2014-08,63,40~114,¡º,33,66,24,1.29,27,107
2014-09,60,31~108,¡º,34,64,20,1.267,26,83
2014-10,63,28~97,¡º,32,74,16,1.316,24,69
2014-11,64,31~102,¡º,34,81,50,1.74,22,49
2014-12,91,48~199,¡º,53,123,76,2.419,24,43
2015-01,89,46~173,¡º,60,118,76,2.639,35,47
2015-02,87,43~175,¡º,51,116,55,1.629,27,48
2015-03,86,37~149,¡º,41,121,41,1.416,24,80
2015-04,77,49~164,¡º,29,100,33,1.08,22,110
2015-05,93,57~201,¡º,33,99,25,0.794,19,141
2015-06,82,44~124,¡º,30,68,20,0.733,17,135
2015-07,87,53~145,¡º,38,72,23,0.839,20,143
2015-08,61,41~150,¡º,24,62,20,0.748,20,104
2015-09,52,28~94,¡º,27,55,23,1.057,25,79
2015-10,62,32~123,¡º,32,71,41,1.303,30,69
2015-11,73,40~129,¡º,49,77,68,2.207,39,48
2015-12,94,31~179,¡º,65,101,80,2.065,43,44
2016-01,64,36~107,¡º,39,63,67,2.016,29,53
2016-02,70,45~140,¡º,40,70,71,2.145,26,66
2016-03,77,43~151,¡º,39,100,50,1.926,31,88
2016-04,70,45~111,¡º,24,86,27,0.907,25,109
2016-05,81,52~138,¡º,34,93,24,1.103,25,128
2016-06,70,48~107,¡º,30,65,24,1.307,22,121
2016-07,78,41~108,¡º,30,56,20,1.181,22,132
2016-08,59,30~89,¡º,23,50,18,1.235,21,102
2016-09,57,38~82,¡º,26,63,28,1.553,29,83
2016-10,58,33~86,¡º,31,66,28,1.413,31,74
2016-11,88,38~173,¡º,53,109,83,1.757,38,59
2016-12,105,40~210,«·∂»Œ€»æ,73,119,130,2.503,43,47
2017-01,98,34~453,¡º,70,99,100,2.061,40,60
2017-02,78,43~198,¡º,47,75,81,1.318,34,75
2017-03,70,41~138,¡º,40,72,58,1.271,32,96
2017-04,70,49~115,¡º,28,81,31,1.053,28,111
2017-05,109,56~500,«·∂»Œ€»æ,36,137,19,1.074,25,136
2017-06,89,52~129,¡º,25,68,23,1.487,27,145
2017-07,92,35~157,¡º,31,57,25,1.4,28,146
2017-08,72,41~100,¡º,26,49,23,1.471,28,124
2017-09,70,40~105,¡º,35,76,36,1.68,35,105
2017-10,64,23~113,¡º,40,70,30,1.835,36,65
2017-11,70,35~123,¡º,39,83,46,1.827,33,53
2017-12,72,30~192,¡º,45,79,61,1.968,33,46
2018-01,63,33~123,¡º,38,71,47,1.848,31,54
2018-02,68,35~154,¡º,37,80,43,1.643,24,81
2018-03,107,52~500,«·∂»Œ€»æ,56,143,35,1.635,32,95
2018-04,105,45~324,«·∂»Œ€»æ,37,137,20,1,20,91
