月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,58,58~58,良,41,48,19,0.7,30,72
2015-01,51,40~71,良,36,16,13,0.647,18,79
2015-02,58,44~79,良,41,17,5,0.525,19,93
2015-03,71,47~159,良,49,23,6,0.489,22,115
2015-04,57,43~79,良,36,28,5,0.693,21,93
2015-05,77,59~93,良,53,15,8,0.306,20,115
2015-06,55,29~87,良,34,12,6,0.403,14,73
2015-07,38,22~67,优,14,21,7,0.397,12,73
2015-08,27,17~45,优,14,20,7,0.432,12,50
2015-09,24,18~30,优,12,20,5,0.303,10,45
2015-10,35,29~46,优,14,26,9,0.626,14,66
2015-11,33,23~40,优,13,27,9,0.637,11,65
2015-12,37,26~49,优,22,32,10,0.552,12,61
2016-01,37,24~57,优,21,33,11,0.487,12,66
2016-02,50,31~88,优,34,42,8,0.41,11,69
2016-03,49,36~109,优,30,44,8,0.335,13,90
2016-04,45,35~62,优,23,39,9,0.53,15,87
2016-05,44,26~63,优,23,36,7,0.581,16,85
2016-06,29,0~46,优,18,23,5,0.51,14,51
2016-07,24,15~54,优,15,20,5,0.532,13,32
2016-08,35,22~49,优,22,31,7,0.629,21,58
2016-09,30,19~52,优,17,25,6,0.567,15,50
2016-10,31,18~43,优,14,25,7,0.642,15,59
2016-11,34,18~47,优,15,25,8,0.65,13,64
2016-12,37,25~54,优,19,34,13,0.887,18,65
2017-01,48,28~69,优,25,33,10,0.839,15,93
2017-02,60,42~80,良,33,41,10,0.814,15,109
2017-03,64,38~87,良,37,45,9,0.923,17,114
2017-04,65,43~113,良,37,46,9,0.9,18,114
2017-05,60,44~79,良,31,46,8,0.923,18,108
2017-06,46,25~84,优,15,30,7,0.667,15,87
2017-07,40,20~70,优,17,31,9,0.752,20,73
2017-08,36,20~57,优,13,28,8,0.745,19,68
2017-09,35,23~52,优,17,32,7,0.677,19,64
2017-10,38,22~57,优,19,35,7,0.697,21,67
2017-11,44,31~54,优,16,36,9,0.807,22,85
2017-12,45,35~58,优,18,44,7,0.803,21,82
2018-01,47,27~74,优,19,41,5,0.781,17,84
2018-02,59,49~72,良,25,50,6,0.829,12,109
2018-03,73,52~90,良,30,60,6,0.829,19,127
2018-04,75,41~90,良,26,61,6,0.725,20,129
