‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,86,33~219,¡º,59,95,57,0.893,40,35
2014-01,99,41~269,¡º,71,107,61,0.981,41,38
2014-02,99,35~200,¡º,71,101,61,0.861,40,55
2014-03,96,52~191,¡º,68,111,43,0.761,44,66
2014-04,83,45~192,¡º,56,106,15,0.777,51,81
2014-05,67,45~110,¡º,38,82,8,0.616,41,90
2014-06,62,30~166,¡º,41,67,5,0.58,31,75
2014-07,70,37~150,¡º,46,68,7,0.735,31,101
2014-08,68,38~133,¡º,42,63,9,0.894,29,109
2014-09,57,36~108,¡º,29,52,8,0.777,34,93
2014-10,73,31~173,¡º,49,82,12,0.703,35,68
2014-11,97,43~227,¡º,69,106,51,1.057,47,49
2014-12,74,32~343,¡º,48,80,59,0.91,44,36
2015-01,79,32~181,¡º,55,82,60,0.874,38,46
2015-02,98,34~435,¡º,59,109,57,0.889,32,58
2015-03,84,42~193,¡º,56,105,44,0.806,42,78
2015-04,79,42~148,¡º,46,87,15,0.637,35,113
2015-05,84,45~141,¡º,31,70,15,0.555,33,136
2015-06,77,43~105,¡º,31,59,12,0.627,25,131
2015-07,73,42~120,¡º,25,50,8,0.555,20,126
2015-08,88,39~151,¡º,36,61,10,0.765,22,144
2015-09,80,42~119,¡º,24,47,12,0.703,30,134
2015-10,68,33~121,¡º,34,68,13,0.774,34,101
2015-11,123,38~460,«·∂»Œ€»æ,93,121,43,1.083,41,67
2015-12,113,35~315,«·∂»Œ€»æ,82,113,65,1.216,42,56
2016-01,80,37~284,¡º,53,87,60,1.039,34,62
2016-02,64,42~158,¡º,39,65,54,0.945,29,79
2016-03,77,43~190,¡º,48,92,38,1.061,34,99
2016-04,85,44~150,¡º,46,106,17,0.937,33,118
2016-05,90,53~153,¡º,38,72,16,1,35,144
2016-06,99,50~182,¡º,30,49,13,0.907,23,156
2016-07,74,36~165,¡º,24,39,9,0.958,19,127
2016-08,70,32~126,¡º,19,36,10,0.945,21,123
2016-09,81,41~187,¡º,28,47,11,1.027,25,135
2016-10,61,32~132,¡º,31,57,15,0.99,32,95
2016-11,73,36~218,¡º,49,78,32,1.05,38,73
2016-12,85,32~216,¡º,59,84,36,1.145,40,66
2017-01,77,35~223,¡º,53,76,36,1.126,35,70
2017-02,74,42~175,¡º,49,73,30,0.904,30,86
2017-03,74,40~133,¡º,50,79,27,0.91,38,100
2017-04,77,49~114,¡º,40,76,14,0.83,30,123
2017-05,89,46~240,¡º,30,74,11,0.69,24,135
2017-06,96,42~205,¡º,29,49,10,0.813,23,154
2017-07,87,46~188,¡º,27,44,9,0.932,20,142
2017-08,62,33~110,¡º,16,29,8,0.81,17,110
2017-09,91,37~140,¡º,27,50,11,0.943,21,147
2017-10,57,30~98,¡º,27,48,11,0.932,28,97
2017-11,54,29~122,¡º,28,58,17,0.887,32,72
2017-12,57,33~134,¡º,33,61,24,0.977,37,57
2018-01,63,33~229,¡º,37,71,23,1.035,35,59
2018-02,68,35~168,¡º,43,70,21,0.979,31,79
2018-03,67,45~140,¡º,43,71,15,0.919,36,101
2018-04,63,47~92,¡º,25,67,9,0.75,23,97
