‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,112,112~112,«·∂»Œ€»æ,59,175,63,0.9,59,77
2015-01,118,71~203,«·∂»Œ€»æ,89,136,54,1.255,50,60
2015-02,106,66~202,«·∂»Œ€»æ,76,125,43,0.979,34,82
2015-03,85,47~184,¡º,53,104,24,0.794,32,98
2015-04,70,47~104,¡º,27,71,13,0.81,26,116
2015-05,67,43~103,¡º,25,65,11,0.648,22,109
2015-06,63,30~108,¡º,19,49,12,0.73,24,110
2015-07,69,51~97,¡º,16,36,10,0.6,19,122
2015-08,60,41~128,¡º,18,43,10,0.516,22,101
2015-09,47,34~74,”≈,14,25,6,0.697,29,88
2015-10,53,35~84,¡º,19,40,10,0.916,40,72
2015-11,64,38~95,¡º,37,68,45,1.603,46,37
2015-12,83,45~139,¡º,53,88,84,1.7,61,42
2016-01,84,36~140,¡º,53,85,71,1.732,58,52
2016-02,82,36~147,¡º,50,105,55,1.493,44,65
2016-03,70,39~128,¡º,33,82,26,0.842,40,87
2016-04,59,40~73,¡º,25,58,10,0.687,33,100
2016-05,67,43~127,¡º,36,70,11,0.758,24,108
2016-06,67,47~87,¡º,28,52,11,0.753,26,120
2016-07,69,43~106,¡º,25,46,8,0.574,22,119
2016-08,75,48~113,¡º,30,50,8,0.623,19,129
2016-09,69,45~94,¡º,27,49,10,0.76,31,114
2016-10,58,34~108,¡º,32,58,13,0.768,30,84
2016-11,101,63~168,«·∂»Œ€»æ,67,147,51,1.42,49,62
2016-12,131,71~216,«·∂»Œ€»æ,97,168,57,1.671,60,57
2017-01,119,58~272,«·∂»Œ€»æ,82,152,58,1.323,49,65
2017-02,87,55~155,¡º,61,109,45,1.125,41,86
2017-03,75,43~116,¡º,45,93,28,0.948,44,94
2017-04,74,37~175,¡º,31,84,10,0.54,34,117
2017-05,91,55~310,¡º,30,85,10,0.442,29,131
2017-06,79,51~146,¡º,20,47,10,0.367,23,133
2017-07,76,45~118,¡º,16,39,10,0.397,20,129
2017-08,62,31~99,¡º,16,36,9,0.419,20,112
2017-09,55,38~72,¡º,22,53,9,0.487,26,92
2017-10,52,25~87,¡º,27,58,11,0.677,28,56
2017-11,86,63~130,¡º,56,118,37,1.083,50,55
2017-12,125,57~500,«·∂»Œ€»æ,78,173,50,1.694,59,50
2018-01,103,54~160,«·∂»Œ€»æ,75,128,40,1.49,51,59
2018-02,97,49~235,¡º,64,131,33,1.211,42,84
2018-03,85,39~138,¡º,44,119,16,0.674,41,101
2018-04,108,79~147,«·∂»Œ€»æ,47,165,10,0.463,29,124
