‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,98,98~98,¡º,73,141,66,1.8,90,69
2014-01,110,45~229,«·∂»Œ€»æ,80,121,41,1.535,52,72
2014-02,77,32~244,¡º,54,72,31,1.475,35,80
2014-03,88,39~192,¡º,61,99,41,1.477,40,101
2014-04,82,50~153,¡º,54,80,33,1.037,41,116
2014-05,103,47~222,«·∂»Œ€»æ,66,111,38,1.023,33,148
2014-06,86,38~193,¡º,53,69,31,1.05,34,134
2014-07,90,35~188,¡º,49,62,32,1.19,32,132
2014-08,74,34~150,¡º,39,55,28,1.3,40,119
2014-09,70,39~149,¡º,36,56,17,0.707,29,117
2014-10,88,53~199,¡º,52,86,28,0.758,46,122
2014-11,90,45~187,¡º,62,92,35,1.057,93,83
2014-12,110,48~202,«·∂»Œ€»æ,82,127,43,1.303,62,48
2015-01,122,31~259,«·∂»Œ€»æ,92,125,38,1.229,59,55
2015-02,88,33~218,¡º,61,105,26,0.833,35,74
2015-03,75,40~130,¡º,49,85,24,0.971,35,95
2015-04,90,51~154,¡º,52,93,32,1.127,38,134
2015-05,83,52~173,¡º,40,71,25,0.923,36,137
2015-06,83,39~197,¡º,40,67,19,0.783,39,130
2015-07,77,24~160,¡º,35,58,13,0.761,32,117
2015-08,78,31~150,¡º,34,62,15,0.861,30,121
2015-09,74,37~159,¡º,30,57,18,0.683,32,121
2015-10,79,45~144,¡º,44,93,21,0.9,53,112
2015-11,80,38~144,¡º,50,89,20,0.983,54,55
2015-12,111,60~229,«·∂»Œ€»æ,73,130,26,1.165,65,41
2016-01,92,33~183,¡º,61,111,25,1.061,51,56
2016-02,79,39~166,¡º,49,95,18,0.803,40,72
2016-03,80,42~139,¡º,49,98,17,0.771,46,96
2016-04,92,48~162,¡º,47,96,20,0.917,50,127
2016-05,87,47~169,¡º,41,84,14,0.842,36,134
2016-06,68,40~124,¡º,32,60,21,0.777,37,107
2016-07,78,22~150,¡º,34,62,17,0.752,29,120
2016-08,62,27~124,¡º,22,47,20,0.69,25,107
2016-09,76,27~153,¡º,34,66,21,0.82,32,120
2016-10,50,32~69,¡º,23,49,16,0.694,24,85
2016-11,73,34~134,¡º,47,89,21,0.953,39,65
2016-12,93,0~218,¡º,65,106,21,0.784,36,63
2017-01,76,37~149,¡º,50,79,14,0.79,36,72
2017-02,84,39~150,¡º,55,85,16,0.857,47,93
2017-03,77,49~115,¡º,47,80,15,0.697,52,108
2017-04,100,45~154,¡º,46,96,22,0.77,51,139
2017-05,100,42~174,«·∂»Œ€»æ,33,82,22,0.719,40,148
2017-06,87,47~179,¡º,33,61,15,0.797,40,135
2017-07,108,38~205,«·∂»Œ€»æ,31,61,20,0.806,36,165
2017-08,90,35~183,¡º,28,54,16,0.752,30,142
2017-09,74,39~167,¡º,27,52,15,0.79,36,115
2017-10,60,37~88,¡º,25,50,14,0.484,32,103
2017-11,79,39~129,¡º,46,87,20,0.777,56,79
2017-12,95,40~254,¡º,64,104,21,1.019,64,60
2018-01,99,31~273,¡º,68,94,16,0.923,54,62
2018-02,75,40~178,¡º,49,78,13,0.757,39,90
2018-03,74,42~119,¡º,41,68,14,0.684,49,100
2018-04,79,41~116,¡º,35,87,15,0.6,44,110
