‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,109,109~109,«·∂»Œ€»æ,82,125,29,1.7,31,104
2015-01,119,23~186,«·∂»Œ€»æ,90,141,37,1.719,46,59
2015-02,108,24~182,«·∂»Œ€»æ,75,135,29,2.093,32,74
2015-03,81,30~175,¡º,59,91,32,2.348,28,74
2015-04,72,38~113,¡º,50,82,38,2.017,28,95
2015-05,100,44~276,«·∂»Œ€»æ,71,103,33,1.555,26,102
2015-06,57,33~97,¡º,31,60,32,0.99,17,90
2015-07,57,35~113,¡º,34,65,46,0.877,14,81
2015-08,60,30~93,¡º,38,66,32,1.432,12,80
2015-09,67,35~115,¡º,46,74,31,1.35,11,98
2015-10,89,38~142,¡º,58,96,32,1.274,22,132
2015-11,54,26~92,¡º,34,56,23,1.167,24,65
2015-12,78,32~149,¡º,54,89,20,1.113,26,62
2016-01,86,35~176,¡º,62,97,20,1.184,27,62
2016-02,90,38~331,¡º,63,101,21,1.762,23,98
2016-03,82,38~135,¡º,59,92,31,1.335,30,94
2016-04,63,33~100,¡º,40,59,31,1.15,22,93
2016-05,62,40~102,¡º,37,57,29,1.3,22,101
2016-06,58,36~82,¡º,35,54,21,1.173,14,100
2016-07,53,28~95,¡º,30,49,18,1.235,20,93
2016-08,69,40~141,¡º,33,57,16,1.213,17,120
2016-09,88,36~129,¡º,49,81,22,1.15,22,139
2016-10,55,30~99,¡º,32,52,15,1.426,18,90
2016-11,59,32~108,¡º,39,63,17,1.777,25,67
2016-12,94,48~145,¡º,68,106,26,2.374,32,71
2017-01,108,38~363,«·∂»Œ€»æ,80,115,23,1.981,30,65
2017-02,79,48~158,¡º,52,80,22,2.471,20,77
2017-03,58,38~103,¡º,36,60,14,1.829,24,75
2017-04,58,35~75,¡º,37,62,20,1.35,22,93
2017-05,75,35~129,¡º,37,64,15,1.319,17,115
2017-06,49,33~78,”≈,25,37,15,1.58,12,83
2017-07,45,33~75,”≈,24,37,20,1.494,14,78
2017-08,49,35~80,”≈,26,41,16,1.51,17,87
2017-09,76,40~138,¡º,34,54,15,1.78,18,128
2017-10,67,40~106,¡º,32,53,11,2.042,19,108
2017-11,81,38~155,¡º,55,94,15,1.883,36,83
2017-12,85,37~155,¡º,55,108,15,1.819,42,72
2018-01,74,33~158,¡º,45,88,13,1.723,32,59
2018-02,83,30~159,¡º,48,109,11,1.621,29,77
2018-03,62,29~106,¡º,34,71,10,1.516,27,85
2018-04,76,60~90,¡º,40,101,12,1.738,22,97
