‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,91,91~91,¡º,52,131,26,1.1,22,71
2015-01,166,51~294,÷–∂»Œ€»æ,128,197,33,2.042,43,61
2015-02,153,46~241,÷–∂»Œ€»æ,116,174,22,1.793,31,70
2015-03,101,43~204,«·∂»Œ€»æ,74,120,13,1.577,25,81
2015-04,83,30~119,¡º,57,97,13,1.51,23,109
2015-05,101,56~207,«·∂»Œ€»æ,69,107,8,1.439,18,128
2015-06,72,32~135,¡º,48,73,9,1.14,10,104
2015-07,59,39~115,¡º,40,59,8,1.181,6,89
2015-08,68,34~131,¡º,45,66,7,1.535,7,103
2015-09,89,50~143,¡º,53,79,7,1.393,17,138
2015-10,109,49~182,«·∂»Œ€»æ,80,124,12,1.442,31,131
2015-11,84,42~127,¡º,62,91,11,1.793,22,49
2015-12,120,51~276,«·∂»Œ€»æ,89,137,17,1.99,38,49
2016-01,104,59~206,«·∂»Œ€»æ,77,112,19,2.252,40,43
2016-02,94,45~317,¡º,67,111,22,1.972,35,74
2016-03,81,39~123,¡º,53,99,16,2.239,35,99
2016-04,77,44~126,¡º,32,63,10,1.59,22,117
2016-05,72,41~115,¡º,33,70,10,1.306,17,119
2016-06,62,38~111,¡º,23,45,9,1.28,14,106
2016-07,66,29~110,¡º,15,32,7,1.032,19,111
2016-08,74,33~150,¡º,31,50,6,1.213,8,125
2016-09,100,39~178,«·∂»Œ€»æ,48,79,9,1.3,19,152
2016-10,52,25~97,¡º,32,54,4,1.213,22,70
2016-11,75,29~198,¡º,53,88,9,1.42,26,64
2016-12,108,57~183,«·∂»Œ€»æ,81,129,13,1.987,46,60
2017-01,104,28~206,«·∂»Œ€»æ,77,118,13,2.052,36,61
2017-02,89,50~148,¡º,64,96,13,2.889,36,70
2017-03,84,51~182,¡º,58,99,11,2.271,37,89
2017-04,85,50~113,¡º,48,83,10,1.49,29,126
2017-05,111,44~320,«·∂»Œ€»æ,49,103,8,1.303,25,152
2017-06,93,36~169,¡º,36,69,8,1.027,16,145
2017-07,68,30~125,¡º,25,46,9,0.913,12,118
2017-08,59,28~104,¡º,23,42,9,0.942,12,106
2017-09,53,28~114,¡º,29,47,10,0.947,11,84
2017-10,49,18~110,”≈,32,54,10,0.939,11,69
2017-11,97,51~206,¡º,70,111,14,1.067,33,83
2017-12,112,60~227,«·∂»Œ€»æ,84,124,14,1.458,49,57
2018-01,101,54~188,«·∂»Œ€»æ,75,109,10,1.429,33,55
2018-02,94,38~158,¡º,68,108,12,1.104,31,80
2018-03,71,43~107,¡º,49,77,12,1.168,28,87
2018-04,87,44~119,¡º,45,110,12,1.238,22,112
