‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,64,64~64,¡º,39,77,12,1.1,16,57
2015-01,67,27~130,¡º,47,73,11,1.11,15,74
2015-02,58,33~107,¡º,39,59,9,1.011,14,74
2015-03,47,23~67,”≈,30,47,7,0.939,14,74
2015-04,66,32~140,¡º,38,61,6,0.937,21,96
2015-05,58,27~105,¡º,29,48,5,0.994,20,100
2015-06,48,27~78,”≈,22,39,4,0.873,16,89
2015-07,41,24~70,”≈,18,33,4,0.755,15,76
2015-08,43,21~74,”≈,21,36,3,0.697,16,77
2015-09,52,25~92,¡º,21,36,4,0.82,19,89
2015-10,55,28~142,¡º,28,47,5,0.874,23,87
2015-11,46,30~63,”≈,23,39,5,1.037,28,58
2015-12,51,33~72,¡º,27,47,7,1.145,34,48
2016-01,61,28~134,¡º,38,58,7,1.319,37,47
2016-02,55,27~129,¡º,34,57,7,0.821,17,80
2016-03,62,31~98,¡º,34,56,7,0.971,34,89
2016-04,61,36~111,¡º,29,46,6,1.053,34,90
2016-05,66,34~115,¡º,31,50,4,1.21,22,103
2016-06,50,0~95,¡º,22,39,3,1.07,22,86
2016-07,46,22~85,”≈,21,39,3,0.903,18,79
2016-08,40,20~76,”≈,17,33,5,0.684,16,72
2016-09,43,21~92,”≈,21,37,5,0.517,17,74
2016-10,40,20~59,”≈,20,38,6,0.81,25,43
2016-11,48,27~87,”≈,26,48,8,0.95,31,47
2016-12,59,38~77,¡º,35,67,11,0.987,34,57
2017-01,60,33~114,¡º,39,65,10,0.955,28,67
2017-02,58,30~100,¡º,36,53,7,0.786,25,93
2017-03,59,38~92,¡º,27,46,5,0.852,33,96
2017-04,76,41~117,¡º,30,57,6,0.953,33,109
2017-05,63,38~146,¡º,21,44,6,0.832,21,109
2017-06,55,33~87,¡º,18,34,3,0.923,21,93
2017-07,62,20~122,¡º,18,40,5,0.806,15,110
2017-08,58,21~100,¡º,20,40,5,0.758,15,104
2017-09,63,28~118,¡º,19,38,6,0.807,14,112
2017-10,55,23~89,¡º,21,39,8,0.716,17,98
2017-11,50,27~100,”≈,27,45,10,0.75,27,71
2017-12,62,24~108,¡º,42,61,12,0.929,32,77
2018-01,53,25~110,¡º,33,52,11,0.9,28,61
2018-02,62,35~112,¡º,39,62,10,0.757,18,89
2018-03,58,30~92,¡º,30,45,8,0.806,20,94
2018-04,70,54~100,¡º,35,76,8,0.638,19,119
