‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,169,23~461,÷–∂»Œ€»æ,135,190,49,1.657,73,55
2014-01,103,36~243,«·∂»Œ€»æ,75,112,28,1.371,55,66
2014-02,67,26~119,¡º,48,62,19,1.157,40,69
2014-03,70,29~133,¡º,46,73,21,0.958,45,100
2014-04,70,41~134,¡º,42,65,19,1.017,44,111
2014-05,88,34~174,¡º,47,82,19,0.958,35,139
2014-06,63,38~132,¡º,32,51,15,0.933,29,104
2014-07,52,21~108,¡º,29,48,12,0.694,25,88
2014-08,53,25~92,¡º,29,45,19,0.79,29,92
2014-09,59,23~115,¡º,32,49,23,0.78,32,102
2014-10,71,46~131,¡º,39,70,25,0.765,40,117
2014-11,76,38~176,¡º,55,84,28,0.99,54,79
2014-12,100,51~145,¡º,73,123,36,1.1,66,52
2015-01,109,37~244,«·∂»Œ€»æ,81,121,27,1.135,60,66
2015-02,85,32~172,¡º,60,88,14,0.925,42,84
2015-03,62,34~95,¡º,38,60,14,0.781,46,95
2015-04,80,43~135,¡º,42,72,15,0.77,45,127
2015-05,74,47~123,¡º,31,53,13,0.71,34,126
2015-06,64,36~137,¡º,30,47,11,0.797,33,112
2015-07,63,31~120,¡º,23,37,10,0.671,26,110
2015-08,66,25~122,¡º,27,42,12,0.755,25,113
2015-09,83,28~167,¡º,33,51,15,0.843,36,131
2015-10,77,42~140,¡º,43,75,18,0.877,47,121
2015-11,74,34~142,¡º,47,69,15,1.13,55,56
2015-12,108,57~234,«·∂»Œ€»æ,79,120,21,1.252,63,50
2016-01,92,35~198,¡º,62,97,18,1.039,55,67
2016-02,71,37~125,¡º,47,75,14,0.814,35,97
2016-03,69,42~117,¡º,41,71,13,0.719,43,107
2016-04,76,49~146,¡º,37,62,13,0.78,43,118
2016-05,83,39~150,¡º,41,64,12,0.806,38,126
2016-06,63,36~117,¡º,26,39,10,0.697,30,111
2016-07,63,22~127,¡º,24,40,9,0.639,24,108
2016-08,65,22~133,¡º,20,35,11,0.613,21,109
2016-09,66,20~127,¡º,30,48,13,0.71,32,105
2016-10,56,30~100,¡º,28,49,12,0.752,37,83
2016-11,71,32~129,¡º,45,72,14,0.847,51,70
2016-12,91,40~147,¡º,61,93,16,1.052,61,61
2017-01,68,34~109,¡º,45,66,11,0.842,44,65
2017-02,71,35~144,¡º,48,68,12,0.786,41,86
2017-03,76,49~124,¡º,44,69,12,0.726,47,113
2017-04,88,58~133,¡º,42,72,11,0.8,43,135
2017-05,78,38~155,¡º,29,55,9,0.661,30,129
2017-06,65,39~140,¡º,29,45,8,0.793,33,108
2017-07,73,23~175,¡º,23,39,8,0.674,24,122
2017-08,72,22~146,¡º,24,38,6,0.687,21,123
2017-09,61,38~127,¡º,23,38,8,0.713,28,105
2017-10,56,34~98,¡º,24,45,10,0.697,29,97
2017-11,77,39~144,¡º,45,76,12,0.89,56,63
2017-12,98,57~269,¡º,68,108,16,1.035,65,54
2018-01,84,30~203,¡º,54,77,13,0.942,53,51
2018-02,72,36~192,¡º,47,71,11,0.861,35,85
2018-03,56,34~87,¡º,33,50,9,0.716,33,90
2018-04,64,43~86,¡º,31,75,9,0.613,27,92
