‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,60,60~60,¡º,26,70,12,0.6,11,60
2015-01,88,38~184,¡º,65,90,18,2.326,39,68
2015-02,74,30~148,¡º,54,78,14,2.025,20,61
2015-03,66,23~119,¡º,46,70,13,1.726,20,64
2015-04,66,38~100,¡º,48,70,16,1.163,20,46
2015-05,98,32~218,¡º,72,94,23,0.719,31,65
2015-06,53,28~91,¡º,35,51,17,0.653,28,70
2015-07,51,27~85,¡º,32,46,15,0.465,24,56
2015-08,55,27~80,¡º,36,57,14,0.49,23,38
2015-09,59,26~90,¡º,42,54,18,0.677,21,48
2015-10,80,39~140,¡º,57,79,23,0.677,32,77
2015-11,78,27~187,¡º,49,66,22,0.86,40,98
2015-12,122,52~273,«·∂»Œ€»æ,92,125,24,1.148,48,52
2016-01,114,49~319,«·∂»Œ€»æ,86,110,24,0.897,47,42
2016-02,103,46~228,«·∂»Œ€»æ,77,104,20,0.848,40,25
2016-03,108,33~208,«·∂»Œ€»æ,79,110,21,0.926,57,33
2016-04,61,29~99,¡º,39,58,18,0.627,40,39
2016-05,71,33~120,¡º,51,72,18,0.59,35,83
2016-06,59,35~96,¡º,34,46,22,0.647,32,82
2016-07,58,37~95,¡º,22,31,14,0.561,28,104
2016-08,64,36~104,¡º,26,45,20,0.6,25,114
2016-09,72,24~127,¡º,37,56,21,0.643,28,113
2016-10,60,32~112,¡º,42,57,16,0.745,29,58
2016-11,85,30~166,¡º,62,86,19,0.88,43,66
2016-12,126,42~217,«·∂»Œ€»æ,94,120,22,1.071,57,69
2017-01,131,42~285,«·∂»Œ€»æ,99,121,22,0.955,44,75
2017-02,110,53~185,«·∂»Œ€»æ,82,100,20,0.864,39,96
2017-03,88,48~148,¡º,63,86,15,0.755,39,100
2017-04,79,45~114,¡º,50,81,14,0.783,37,118
2017-05,90,45~159,¡º,55,89,12,0.771,33,132
2017-06,61,32~121,¡º,29,52,14,0.643,26,103
2017-07,50,31~90,¡º,28,48,15,0.439,26,88
2017-08,48,27~88,”≈,28,44,13,0.519,23,84
2017-09,57,30~87,¡º,34,51,12,0.7,25,86
2017-10,62,22~108,¡º,41,63,14,0.665,28,89
2017-11,99,34~185,¡º,72,110,15,0.717,51,83
2017-12,126,40~248,«·∂»Œ€»æ,94,135,17,0.881,62,65
2018-01,120,30~270,«·∂»Œ€»æ,89,111,13,0.855,50,76
2018-02,104,32~199,«·∂»Œ€»æ,75,99,16,0.754,41,93
2018-03,77,41~112,¡º,51,67,12,0.713,38,112
2018-04,77,50~95,¡º,43,83,11,0.638,30,119
