‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,104,104~104,«·∂»Œ€»æ,66,157,54,2.1,41,66
2015-01,147,59~273,«·∂»Œ€»æ,112,149,54,2.339,32,51
2015-02,100,46~153,«·∂»Œ€»æ,74,111,30,1.496,24,83
2015-03,78,35~160,¡º,54,88,20,1.429,21,92
2015-04,66,39~126,¡º,31,64,19,1.18,14,111
2015-05,75,43~128,¡º,45,70,21,1.139,14,113
2015-06,57,33~91,¡º,30,48,14,0.823,11,98
2015-07,69,44~105,¡º,31,48,12,0.655,8,121
2015-08,59,34~87,¡º,26,40,15,0.645,8,106
2015-09,62,32~98,¡º,38,54,17,0.793,11,96
2015-10,66,32~133,¡º,44,68,20,0.919,18,82
2015-11,56,26~99,¡º,37,54,28,1.243,21,40
2015-12,130,57~232,«·∂»Œ€»æ,98,139,36,1.613,32,46
2016-01,135,47~236,«·∂»Œ€»æ,101,129,40,2.052,32,57
2016-02,107,47~356,«·∂»Œ€»æ,77,115,26,1.9,24,77
2016-03,89,54~186,¡º,61,108,27,1.229,26,104
2016-04,63,39~89,¡º,36,58,17,1.377,17,103
2016-05,74,44~165,¡º,38,63,17,1.019,13,121
2016-06,66,28~108,¡º,24,38,10,0.663,8,117
2016-07,49,26~84,”≈,22,37,8,0.568,9,90
2016-08,59,31~98,¡º,30,42,16,0.516,11,106
2016-09,63,32~97,¡º,35,51,24,0.603,20,103
2016-10,43,25~74,”≈,25,41,22,0.706,20,59
2016-11,65,24~112,¡º,45,71,17,1.12,27,43
2016-12,102,66~147,«·∂»Œ€»æ,76,109,16,1.565,37,40
2017-01,116,53~298,«·∂»Œ€»æ,87,120,26,1.774,30,52
2017-02,83,54~142,¡º,60,84,20,1.325,28,67
2017-03,61,43~85,¡º,36,60,17,0.974,24,101
2017-04,63,37~91,¡º,25,50,11,0.82,19,108
2017-05,72,34~124,¡º,32,56,13,0.613,18,113
2017-06,70,26~108,¡º,25,43,11,0.707,14,118
2017-07,67,32~121,¡º,19,35,8,0.71,12,116
2017-08,61,30~85,¡º,21,39,10,0.842,14,111
2017-09,46,25~85,”≈,22,39,9,0.907,18,68
2017-10,42,20~77,”≈,24,37,8,0.8,19,50
2017-11,80,42~147,¡º,58,84,19,1.057,28,36
2017-12,110,71~195,«·∂»Œ€»æ,81,126,26,1.361,46,28
2018-01,95,35~175,¡º,70,102,24,1.268,39,60
2018-02,97,50~272,¡º,69,109,18,1.139,28,81
2018-03,65,36~92,¡º,37,71,18,0.923,26,102
2018-04,68,36~91,¡º,28,78,15,0.575,20,114
