‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,85,35~160,¡º,3,99,31,2.084,32,0
2013-06,120,51~392,«·∂»Œ€»æ,3,145,40,1.407,41,0
2013-07,150,37~377,÷–∂»Œ€»æ,3,107,29,1.913,39,0
2013-08,177,70~300,÷–∂»Œ€»æ,0,101,57,2.145,38,223
2013-09,108,56~157,«·∂»Œ€»æ,0,106,73,2.334,49,101
2013-10,145,59~407,«·∂»Œ€»æ,4,186,100,3.106,70,176
2013-11,148,62~271,«·∂»Œ€»æ,111,163,103,3.293,69,60
2013-12,254,92~500,÷ÿ∂»Œ€»æ,188,216,112,433.381,98,38
2014-01,209,54~357,÷ÿ∂»Œ€»æ,166,213,91,4.565,86,37
2014-02,182,83~369,÷–∂»Œ€»æ,141,136,63,2.993,52,54
2014-03,154,85~412,÷–∂»Œ€»æ,108,180,77,2.135,56,91
2014-04,122,73~199,«·∂»Œ€»æ,88,130,47,2.28,51,90
2014-05,111,75~180,«·∂»Œ€»æ,74,146,49,1.577,55,127
2014-06,121,67~245,«·∂»Œ€»æ,84,103,35,1.63,34,136
2014-07,105,54~236,«·∂»Œ€»æ,70,117,29,1.526,37,140
2014-08,89,50~147,¡º,57,101,39,1.871,40,125
2014-09,90,38~147,¡º,59,85,31,1.853,45,83
2014-10,112,54~212,«·∂»Œ€»æ,80,118,51,1.926,46,71
2014-11,169,56~500,÷–∂»Œ€»æ,125,182,67,2.383,68,31
2014-12,135,45~311,«·∂»Œ€»æ,99,146,101,2.716,72,23
2015-01,197,60~454,÷–∂»Œ€»æ,156,220,117,3.145,81,24
2015-02,183,59~316,÷–∂»Œ€»æ,141,206,82,2.671,52,36
2015-03,125,61~224,«·∂»Œ€»æ,83,153,51,1.597,49,43
2015-04,96,47~164,¡º,62,125,39,1.293,43,59
2015-05,102,45~152,«·∂»Œ€»æ,69,127,35,1.39,36,106
2015-06,107,49~188,«·∂»Œ€»æ,65,114,28,1.223,33,153
2015-07,94,56~147,¡º,62,101,15,1.471,33,130
2015-08,85,53~140,¡º,58,98,21,1.587,34,116
2015-09,89,40~153,¡º,63,112,34,1.837,47,80
2015-10,104,52~221,«·∂»Œ€»æ,71,135,53,1.865,56,61
2015-11,122,43~302,«·∂»Œ€»æ,91,137,48,2.583,57,37
2015-12,214,53~500,÷ÿ∂»Œ€»æ,176,295,107,5.1,83,35
2016-01,169,64~500,÷–∂»Œ€»æ,124,219,104,4.029,70,35
2016-02,120,54~223,«·∂»Œ€»æ,80,161,89,3.169,54,54
2016-03,150,64~299,÷–∂»Œ€»æ,96,223,80,1.865,59,70
2016-04,119,58~211,«·∂»Œ€»æ,78,165,48,1.56,47,113
2016-05,76,49~126,¡º,39,83,31,1.423,37,120
2016-06,96,65~185,¡º,46,95,26,1.537,35,147
2016-07,90,50~140,¡º,53,94,11,2.048,28,124
2016-08,70,51~105,¡º,38,77,23,1.71,32,108
2016-09,101,59~149,«·∂»Œ€»æ,62,124,50,2.09,50,135
2016-10,98,55~240,¡º,67,128,40,1.9,51,60
2016-11,172,52~367,÷–∂»Œ€»æ,133,219,52,2.473,67,40
2016-12,246,92~500,÷ÿ∂»Œ€»æ,215,279,70,3.474,78,33
2017-01,242,58~404,÷ÿ∂»Œ€»æ,198,271,68,4,73,38
2017-02,168,68~414,÷–∂»Œ€»æ,131,184,58,2.486,59,66
2017-03,112,58~224,«·∂»Œ€»æ,80,121,35,1.577,50,85
2017-04,103,67~153,«·∂»Œ€»æ,65,137,36,1.73,50,114
2017-05,169,65~491,÷–∂»Œ€»æ,66,183,28,1.552,39,201
2017-06,144,64~206,«·∂»Œ€»æ,55,119,19,1.553,39,206
2017-07,100,43~195,«·∂»Œ€»æ,51,95,10,1.458,29,149
2017-08,98,53~157,¡º,52,93,17,1.661,36,141
2017-09,98,59~138,¡º,55,126,28,1.557,51,131
2017-10,78,35~129,¡º,51,105,20,1.51,47,66
2017-11,123,57~230,«·∂»Œ€»æ,89,158,33,1.807,61,54
2017-12,150,54~354,«·∂»Œ€»æ,115,166,35,2.148,63,47
2018-01,164,55~412,÷–∂»Œ€»æ,129,171,35,2.129,58,51
2018-02,147,57~352,«·∂»Œ€»æ,108,165,33,1.846,41,84
2018-03,132,53~266,«·∂»Œ€»æ,94,148,21,1.494,40,108
2018-04,117,60~178,«·∂»Œ€»æ,65,173,24,1.413,42,101
