‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,98,98~98,¡º,64,146,115,2.2,37,73
2015-01,95,47~150,¡º,70,116,72,1.552,28,60
2015-02,94,58~159,¡º,62,122,48,1.336,24,77
2015-03,95,54~193,¡º,51,139,31,1.123,24,95
2015-04,83,53~171,¡º,41,105,12,0.907,21,120
2015-05,97,55~422,¡º,44,115,10,0.626,18,128
2015-06,69,38~102,¡º,24,57,8,0.493,19,117
2015-07,67,46~88,¡º,18,38,6,0.49,17,119
2015-08,70,55~91,¡º,26,55,7,0.439,19,123
2015-09,49,39~59,”≈,23,42,5,0.43,19,92
2015-10,53,35~85,¡º,24,53,15,0.626,26,86
2015-11,67,37~112,¡º,43,80,33,1.167,32,63
2015-12,94,40~119,¡º,68,111,60,1.39,40,57
2016-01,68,34~109,¡º,45,75,56,1.345,34,63
2016-02,67,36~132,¡º,36,75,51,1.266,27,73
2016-03,72,51~114,¡º,29,88,36,0.939,45,100
2016-04,65,44~80,¡º,23,57,9,0.65,42,113
2016-05,83,42~170,¡º,31,89,6,0.532,22,125
2016-06,70,50~89,¡º,20,54,7,0.563,21,120
2016-07,67,48~97,¡º,23,60,7,0.503,19,115
2016-08,60,37~89,¡º,21,53,6,0.545,18,107
2016-09,56,43~79,¡º,25,48,8,0.6,31,102
2016-10,52,32~90,¡º,33,52,10,0.745,27,80
2016-11,107,0~387,«·∂»Œ€»æ,69,146,47,1.16,39,62
2016-12,105,66~135,«·∂»Œ€»æ,77,130,61,1.568,42,52
2017-01,110,44~500,«·∂»Œ€»æ,72,149,57,1.513,35,64
2017-02,75,44~128,¡º,49,90,41,1,29,71
2017-03,66,47~120,¡º,43,75,30,0.8,30,81
2017-04,77,0~446,¡º,34,82,8,0.49,22,99
2017-05,114,65~430,«·∂»Œ€»æ,39,102,7,0.413,25,138
2017-06,81,60~111,¡º,21,49,6,0.383,25,137
2017-07,76,48~100,¡º,17,42,5,0.294,21,131
2017-08,61,36~93,¡º,16,43,11,0.31,22,111
2017-09,58,43~77,¡º,23,60,7,0.393,29,98
2017-10,53,23~75,¡º,28,57,8,0.513,28,76
2017-11,77,55~95,¡º,51,101,37,0.927,43,73
2017-12,124,61~500,«·∂»Œ€»æ,75,162,56,1.4,44,59
2018-01,105,57~170,«·∂»Œ€»æ,75,124,45,1.306,33,72
2018-02,105,53~489,«·∂»Œ€»æ,64,137,39,1.064,32,93
2018-03,94,58~236,¡º,49,135,24,0.761,33,110
2018-04,156,71~434,÷–∂»Œ€»æ,55,225,9,0.5,32,112
