‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,73,73~73,¡º,53,91,71,1.8,52,90
2014-01,126,51~261,«·∂»Œ€»æ,94,131,52,1.66,64,50
2014-02,77,23~248,¡º,57,74,32,1.382,36,65
2014-03,89,42~199,¡º,63,87,39,1.368,50,109
2014-04,86,44~154,¡º,53,72,29,1.48,41,118
2014-05,108,37~207,«·∂»Œ€»æ,63,105,33,1.563,44,153
2014-06,103,35~196,«·∂»Œ€»æ,55,74,21,1.103,29,152
2014-07,109,39~187,«·∂»Œ€»æ,47,63,17,1.094,24,161
2014-08,86,31~182,¡º,44,59,26,1.368,30,129
2014-09,86,37~201,¡º,39,53,26,1.213,27,136
2014-10,88,42~137,¡º,52,79,28,1.555,42,125
2014-11,94,45~209,¡º,69,93,29,1.587,52,70
2014-12,85,42~138,¡º,61,97,41,1.471,55,38
2015-01,108,36~212,«·∂»Œ€»æ,80,112,34,1.513,54,42
2015-02,81,27~188,¡º,58,81,19,1.311,29,68
2015-03,70,31~158,¡º,44,66,19,0.961,31,89
2015-04,81,42~161,¡º,43,71,23,0.927,35,120
2015-05,98,37~162,¡º,39,65,16,0.939,26,156
2015-06,95,32~172,¡º,37,55,12,0.96,22,148
2015-07,101,31~201,«·∂»Œ€»æ,34,51,10,1.013,21,153
2015-08,107,26~189,«·∂»Œ€»æ,34,52,15,0.906,25,163
2015-09,110,55~203,«·∂»Œ€»æ,34,51,20,0.96,31,169
2015-10,99,54~160,¡º,47,69,28,1.145,30,155
2015-11,75,38~153,¡º,50,65,25,1.173,43,91
2015-12,120,58~250,«·∂»Œ€»æ,89,113,30,1.294,56,66
2016-01,101,52~200,«·∂»Œ€»æ,74,90,28,1.242,50,75
2016-02,96,45~168,¡º,69,85,18,1.328,34,115
2016-03,101,45~180,«·∂»Œ€»æ,69,91,25,1.203,45,118
2016-04,102,43~190,«·∂»Œ€»æ,39,66,18,1.313,32,156
2016-05,105,47~181,«·∂»Œ€»æ,39,68,13,1.061,26,159
2016-06,101,33~177,«·∂»Œ€»æ,30,46,9,0.723,24,157
2016-07,98,0~207,¡º,22,42,16,0.397,20,147
2016-08,131,54~207,«·∂»Œ€»æ,23,40,17,0.568,16,193
2016-09,116,24~207,«·∂»Œ€»æ,30,47,13,0.83,22,172
2016-10,59,29~140,¡º,25,41,18,0.839,30,88
2016-11,76,35~162,¡º,47,67,22,1.08,51,74
2016-12,95,35~162,¡º,69,87,22,1.387,51,70
2017-01,86,40~208,¡º,62,73,18,1.229,37,70
2017-02,89,43~160,¡º,64,68,18,1.054,39,101
2017-03,75,43~124,¡º,50,65,16,0.687,39,111
2017-04,99,40~177,¡º,43,70,17,0.933,42,145
2017-05,119,33~203,«·∂»Œ€»æ,36,64,14,0.952,32,176
2017-06,96,34~181,¡º,34,57,14,0.993,27,148
2017-07,81,34~184,¡º,25,47,15,0.845,27,130
2017-08,83,35~201,¡º,23,43,11,0.871,26,136
2017-09,75,30~167,¡º,31,50,12,0.92,34,114
2017-10,66,35~144,¡º,32,54,15,1.071,40,96
2017-11,77,34~139,¡º,51,78,18,1.057,52,67
2017-12,113,36~318,«·∂»Œ€»æ,83,100,23,1.319,66,49
2018-01,121,43~266,«·∂»Œ€»æ,90,98,21,1.484,57,52
2018-02,93,40~224,¡º,67,92,18,0.968,37,79
2018-03,80,42~158,¡º,53,81,18,1.168,46,102
2018-04,84,60~111,¡º,45,101,17,1.6,48,116
