‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,155,155~155,÷–∂»Œ€»æ,118,167,40,3.2,44,42
2014-01,182,65~324,÷–∂»Œ€»æ,143,209,44,3.239,46,50
2014-02,136,33~255,«·∂»Œ€»æ,103,138,36,2.193,33,57
2014-03,100,38~204,¡º,73,112,34,0.926,37,87
2014-04,84,40~132,¡º,59,93,29,0.833,30,98
2014-05,100,51~193,«·∂»Œ€»æ,73,124,30,0.855,31,110
2014-06,66,35~126,¡º,41,63,24,0.933,25,95
2014-07,76,31~131,¡º,35,58,22,0.794,20,126
2014-08,63,38~106,¡º,32,51,17,0.768,19,108
2014-09,58,27~86,¡º,40,59,21,0.967,22,76
2014-10,77,29~152,¡º,56,82,23,0.99,29,64
2014-11,68,24~132,¡º,49,73,23,1.017,31,40
2014-12,111,46~258,«·∂»Œ€»æ,82,117,29,1.097,40,36
2015-01,157,33~254,÷–∂»Œ€»æ,122,163,30,1.303,43,40
2015-02,123,24~214,«·∂»Œ€»æ,93,126,24,1.2,34,50
2015-03,86,41~146,¡º,64,93,26,0.997,31,77
2015-04,68,30~132,¡º,47,74,24,0.87,29,89
2015-05,70,36~123,¡º,47,74,23,0.742,25,95
2015-06,62,43~98,¡º,39,64,19,0.837,23,101
2015-07,68,34~99,¡º,35,61,23,0.797,22,112
2015-08,61,29~94,¡º,32,52,20,0.671,22,104
2015-09,45,29~84,”≈,29,42,20,0.783,23,65
2015-10,80,27~169,¡º,58,78,25,0.819,30,70
2015-11,77,36~109,¡º,56,72,25,1.033,31,37
2015-12,101,40~216,«·∂»Œ€»æ,75,94,28,0.91,36,31
2016-01,120,28~243,«·∂»Œ€»æ,91,110,19,1.029,35,38
2016-02,112,54~247,«·∂»Œ€»æ,83,108,19,1.01,32,58
2016-03,97,32~165,¡º,72,102,23,0.948,37,74
2016-04,62,36~115,¡º,43,67,20,0.813,29,76
2016-05,71,25~162,¡º,47,75,19,0.777,25,103
2016-06,61,35~107,¡º,28,45,15,0.707,22,108
2016-07,64,35~120,¡º,28,44,13,0.671,20,112
2016-08,72,36~124,¡º,35,53,14,0.687,21,121
2016-09,58,37~106,¡º,36,51,17,0.797,29,89
2016-10,65,29~127,¡º,46,69,16,1.019,31,71
2016-11,94,24~159,¡º,69,100,24,1.23,38,57
2016-12,118,51~188,«·∂»Œ€»æ,89,123,26,1.348,44,38
2017-01,152,45~316,÷–∂»Œ€»æ,117,138,24,1.442,42,48
2017-02,106,43~201,«·∂»Œ€»æ,78,105,20,1.354,39,58
2017-03,82,35~163,¡º,59,86,20,0.929,41,65
2017-04,71,33~110,¡º,49,75,19,0.94,32,99
2017-05,86,43~140,¡º,54,86,19,0.952,31,121
2017-06,61,30~97,¡º,33,54,15,1.123,27,102
2017-07,87,36~154,¡º,29,52,14,1.081,24,141
2017-08,71,28~113,¡º,27,43,8,1.165,21,123
2017-09,58,29~97,¡º,35,57,14,1.077,28,83
2017-10,49,25~115,”≈,30,48,15,1.145,30,50
2017-11,96,39~173,¡º,70,100,22,1.363,39,66
2017-12,129,55~247,«·∂»Œ€»æ,95,136,23,1.452,50,43
2018-01,116,37~213,«·∂»Œ€»æ,86,118,21,1.41,49,46
2018-02,113,52~207,«·∂»Œ€»æ,84,122,20,1.039,39,77
2018-03,88,43~135,¡º,62,97,22,0.923,45,113
2018-04,89,52~143,¡º,44,100,22,0.775,41,136
