‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,124,124~124,«·∂»Œ€»æ,94,176,66,0.8,42,93
2015-01,79,22~141,¡º,58,88,52,1.335,42,48
2015-02,60,19~112,¡º,43,59,28,1.118,26,54
2015-03,42,27~59,”≈,29,39,23,0.977,24,50
2015-04,58,29~117,¡º,39,56,25,0.987,21,81
2015-05,68,34~127,¡º,47,77,21,0.897,14,85
2015-06,48,35~70,”≈,33,44,10,0.747,11,70
2015-07,48,34~77,”≈,33,45,10,0.813,17,71
2015-08,54,36~77,¡º,35,50,13,0.952,16,86
2015-09,57,40~74,¡º,39,59,19,0.88,17,88
2015-10,64,36~98,¡º,44,70,26,0.961,24,88
2015-11,58,38~87,¡º,41,59,29,1.187,31,33
2015-12,70,38~108,¡º,50,74,31,1.065,35,36
2016-01,90,54~185,¡º,66,96,27,1.206,37,36
2016-02,84,33~254,¡º,62,93,22,0.962,25,76
2016-03,89,29~160,¡º,66,100,31,0.932,30,84
2016-04,70,48~127,¡º,50,75,19,0.927,21,77
2016-05,63,44~103,¡º,42,68,28,1.032,23,83
2016-06,62,36~103,¡º,31,56,34,0.907,16,106
2016-07,53,31~88,¡º,29,49,23,0.884,21,85
2016-08,62,36~123,¡º,35,62,22,0.871,20,96
2016-09,84,25~140,¡º,53,89,34,0.94,21,123
2016-10,68,33~100,¡º,46,77,34,1.003,23,69
2016-11,74,34~132,¡º,54,80,25,0.94,31,43
2016-12,100,40~166,¡º,75,111,34,1.045,38,66
2017-01,117,64~275,«·∂»Œ€»æ,88,121,29,1.206,31,68
2017-02,92,42~210,¡º,68,97,23,1.068,29,81
2017-03,66,32~143,¡º,46,71,20,1.09,30,60
2017-04,70,30~112,¡º,45,69,23,1,24,91
2017-05,95,35~148,¡º,50,76,24,1.077,20,131
2017-06,54,30~110,¡º,34,50,15,0.837,19,82
2017-07,50,25~87,”≈,30,47,11,0.632,17,86
2017-08,47,28~69,”≈,30,48,13,0.7,17,76
2017-09,72,39~102,¡º,49,74,18,0.903,23,93
2017-10,65,27~104,¡º,46,69,21,0.8,29,80
2017-11,83,35~135,¡º,60,90,30,0.947,39,65
2017-12,98,39~152,¡º,73,109,33,1.135,42,65
2018-01,96,37~266,¡º,72,102,32,1.277,38,41
2018-02,87,35~266,¡º,64,95,21,1.104,27,77
2018-03,67,33~109,¡º,46,70,20,0.997,26,82
2018-04,80,60~99,¡º,51,92,21,0.925,21,103
