‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,195,73~472,÷–∂»Œ€»æ,162,219,68,2.541,61,43
2014-01,173,58~491,÷–∂»Œ€»æ,137,190,79,2.7,56,53
2014-02,236,86~382,÷ÿ∂»Œ€»æ,190,236,58,3.311,43,63
2014-03,115,61~199,«·∂»Œ€»æ,70,158,34,2.739,44,88
2014-04,94,51~170,¡º,61,132,16,1.51,36,74
2014-05,90,57~239,¡º,50,126,13,1.59,29,91
2014-06,64,46~111,¡º,37,72,10,1.51,24,87
2014-07,81,38~129,¡º,32,68,11,1.197,25,132
2014-08,64,34~111,¡º,41,72,9,1.165,27,88
2014-09,55,23~95,¡º,33,63,5,1.363,30,60
2014-10,101,28~250,«·∂»Œ€»æ,67,124,8,1.542,39,53
2014-11,98,49~201,¡º,68,119,17,1.553,34,35
2014-12,82,56~153,¡º,54,103,25,1.687,27,28
2015-01,112,55~250,«·∂»Œ€»æ,81,130,29,2.232,42,33
2015-02,95,56~185,¡º,64,114,26,2.475,33,48
2015-03,92,55~169,¡º,62,113,17,1.665,37,69
2015-04,71,38~140,¡º,39,89,10,1.047,34,84
2015-05,68,47~102,¡º,36,79,12,1.116,29,100
2015-06,65,30~95,¡º,32,66,6,0.977,27,99
2015-07,75,49~125,¡º,37,78,5,0.929,24,121
2015-08,80,34~167,¡º,36,83,5,0.852,28,113
2015-09,65,36~97,¡º,37,74,6,0.833,31,86
2015-10,86,42~180,¡º,53,115,10,1.032,41,80
2015-11,95,42~235,¡º,68,122,13,1.6,43,25
2015-12,167,63~362,÷–∂»Œ€»æ,128,209,27,1.829,54,36
2016-01,161,51~415,÷–∂»Œ€»æ,123,197,28,1.906,52,49
2016-02,122,59~401,«·∂»Œ€»æ,71,165,24,1.452,40,76
2016-03,108,53~187,«·∂»Œ€»æ,66,159,21,1.245,47,89
2016-04,79,53~119,¡º,39,97,9,0.803,39,108
2016-05,85,39~135,¡º,36,81,7,0.719,32,132
2016-06,83,41~128,¡º,27,55,5,0.65,27,135
2016-07,75,37~120,¡º,26,51,5,0.635,27,123
2016-08,83,36~138,¡º,36,61,5,0.806,25,137
2016-09,67,39~100,¡º,32,61,7,0.81,35,95
2016-10,64,30~124,¡º,40,73,8,1.058,37,57
2016-11,127,47~275,«·∂»Œ€»æ,92,170,18,1.503,51,46
2016-12,156,69~381,÷–∂»Œ€»æ,119,173,24,1.777,60,46
2017-01,160,53~398,÷–∂»Œ€»æ,124,179,24,1.81,53,60
2017-02,143,58~289,«·∂»Œ€»æ,108,154,20,1.568,51,87
2017-03,88,39~148,¡º,60,100,14,1.039,46,80
2017-04,85,39~194,¡º,49,108,11,0.82,43,103
2017-05,96,48~288,¡º,40,97,9,0.677,35,127
2017-06,87,51~129,¡º,28,64,7,0.647,30,138
2017-07,87,51~150,¡º,26,61,7,0.677,28,142
2017-08,76,34~147,¡º,26,53,5,0.8,28,122
2017-09,67,41~106,¡º,36,76,7,0.903,37,85
2017-10,66,24~114,¡º,44,76,5,0.939,35,39
2017-11,114,64~251,«·∂»Œ€»æ,82,137,16,1.28,52,48
2017-12,131,63~325,«·∂»Œ€»æ,93,159,25,1.448,59,49
2018-01,139,57~245,«·∂»Œ€»æ,106,146,23,1.497,52,60
2018-02,112,49~353,«·∂»Œ€»æ,74,134,18,1.086,42,96
2018-03,110,45~175,«·∂»Œ€»æ,71,142,14,0.977,48,99
2018-04,118,75~156,«·∂»Œ€»æ,57,186,9,0.713,39,107
