‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,54,54~54,¡º,18,58,27,0.6,41,93
2015-01,104,45~219,«·∂»Œ€»æ,76,99,45,1.123,48,97
2015-02,99,42~181,¡º,73,90,38,1.064,25,100
2015-03,83,40~152,¡º,60,84,25,0.848,22,83
2015-04,73,36~121,¡º,49,77,32,0.677,26,85
2015-05,71,56~112,¡º,51,80,20,0.49,29,87
2015-06,89,24~395,¡º,65,71,13,0.793,20,57
2015-07,69,34~163,¡º,50,59,12,0.565,20,52
2015-08,80,35~145,¡º,58,82,10,0.726,20,45
2015-09,82,51~195,¡º,58,87,15,0.927,22,54
2015-10,117,35~253,«·∂»Œ€»æ,87,118,19,1.065,31,67
2015-11,75,29~132,¡º,51,73,21,1.303,29,63
2015-12,108,65~183,«·∂»Œ€»æ,74,106,34,1.719,45,105
2016-01,120,49~244,«·∂»Œ€»æ,89,109,32,1.623,41,70
2016-02,102,28~159,«·∂»Œ€»æ,76,101,28,1.617,40,71
2016-03,113,53~231,«·∂»Œ€»æ,83,113,24,1.119,47,77
2016-04,97,41~188,¡º,71,105,23,0.933,35,97
2016-05,76,47~156,¡º,51,84,22,0.706,34,89
2016-06,59,45~100,¡º,25,48,23,0.63,39,96
2016-07,74,48~129,¡º,29,43,20,0.616,42,114
2016-08,72,38~128,¡º,30,46,21,0.626,37,115
2016-09,104,37~161,«·∂»Œ€»æ,43,68,23,0.703,27,154
2016-10,76,38~190,¡º,54,74,14,0.819,34,62
2016-11,119,54~293,«·∂»Œ€»æ,91,114,18,1.057,39,67
2016-12,174,52~287,÷–∂»Œ€»æ,134,150,26,1.381,50,58
2017-01,153,65~300,÷–∂»Œ€»æ,118,142,27,1.235,49,56
2017-02,143,59~193,«·∂»Œ€»æ,108,136,25,1.171,46,84
2017-03,113,55~199,«·∂»Œ€»æ,84,117,22,0.829,42,98
2017-04,104,63~182,«·∂»Œ€»æ,72,104,19,0.767,30,121
2017-05,122,55~500,«·∂»Œ€»æ,66,118,16,0.552,27,150
2017-06,121,45~183,«·∂»Œ€»æ,58,83,20,0.62,28,178
2017-07,79,32~139,¡º,39,51,18,0.532,26,125
2017-08,76,34~125,¡º,36,52,16,0.577,30,128
2017-09,78,35~132,¡º,42,64,14,0.693,36,123
2017-10,86,40~200,¡º,58,87,15,0.832,54,104
2017-11,100,59~175,¡º,71,122,22,0.883,60,79
2017-12,132,57~291,«·∂»Œ€»æ,99,142,22,1.261,68,63
2018-01,147,48~253,«·∂»Œ€»æ,111,141,21,1.268,58,67
2018-02,96,49~166,¡º,69,113,18,0.918,48,83
2018-03,94,50~198,¡º,68,97,19,0.806,51,111
2018-04,95,60~138,¡º,59,113,19,0.713,46,117
