‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,186,70~338,÷–∂»Œ€»æ,145,220,74,2.12,77,37
2014-01,138,55~290,«·∂»Œ€»æ,105,158,51,1.926,45,45
2014-02,119,31~321,«·∂»Œ€»æ,89,124,31,1.993,24,56
2014-03,121,65~300,«·∂»Œ€»æ,87,141,34,1.684,38,87
2014-04,92,46~177,¡º,66,110,23,1.277,26,105
2014-05,108,51~155,«·∂»Œ€»æ,69,150,24,0.926,28,137
2014-06,119,46~278,«·∂»Œ€»æ,82,130,16,0.85,27,156
2014-07,83,50~138,¡º,54,92,13,0.742,23,129
2014-08,73,31~124,¡º,48,77,18,0.839,27,114
2014-09,56,25~93,¡º,37,59,18,0.863,26,84
2014-10,72,46~116,¡º,48,91,23,0.803,37,95
2014-11,95,47~189,¡º,68,121,31,1.177,47,57
2014-12,100,54~221,¡º,72,126,44,1.332,52,39
2015-01,119,51~225,«·∂»Œ€»æ,89,150,37,1.519,41,41
2015-02,105,39~202,«·∂»Œ€»æ,77,129,30,1.618,37,61
2015-03,100,47~288,¡º,67,123,22,1.635,37,77
2015-04,83,36~142,¡º,55,103,19,1.517,35,78
2015-05,75,46~109,¡º,45,84,17,0.977,28,106
2015-06,100,42~201,¡º,37,81,14,0.79,26,156
2015-07,73,35~162,¡º,41,60,8,0.581,22,119
2015-08,78,27~146,¡º,41,62,14,0.765,28,127
2015-09,69,35~137,¡º,39,66,17,0.907,30,115
2015-10,100,44~199,¡º,70,114,24,1.074,38,118
2015-11,89,36~285,¡º,65,102,23,1.45,41,61
2015-12,139,62~308,«·∂»Œ€»æ,104,161,30,1.648,50,48
2016-01,130,47~263,«·∂»Œ€»æ,98,142,30,1.758,44,56
2016-02,122,41~231,«·∂»Œ€»æ,90,142,28,2.203,42,79
2016-03,99,48~185,¡º,69,131,29,2.087,40,92
2016-04,80,39~122,¡º,52,105,27,1.583,37,94
2016-05,69,40~110,¡º,38,70,22,0.797,25,109
2016-06,77,43~131,¡º,35,59,10,0.75,22,131
2016-07,71,27~148,¡º,32,50,7,0.606,12,118
2016-08,74,40~140,¡º,27,43,10,0.719,15,126
2016-09,91,30~138,¡º,42,65,14,0.763,25,144
2016-10,52,29~108,¡º,33,49,11,0.797,24,72
2016-11,87,35~214,¡º,64,82,15,1.047,41,64
2016-12,118,35~268,«·∂»Œ€»æ,89,106,22,1.352,52,64
2017-01,112,43~253,«·∂»Œ€»æ,83,102,20,1.413,42,76
2017-02,111,45~215,«·∂»Œ€»æ,82,96,21,1.354,41,97
2017-03,81,42~140,¡º,53,80,19,0.945,39,116
2017-04,100,53~139,¡º,52,91,18,1.093,33,149
2017-05,127,37~380,«·∂»Œ€»æ,51,106,18,0.716,25,168
2017-06,121,49~174,«·∂»Œ€»æ,47,78,13,0.757,22,181
2017-07,72,23~148,¡º,32,50,9,0.668,13,120
2017-08,82,29~140,¡º,34,53,11,0.719,20,134
2017-09,75,31~133,¡º,40,58,13,0.747,23,125
2017-10,72,30~152,¡º,50,69,17,0.768,35,92
2017-11,95,45~160,¡º,69,101,18,0.94,45,72
2017-12,128,50~271,«·∂»Œ€»æ,97,131,20,1.223,54,52
2018-01,147,50~278,«·∂»Œ€»æ,113,134,16,1.323,51,59
2018-02,95,37~199,¡º,68,97,14,0.871,33,78
2018-03,97,38~186,¡º,71,95,12,0.897,39,103
2018-04,97,62~144,¡º,63,106,13,0.938,35,114
