‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,144,144~144,«·∂»Œ€»æ,110,152,34,1.6,71,52
2014-01,170,67~394,÷–∂»Œ€»æ,134,163,37,1.31,58,53
2014-02,92,25~207,¡º,68,72,21,1.007,38,56
2014-03,77,33~137,¡º,52,95,27,0.977,41,62
2014-04,72,36~129,¡º,47,92,24,0.96,40,64
2014-05,83,43~163,¡º,57,96,22,0.939,34,72
2014-06,79,27~190,¡º,58,83,18,0.937,30,81
2014-07,66,24~144,¡º,46,68,14,0.916,28,72
2014-08,63,23~115,¡º,44,70,12,1.026,25,59
2014-09,70,22~144,¡º,49,77,15,0.903,26,60
2014-10,89,52~140,¡º,63,110,18,0.939,38,109
2014-11,96,35~192,¡º,69,126,20,1.25,44,70
2014-12,97,62~148,¡º,67,139,31,1.21,53,72
2015-01,112,33~228,«·∂»Œ€»æ,80,157,21,1.3,48,61
2015-02,85,33~179,¡º,61,103,13,0.932,32,65
2015-03,73,37~132,¡º,49,88,15,0.906,37,63
2015-04,73,30~119,¡º,50,90,17,0.903,36,77
2015-05,92,36~264,¡º,65,96,16,0.9,31,91
2015-06,84,32~179,¡º,58,74,13,0.857,28,72
2015-07,64,39~126,¡º,39,63,10,0.777,25,80
2015-08,62,29~109,¡º,40,68,11,0.858,25,79
2015-09,64,40~97,¡º,40,76,12,0.937,29,81
2015-10,76,36~119,¡º,46,101,14,0.91,36,75
2015-11,69,30~139,¡º,39,80,13,1.18,44,47
2015-12,95,56~202,¡º,63,131,15,1.181,49,44
2016-01,83,48~169,¡º,53,108,13,1.042,48,49
2016-02,77,32~173,¡º,47,99,10,0.821,30,63
2016-03,90,36~192,¡º,59,116,13,0.906,42,70
2016-04,65,42~107,¡º,41,77,9,0.877,38,77
2016-05,66,38~127,¡º,44,72,8,0.881,34,81
2016-06,58,31~107,¡º,31,59,8,0.823,28,87
2016-07,48,30~75,”≈,26,50,7,0.774,25,74
2016-08,50,25~88,”≈,25,40,7,0.642,16,92
2016-09,54,23~94,¡º,33,47,7,0.71,20,90
2016-10,53,31~77,¡º,30,53,9,0.761,36,59
2016-11,74,30~129,¡º,50,80,10,0.883,47,51
2016-12,97,33~175,¡º,72,107,9,1.052,44,40
2017-01,60,0~185,¡º,44,62,4,0.606,25,22
2017-02,85,28~148,¡º,63,83,8,0.85,26,65
2017-03,74,26~142,¡º,51,76,30,0.694,22,71
2017-04,67,29~149,¡º,46,72,14,0.763,23,84
2017-05,67,40~95,¡º,46,66,12,0.729,26,92
2017-06,48,24~98,”≈,32,43,11,0.693,21,74
2017-07,43,27~99,”≈,26,38,12,0.639,21,79
2017-08,40,27~66,”≈,24,33,10,0.739,17,75
2017-09,58,25~137,¡º,37,53,10,0.813,22,79
2017-10,55,27~98,¡º,36,54,11,0.79,25,70
2017-11,70,30~122,¡º,40,85,10,0.933,40,73
2017-12,87,52~121,¡º,44,121,14,1,47,79
2018-01,81,40~153,¡º,52,94,11,0.987,44,79
2018-02,71,36~159,¡º,47,78,11,1.046,27,94
2018-03,69,38~107,¡º,37,85,10,0.739,32,105
2018-04,75,66~89,¡º,35,100,10,0.875,29,101
