‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,156,156~156,÷–∂»Œ€»æ,80,262,112,1.7,71,87
2014-01,166,54~311,÷–∂»Œ€»æ,128,185,108,1.758,57,44
2014-02,125,36~223,«·∂»Œ€»æ,92,123,76,1.268,35,73
2014-03,146,75~261,«·∂»Œ€»æ,110,173,72,1.255,46,100
2014-04,123,46~258,«·∂»Œ€»æ,88,160,66,0.99,41,126
2014-05,117,53~204,«·∂»Œ€»æ,68,150,55,0.878,36,160
2014-06,126,71~180,«·∂»Œ€»æ,72,110,36,1.01,30,173
2014-07,124,49~223,«·∂»Œ€»æ,72,119,43,1.123,27,177
2014-08,119,48~181,«·∂»Œ€»æ,70,117,50,1.187,35,174
2014-09,96,42~203,¡º,61,103,42,1.073,33,130
2014-10,93,44~146,¡º,65,110,43,0.99,35,114
2014-11,146,65~279,«·∂»Œ€»æ,111,176,67,1.514,48,57
2014-12,142,63~277,«·∂»Œ€»æ,105,177,103,1.771,52,39
2015-01,147,52~295,«·∂»Œ€»æ,111,171,86,1.755,47,46
2015-02,134,54~239,«·∂»Œ€»æ,98,155,74,1.657,36,64
2015-03,135,61~427,«·∂»Œ€»æ,89,187,57,1.19,36,93
2015-04,115,62~224,«·∂»Œ€»æ,77,149,41,0.92,34,127
2015-05,102,60~175,«·∂»Œ€»æ,59,133,38,0.865,29,144
2015-06,125,59~192,«·∂»Œ€»æ,58,124,30,0.927,24,185
2015-07,105,21~166,«·∂»Œ€»æ,62,107,34,0.945,18,131
2015-08,104,44~193,«·∂»Œ€»æ,57,98,32,1.052,27,157
2015-09,96,52~195,¡º,57,95,33,0.987,27,142
2015-10,128,56~266,«·∂»Œ€»æ,95,146,34,1.132,42,122
2015-11,125,33~290,«·∂»Œ€»æ,95,119,33,1.447,35,62
2015-12,199,38~448,÷–∂»Œ€»æ,160,207,75,2.093,58,42
2016-01,127,49~262,«·∂»Œ€»æ,95,136,70,1.49,55,44
2016-02,108,38~210,«·∂»Œ€»æ,78,123,59,1.379,43,60
2016-03,106,53~190,«·∂»Œ€»æ,71,145,39,1.094,42,81
2016-04,118,51~223,«·∂»Œ€»æ,72,165,35,1.01,38,134
2016-05,115,62~179,«·∂»Œ€»æ,66,121,31,0.948,35,162
2016-06,120,67~201,«·∂»Œ€»æ,53,88,20,0.857,26,180
2016-07,85,42~144,¡º,41,67,14,0.706,24,137
2016-08,74,39~169,¡º,38,68,19,0.935,31,121
2016-09,107,46~204,«·∂»Œ€»æ,57,98,29,0.993,35,163
2016-10,78,37~145,¡º,51,88,27,0.952,45,90
2016-11,106,34~188,«·∂»Œ€»æ,77,126,32,1.37,55,59
2016-12,134,0~396,«·∂»Œ€»æ,103,137,37,1.6,50,37
2017-01,155,37~327,÷–∂»Œ€»æ,120,167,49,2.077,57,49
2017-02,117,53~218,«·∂»Œ€»æ,84,125,50,1.504,45,83
2017-03,96,56~228,¡º,68,114,36,1.206,42,112
2017-04,87,0~183,¡º,54,106,30,0.89,39,122
2017-05,124,52~202,«·∂»Œ€»æ,56,131,22,0.929,38,169
2017-06,114,49~206,«·∂»Œ€»æ,56,94,14,0.993,26,172
2017-07,84,47~157,¡º,48,69,13,0.868,17,123
2017-08,75,26~140,¡º,32,53,13,0.777,19,124
2017-09,94,43~142,¡º,42,77,16,0.897,25,150
2017-10,85,20~213,¡º,58,88,21,1.148,44,95
2017-11,96,46~221,¡º,65,111,29,2.103,50,74
2017-12,113,53~252,«·∂»Œ€»æ,83,123,40,1.665,59,54
2018-01,126,35~372,«·∂»Œ€»æ,95,132,42,1.703,58,53
2018-02,98,44~223,¡º,69,103,35,1.379,34,75
2018-03,94,43~226,¡º,64,100,25,1.197,30,110
2018-04,91,44~139,¡º,52,119,23,1.138,26,122
