‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,125,125~125,«·∂»Œ€»æ,95,159,51,1.8,52,34
2014-01,167,81~480,÷–∂»Œ€»æ,117,241,41,1.894,45,28
2014-02,91,43~186,¡º,65,124,24,1.636,23,19
2014-03,89,56~199,¡º,58,126,30,0.943,26,28
2014-04,79,52~115,¡º,49,107,30,0.943,27,33
2014-05,93,42~181,¡º,55,136,38,1.323,24,42
2014-06,94,53~233,¡º,62,132,30,1.453,24,59
2014-07,71,52~97,¡º,40,92,27,1.2,15,55
2014-08,67,43~85,¡º,35,85,26,1.235,17,50
2014-09,71,36~153,¡º,40,91,24,1.32,21,56
2014-10,99,41~199,¡º,66,144,29,1.342,28,70
2014-11,81,55~179,¡º,50,112,36,1.367,28,33
2014-12,87,59~146,¡º,51,124,38,1.516,30,46
2015-01,107,39~168,«·∂»Œ€»æ,78,160,37,2.035,34,67
2015-02,98,30~160,¡º,71,131,30,2.271,28,80
2015-03,73,40~166,¡º,51,89,22,1.552,26,82
2015-04,75,48~113,¡º,48,81,31,0.99,28,120
2015-05,84,43~148,¡º,57,99,27,1.132,21,111
2015-06,64,34~105,¡º,35,66,24,0.883,17,107
2015-07,70,43~114,¡º,34,60,21,0.971,14,122
2015-08,75,32~118,¡º,42,66,24,0.91,15,126
2015-09,88,49~127,¡º,50,74,23,0.947,17,139
2015-10,88,30~120,¡º,63,92,32,0.945,24,119
2015-11,58,28~78,¡º,40,60,23,1.16,22,42
2015-12,88,42~182,¡º,63,102,27,1.045,30,45
2016-01,91,60~149,¡º,67,103,26,1.168,27,47
2016-02,87,49~218,¡º,63,95,23,0.948,23,83
2016-03,86,32~143,¡º,61,97,30,0.987,34,101
2016-04,74,27~142,¡º,42,69,23,0.977,27,114
2016-05,74,46~125,¡º,39,62,18,0.806,23,121
2016-06,71,36~121,¡º,30,44,17,0.82,15,121
2016-07,65,26~121,¡º,30,46,18,0.79,16,111
2016-08,76,31~127,¡º,38,55,21,0.913,21,126
2016-09,94,43~146,¡º,52,75,24,0.957,28,141
2016-10,55,20~93,¡º,36,48,13,0.897,21,70
2016-11,72,29~128,¡º,52,74,15,1.093,27,48
2016-12,100,50~147,¡º,74,108,22,1.31,39,56
2017-01,119,40~492,«·∂»Œ€»æ,91,128,17,1.271,32,53
2017-02,80,49~138,¡º,58,89,15,0.993,28,78
2017-03,74,36~209,¡º,50,83,15,0.987,32,79
2017-04,71,40~113,¡º,39,61,17,0.82,21,111
2017-05,84,36~154,¡º,40,67,15,0.752,19,128
2017-06,58,24~100,¡º,29,39,15,0.763,16,104
2017-07,65,25~104,¡º,28,40,17,0.703,13,112
2017-08,51,29~82,¡º,28,37,15,0.771,15,94
2017-09,62,25~109,¡º,37,51,15,0.863,20,97
2017-10,55,20~110,¡º,38,59,10,0.916,21,74
2017-11,98,50~188,¡º,71,108,13,1.07,38,69
2017-12,104,65~150,«·∂»Œ€»æ,78,108,15,1.087,41,59
2018-01,106,43~207,«·∂»Œ€»æ,79,102,10,1.19,30,60
2018-02,100,36~173,¡º,74,113,8,0.979,29,84
2018-03,69,35~113,¡º,47,76,9,0.884,28,91
2018-04,91,48~133,¡º,52,118,10,0.938,24,106
