‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,100,100~100,¡º,70,109,26,1,52,160
2015-01,105,21~221,«·∂»Œ€»æ,79,94,16,1.081,31,89
2015-02,99,20~204,¡º,73,56,7,1.071,22,81
2015-03,58,17~115,¡º,41,50,7,0.981,18,68
2015-04,75,26~118,¡º,45,63,9,0.81,16,122
2015-05,63,30~100,¡º,30,46,6,0.848,13,113
2015-06,54,32~74,¡º,19,37,7,0.68,15,103
2015-07,59,21~106,¡º,23,40,9,0.745,14,105
2015-08,51,19~116,¡º,25,48,11,0.797,16,92
2015-09,47,26~83,”≈,24,46,11,0.897,13,82
2015-10,65,24~104,¡º,39,70,18,0.797,19,109
2015-11,49,27~82,”≈,28,49,12,0.91,16,65
2015-12,52,19~109,¡º,35,52,10,0.903,20,60
2016-01,57,29~109,¡º,40,53,9,1.177,22,54
2016-02,73,26~129,¡º,53,69,10,0.876,20,89
2016-03,76,35~114,¡º,54,73,10,0.987,25,75
2016-04,70,44~112,¡º,42,64,9,0.9,15,107
2016-05,59,38~86,¡º,30,53,10,0.803,15,105
2016-06,53,24~77,¡º,17,34,10,0.713,14,99
2016-07,40,20~70,”≈,17,33,10,0.629,13,76
2016-08,46,23~95,”≈,18,30,8,0.655,9,87
2016-09,55,24~96,¡º,32,48,14,0.647,16,98
2016-10,58,24~112,¡º,32,51,17,0.813,18,97
2016-11,45,20~70,”≈,27,46,16,0.87,20,66
2016-12,70,37~134,¡º,50,72,20,0.955,30,94
2017-01,77,25~145,¡º,55,72,11,1.2,22,83
2017-02,72,35~119,¡º,51,71,12,1.029,23,88
2017-03,50,28~104,¡º,32,50,11,1.042,19,61
2017-04,57,32~110,¡º,31,52,12,0.913,17,96
2017-05,59,30~115,¡º,26,44,10,0.874,17,107
2017-06,48,26~96,”≈,18,37,10,0.83,16,87
2017-07,46,20~151,”≈,19,36,9,0.716,14,81
2017-08,43,23~72,”≈,18,35,9,0.6,13,78
2017-09,46,31~69,”≈,22,37,9,0.817,13,88
2017-10,57,20~119,¡º,30,45,8,0.813,15,99
2017-11,60,24~130,¡º,38,55,8,0.883,20,91
2017-12,69,28~119,¡º,49,64,12,1.077,26,98
2018-01,75,28~158,¡º,52,70,9,1.177,27,77
2018-02,75,23~135,¡º,53,63,9,0.896,19,95
2018-03,79,41~110,¡º,51,64,11,0.787,24,113
2018-04,75,42~90,¡º,40,74,13,0.775,19,126
