‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,143,143~143,«·∂»Œ€»æ,109,169,11,1.5,41,38
2015-01,114,28~220,«·∂»Œ€»æ,86,130,10,1.542,32,34
2015-02,79,26~140,¡º,57,87,9,1.229,25,58
2015-03,62,32~98,¡º,39,70,10,1.116,30,78
2015-04,59,36~107,¡º,27,54,10,1.02,26,103
2015-05,60,31~125,¡º,32,62,10,0.816,23,97
2015-06,46,18~89,”≈,18,35,8,0.8,17,84
2015-07,72,35~119,¡º,25,41,4,0.787,20,121
2015-08,61,38~106,¡º,19,31,3,0.823,24,111
2015-09,47,32~90,”≈,21,32,3,0.933,27,83
2015-10,51,27~83,¡º,31,51,4,0.797,31,62
2015-11,45,33~61,”≈,23,43,5,1.027,33,24
2015-12,78,40~150,¡º,55,82,5,1.071,39,31
2016-01,104,46~209,«·∂»Œ€»æ,76,110,6,1.552,42,27
2016-02,81,36~163,¡º,56,89,6,1.472,35,46
2016-03,66,36~103,¡º,44,78,7,1,43,62
2016-04,47,30~71,”≈,25,48,4,0.86,33,65
2016-05,50,27~102,¡º,28,53,3,0.755,26,72
2016-06,45,23~70,”≈,20,34,4,0.78,25,82
2016-07,34,20~46,”≈,13,23,3,0.723,21,66
2016-08,36,24~54,”≈,19,27,4,0.781,22,68
2016-09,49,33~77,”≈,33,49,5,0.91,29,59
2016-10,41,24~82,”≈,23,36,4,1.074,24,35
2016-11,60,25~105,¡º,42,62,5,1.11,29,23
2016-12,113,57~201,«·∂»Œ€»æ,85,113,5,1.545,40,19
2017-01,99,37~178,¡º,73,102,5,1.281,38,35
2017-02,73,28~134,¡º,51,73,4,1.186,33,49
2017-03,55,33~80,¡º,32,58,4,1.019,32,67
2017-04,57,36~85,¡º,25,50,4,0.883,29,91
2017-05,63,35~107,¡º,33,62,5,0.826,26,98
2017-06,55,27~83,¡º,22,39,5,0.75,21,97
2017-07,57,26~87,¡º,16,28,4,0.632,17,105
2017-08,47,20~84,”≈,14,25,3,0.71,16,91
2017-09,35,20~51,”≈,17,30,4,0.737,21,53
2017-10,33,22~58,”≈,16,28,4,0.735,21,33
2017-11,51,28~77,¡º,32,54,5,0.83,28,38
2017-12,93,47~205,¡º,68,100,5,1.11,36,33
2018-01,77,30~147,¡º,56,84,6,1.094,37,48
2018-02,77,30~165,¡º,54,87,6,1.004,32,60
2018-03,52,25~85,¡º,31,55,4,0.829,32,80
2018-04,67,48~92,¡º,30,84,4,0.575,28,99
