‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,47,47~47,”≈,22,47,24,0.3,17,66
2015-01,88,52~198,¡º,58,113,73,1.355,33,60
2015-02,88,44~192,¡º,55,110,56,0.775,28,81
2015-03,85,46~246,¡º,42,112,33,0.594,21,102
2015-04,77,45~195,¡º,35,92,18,0.59,23,116
2015-05,88,64~133,¡º,38,104,9,0.513,20,129
2015-06,88,54~117,¡º,30,77,9,0.57,19,138
2015-07,80,52~126,¡º,31,72,11,0.384,21,132
2015-08,75,52~126,¡º,35,82,16,0.329,23,120
2015-09,72,50~135,¡º,44,82,14,0.393,23,109
2015-10,75,38~130,¡º,50,90,27,0.548,32,91
2015-11,87,35~204,¡º,64,102,51,0.917,31,46
2015-12,103,36~208,«·∂»Œ€»æ,70,119,67,1.216,37,41
2016-01,64,34~159,¡º,40,69,58,0.874,29,56
2016-02,76,32~169,¡º,45,97,49,0.821,22,69
2016-03,114,47~400,«·∂»Œ€»æ,61,150,38,0.671,26,99
2016-04,86,50~143,¡º,43,121,22,0.663,27,111
2016-05,80,48~159,¡º,41,94,14,0.413,24,118
2016-06,68,0~120,¡º,35,69,11,0.503,26,113
2016-07,76,51~115,¡º,33,64,14,0.484,22,127
2016-08,63,40~93,¡º,22,62,13,0.455,22,109
2016-09,72,55~98,¡º,32,89,16,0.48,29,108
2016-10,79,53~141,¡º,40,107,24,0.697,29,93
2016-11,88,32~195,¡º,42,121,42,0.857,36,70
2016-12,95,44~238,¡º,66,110,62,1.297,45,51
2017-01,77,40~169,¡º,43,94,67,1.474,43,66
2017-02,83,56~119,¡º,43,93,58,1.739,60,81
2017-03,68,40~137,¡º,40,77,30,0.823,31,92
2017-04,78,48~250,¡º,30,102,16,0.54,25,106
2017-05,125,55~500,«·∂»Œ€»æ,52,212,7,0.355,17,120
2017-06,83,59~119,¡º,27,72,12,0.423,26,137
2017-07,85,49~138,¡º,34,71,10,0.435,17,138
2017-08,71,52~142,¡º,27,70,9,0.403,17,119
2017-09,72,45~165,¡º,22,81,15,0.457,24,110
2017-10,72,29~123,¡º,36,92,16,0.706,32,76
2017-11,73,40~166,¡º,34,95,25,0.65,30,62
2017-12,64,32~144,¡º,34,77,28,0.803,30,60
2018-01,60,33~119,¡º,29,69,22,0.661,23,67
2018-02,66,36~236,¡º,33,76,21,0.568,20,77
2018-03,108,51~300,«·∂»Œ€»æ,43,151,17,0.613,26,101
2018-04,172,58~500,÷–∂»Œ€»æ,51,241,8,0.413,12,111
