‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,198,49~389,÷–∂»Œ€»æ,159,200,56,1.737,65,42
2014-01,142,57~304,«·∂»Œ€»æ,109,153,46,1.461,49,58
2014-02,93,28~252,¡º,68,92,31,1.1,33,69
2014-03,97,58~179,¡º,71,115,44,1.223,48,93
2014-04,87,53~158,¡º,63,95,36,0.897,43,102
2014-05,114,46~202,«·∂»Œ€»æ,74,137,39,0.997,58,149
2014-06,110,37~204,«·∂»Œ€»æ,65,97,37,1.043,46,159
2014-07,94,34~177,¡º,54,81,24,1.006,38,138
2014-08,76,26~170,¡º,48,72,23,0.961,37,107
2014-09,71,36~144,¡º,44,73,28,0.957,36,108
2014-10,91,62~169,¡º,60,105,31,0.994,45,120
2014-11,93,34~212,¡º,69,103,38,1.243,50,77
2014-12,101,49~181,«·∂»Œ€»æ,74,120,46,1.277,52,49
2015-01,142,45~244,«·∂»Œ€»æ,108,151,41,1.455,51,56
2015-02,106,36~247,«·∂»Œ€»æ,79,114,24,1.132,37,79
2015-03,92,43~196,¡º,65,101,33,1.084,45,88
2015-04,100,46~202,«·∂»Œ€»æ,61,106,35,1.137,51,135
2015-05,92,49~149,¡º,46,96,32,1.065,48,135
2015-06,66,21~103,¡º,41,85,23,1.06,40,71
2015-07,67,26~185,¡º,38,69,19,0.865,35,86
2015-08,78,31~125,¡º,35,71,23,0.816,34,121
2015-09,80,49~146,¡º,31,68,24,0.717,33,131
2015-10,87,53~139,¡º,50,118,36,0.994,52,117
2015-11,79,27~158,¡º,53,96,26,1.213,48,58
2015-12,134,63~256,«·∂»Œ€»æ,100,148,39,1.394,56,47
2016-01,112,45~221,«·∂»Œ€»æ,82,121,35,1.277,46,57
2016-02,102,38~199,«·∂»Œ€»æ,74,116,27,1.197,41,80
2016-03,107,39~233,«·∂»Œ€»æ,77,130,32,1.11,56,89
2016-04,90,47~148,¡º,50,103,24,1.01,47,126
2016-05,93,44~183,¡º,46,95,20,0.977,38,136
2016-06,83,41~143,¡º,38,67,14,0.847,34,129
2016-07,80,35~149,¡º,36,61,12,0.729,30,123
2016-08,86,42~151,¡º,29,55,17,0.652,28,139
2016-09,82,22~169,¡º,40,70,18,0.76,36,126
2016-10,53,31~82,¡º,30,52,14,0.735,36,66
2016-11,80,31~152,¡º,56,93,20,0.97,52,58
2016-12,109,42~203,«·∂»Œ€»æ,80,118,25,1.174,57,56
2017-01,90,39~223,¡º,66,95,19,1.1,43,56
2017-02,98,40~173,¡º,73,100,19,1.043,48,83
2017-03,78,52~134,¡º,55,94,18,0.855,48,95
2017-04,93,50~128,¡º,49,92,21,0.947,45,135
2017-05,107,39~166,«·∂»Œ€»æ,43,81,21,0.868,40,157
2017-06,106,45~196,«·∂»Œ€»æ,40,60,18,0.823,36,158
2017-07,80,36~202,¡º,30,48,15,0.668,31,129
2017-08,77,33~155,¡º,28,43,15,0.774,29,128
2017-09,74,39~139,¡º,33,50,15,0.817,41,111
2017-10,61,33~121,¡º,32,56,15,0.752,40,98
2017-11,85,42~127,¡º,54,97,19,1.063,62,70
2017-12,114,55~317,«·∂»Œ€»æ,84,124,22,1.39,72,54
2018-01,124,35~288,«·∂»Œ€»æ,92,117,19,1.403,60,57
2018-02,92,42~239,¡º,67,94,15,1.139,47,80
2018-03,89,42~175,¡º,63,89,17,1.048,60,99
2018-04,83,58~130,¡º,51,93,17,0.813,52,124
