‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,97,97~97,¡º,73,87,127,0.6,101,118
2014-01,105,46~211,«·∂»Œ€»æ,77,92,87,0.79,86,85
2014-02,82,41~169,¡º,54,65,59,0.693,56,105
2014-03,91,42~177,¡º,62,81,47,0.81,64,119
2014-04,76,48~130,¡º,48,65,37,0.547,47,112
2014-05,109,39~207,«·∂»Œ€»æ,61,94,22,0.677,46,159
2014-06,68,30~148,¡º,48,62,15,0.64,40,95
2014-07,62,28~152,¡º,39,56,14,0.713,35,88
2014-08,58,16~91,¡º,40,56,15,0.732,32,67
2014-09,81,46~137,¡º,35,52,16,0.704,33,131
2014-10,88,52~137,¡º,46,78,15,0.568,41,127
2014-11,81,43~177,¡º,59,87,17,0.521,46,78
2014-12,101,44~181,«·∂»Œ€»æ,74,119,17,0.919,54,52
2015-01,120,37~208,«·∂»Œ€»æ,89,127,16,0.877,54,59
2015-02,95,39~227,¡º,68,105,15,0.632,40,75
2015-03,81,41~155,¡º,55,86,14,0.487,43,94
2015-04,91,48~162,¡º,56,93,15,0.647,51,131
2015-05,69,39~125,¡º,41,71,14,0.403,35,99
2015-06,73,32~141,¡º,43,70,13,0.657,27,109
2015-07,63,22~129,¡º,38,58,16,0.794,20,90
2015-08,59,24~127,¡º,38,57,14,0.768,24,79
2015-09,55,33~110,¡º,36,57,14,0.64,27,58
2015-10,80,44~160,¡º,56,95,14,0.652,41,53
2015-11,88,31~169,¡º,63,96,12,0.84,44,27
2015-12,125,61~246,«·∂»Œ€»æ,94,136,24,1.194,53,33
2016-01,99,43~188,¡º,71,99,27,0.981,42,65
2016-02,87,42~168,¡º,63,87,20,0.886,31,82
2016-03,87,42~144,¡º,62,93,24,0.816,42,97
2016-04,83,49~140,¡º,54,85,19,0.823,47,108
2016-05,82,44~145,¡º,44,74,17,0.813,38,119
2016-06,62,28~104,¡º,36,46,19,0.957,29,100
2016-07,74,23~146,¡º,38,58,18,0.913,27,112
2016-08,74,32~132,¡º,24,44,17,0.655,24,126
2016-09,70,25~161,¡º,36,52,15,0.777,30,110
2016-10,49,30~65,”≈,29,43,18,0.739,32,77
2016-11,80,35~143,¡º,57,81,24,0.917,48,57
2016-12,101,39~227,«·∂»Œ€»æ,74,98,26,1.048,52,57
2017-01,78,32~160,¡º,56,83,19,0.913,39,63
2017-02,86,40~163,¡º,62,88,21,0.907,43,84
2017-03,70,40~97,¡º,49,82,20,0.745,40,97
2017-04,92,54~142,¡º,52,85,22,0.823,43,127
2017-05,86,44~183,¡º,40,72,21,0.8,37,130
2017-06,84,40~167,¡º,39,55,19,0.767,35,132
2017-07,95,40~191,¡º,36,50,17,0.61,33,148
2017-08,90,38~196,¡º,32,44,16,0.81,28,143
2017-09,71,43~196,¡º,33,48,18,0.737,34,111
2017-10,57,38~102,¡º,33,52,19,0.758,31,94
2017-11,77,33~130,¡º,49,79,22,0.847,53,68
2017-12,94,46~261,¡º,67,94,24,0.974,59,51
2018-01,102,35~273,«·∂»Œ€»æ,74,97,22,1.003,50,57
2018-02,81,34~202,¡º,57,84,24,0.843,37,83
2018-03,72,38~116,¡º,44,71,21,0.784,45,97
2018-04,77,43~113,¡º,41,79,22,0.65,38,112
