‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,163,163~163,÷–∂»Œ€»æ,93,277,66,0.1,18,44
2014-01,130,51~252,«·∂»Œ€»æ,96,127,45,1.453,33,55
2014-02,110,38~391,«·∂»Œ€»æ,75,104,27,1.211,25,88
2014-03,120,66~248,«·∂»Œ€»æ,74,166,27,1.133,35,115
2014-04,98,49~193,¡º,60,100,18,0.759,34,134
2014-05,109,61~189,«·∂»Œ€»æ,54,128,17,0.682,33,157
2014-06,103,51~162,«·∂»Œ€»æ,51,71,9,0.844,25,158
2014-07,98,42~161,¡º,45,67,15,1.288,16,150
2014-08,114,36~207,«·∂»Œ€»æ,50,66,10,0.64,26,174
2014-09,68,37~112,¡º,38,56,13,0.44,29,114
2014-10,72,38~125,¡º,47,74,17,0.547,32,103
2014-11,101,37~231,«·∂»Œ€»æ,74,111,32,1.017,30,64
2014-12,107,42~294,«·∂»Œ€»æ,78,112,55,1.081,27,42
2015-01,97,28~246,¡º,71,95,43,0.913,21,50
2015-02,95,38~182,¡º,67,103,37,0.939,21,62
2015-03,89,37~186,¡º,61,108,30,0.706,32,81
2015-04,72,41~115,¡º,44,80,21,0.543,24,112
2015-05,72,42~99,¡º,34,69,20,0.423,25,123
2015-06,76,34~115,¡º,36,64,19,0.4,18,127
2015-07,99,43~165,¡º,31,52,12,0.29,28,157
2015-08,101,34~207,«·∂»Œ€»æ,36,57,17,0.568,28,159
2015-09,79,40~124,¡º,29,63,14,0.59,33,133
2015-10,90,54~139,¡º,57,121,15,0.732,43,111
2015-11,81,28~162,¡º,58,95,17,1.097,36,58
2015-12,138,42~328,«·∂»Œ€»æ,104,166,44,1.694,58,40
2016-01,113,40~294,«·∂»Œ€»æ,82,132,47,1.594,48,56
2016-02,87,38~180,¡º,60,100,35,1.338,41,85
2016-03,89,46~186,¡º,55,110,22,0.86,42,116
2016-04,115,53~342,«·∂»Œ€»æ,56,142,16,0.79,36,144
2016-05,106,55~186,«·∂»Œ€»æ,45,94,15,0.581,31,161
2016-06,103,52~167,«·∂»Œ€»æ,35,66,8,0.43,23,162
2016-07,78,0~124,¡º,35,57,6,0.535,19,129
2016-08,67,30~142,¡º,26,52,7,0.503,23,114
2016-09,86,32~169,¡º,36,68,11,0.573,30,139
2016-10,66,40~108,¡º,38,70,8,0.606,33,98
2016-11,89,31~166,¡º,60,109,20,0.98,45,68
2016-12,111,33~304,«·∂»Œ€»æ,82,119,28,1.332,47,56
2017-01,105,38~252,«·∂»Œ€»æ,77,108,29,1.41,41,65
2017-02,88,0~234,¡º,62,87,26,0.989,33,82
2017-03,75,0~142,¡º,49,84,19,0.952,34,105
2017-04,79,50~119,¡º,41,94,14,0.72,25,126
2017-05,118,45~202,«·∂»Œ€»æ,37,112,10,0.458,20,163
2017-06,110,50~206,«·∂»Œ€»æ,32,68,9,0.363,20,170
2017-07,108,52~201,«·∂»Œ€»æ,45,59,6,0.445,15,166
2017-08,107,36~500,«·∂»Œ€»æ,27,773,6,0.548,17,134
2017-09,101,45~157,«·∂»Œ€»æ,31,61,9,0.607,27,157
2017-10,64,34~139,¡º,33,65,11,0.642,28,108
2017-11,74,36~138,¡º,44,93,18,0.987,32,76
2017-12,86,46~212,¡º,59,108,27,1.274,43,57
2018-01,95,38~225,¡º,65,115,25,1.565,40,58
2018-02,72,45~127,¡º,46,86,22,1.154,29,82
2018-03,76,43~132,¡º,47,90,14,0.845,29,114
2018-04,84,48~131,¡º,38,104,13,0.638,21,117
