‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-05,96,35~220,¡º,0,79,12,1.274,30,0
2013-06,130,54~500,«·∂»Œ€»æ,0,124,18,21.257,42,0
2013-07,104,44~500,«·∂»Œ€»æ,0,94,9,249.145,31,0
2013-08,161,68~266,÷–∂»Œ€»æ,0,74,20,0.861,33,196
2013-09,109,48~237,«·∂»Œ€»æ,0,108,20,1.121,40,110
2013-10,138,49~352,«·∂»Œ€»æ,0,207,45,1.935,62,125
2013-11,302,47~500,—œ÷ÿŒ€»æ,108,181,72,1.54,56,1489
2013-12,261,64~500,÷ÿ∂»Œ€»æ,203,260,101,36.645,72,54
2014-01,224,81~395,÷ÿ∂»Œ€»æ,178,261,91,1.819,69,50
2014-02,177,57~350,÷–∂»Œ€»æ,138,178,60,1.336,44,73
2014-03,136,76~253,«·∂»Œ€»æ,101,161,47,0.997,49,90
2014-04,110,54~222,«·∂»Œ€»æ,78,119,44,1.07,44,103
2014-05,99,52~204,¡º,59,128,43,0.816,38,124
2014-06,102,50~190,«·∂»Œ€»æ,71,110,49,1.037,37,126
2014-07,87,44~145,¡º,56,95,33,0.758,28,128
2014-08,82,50~145,¡º,49,90,40,0.916,33,116
2014-09,74,33~132,¡º,47,85,42,1.157,40,81
2014-10,119,57~205,«·∂»Œ€»æ,87,135,61,1.226,52,88
2014-11,140,52~394,«·∂»Œ€»æ,105,157,75,1.333,57,66
2014-12,120,65~226,«·∂»Œ€»æ,85,157,86,1.074,53,67
2015-01,166,72~314,÷–∂»Œ€»æ,128,197,83,1.413,62,65
2015-02,147,66~292,«·∂»Œ€»æ,111,180,63,1.289,45,87
2015-03,128,72~222,«·∂»Œ€»æ,93,156,47,1.029,47,87
2015-04,106,48~188,«·∂»Œ€»æ,74,134,44,0.81,43,114
2015-05,135,65~276,«·∂»Œ€»æ,99,164,53,0.806,37,142
2015-06,141,66~272,«·∂»Œ€»æ,102,163,55,0.923,36,142
2015-07,133,53~218,«·∂»Œ€»æ,94,139,50,0.777,34,150
2015-08,98,57~149,¡º,54,94,34,0.897,31,150
2015-09,101,52~190,«·∂»Œ€»æ,67,113,35,1.02,38,132
2015-10,106,40~199,«·∂»Œ€»æ,72,134,46,1.09,49,103
2015-11,75,38~135,¡º,48,74,34,1.34,47,49
2015-12,155,48~312,÷–∂»Œ€»æ,117,179,55,1.645,51,45
2016-01,176,55~396,÷–∂»Œ€»æ,137,202,57,1.906,53,57
2016-02,121,35~232,«·∂»Œ€»æ,86,142,48,1.403,45,84
2016-03,125,59~350,«·∂»Œ€»æ,82,165,42,1.31,44,107
2016-04,100,53~159,«·∂»Œ€»æ,66,135,33,1.13,41,120
2016-05,96,46~181,¡º,42,87,22,0.958,32,147
2016-06,102,55~157,«·∂»Œ€»æ,45,77,16,0.987,32,158
2016-07,78,52~119,¡º,41,72,20,0.803,30,115
2016-08,87,55~122,¡º,48,83,12,0.961,31,134
2016-09,97,53~151,¡º,57,108,25,1.18,46,139
2016-10,68,29~103,¡º,44,76,22,0.977,42,56
2016-11,134,48~276,«·∂»Œ€»æ,101,158,31,1.713,52,42
2016-12,181,71~442,÷–∂»Œ€»æ,143,198,38,1.716,60,45
2017-01,172,67~308,÷–∂»Œ€»æ,134,194,37,1.91,53,50
2017-02,129,54~296,«·∂»Œ€»æ,96,153,32,1.589,45,76
2017-03,116,63~213,«·∂»Œ€»æ,83,144,47,1.516,52,94
2017-04,98,62~158,¡º,61,121,25,1.327,38,110
2017-05,129,54~464,«·∂»Œ€»æ,59,142,19,1.113,32,152
2017-06,117,51~205,«·∂»Œ€»æ,55,101,12,1.143,32,172
2017-07,92,35~181,¡º,36,68,9,1.1,20,144
2017-08,95,38~167,¡º,40,73,16,1.023,24,149
2017-09,83,42~136,¡º,46,79,19,0.963,36,124
2017-10,73,24~145,¡º,52,80,20,1.026,41,78
2017-11,100,60~200,«·∂»Œ€»æ,71,130,29,1.043,54,71
2017-12,119,48~254,«·∂»Œ€»æ,85,142,23,1.242,49,65
2018-01,152,53~373,÷–∂»Œ€»æ,116,162,21,1.245,47,65
2018-02,124,59~237,«·∂»Œ€»æ,88,144,19,1.046,37,83
2018-03,104,51~193,«·∂»Œ€»æ,73,122,15,0.952,38,110
2018-04,103,72~169,«·∂»Œ€»æ,51,152,13,0.688,33,107
