‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,153,153~153,÷–∂»Œ€»æ,117,174,38,1.1,25,66
2015-01,151,35~266,÷–∂»Œ€»æ,115,180,26,1.342,29,51
2015-02,107,33~222,«·∂»Œ€»æ,78,128,21,1.2,26,69
2015-03,75,39~107,¡º,42,81,25,0.881,22,99
2015-04,83,40~138,¡º,29,63,25,0.777,20,138
2015-05,76,48~125,¡º,29,66,23,0.739,19,129
2015-06,66,37~121,¡º,23,54,17,0.74,17,112
2015-07,98,47~162,¡º,29,67,16,0.665,18,155
2015-08,84,47~118,¡º,35,67,15,0.774,18,139
2015-09,63,36~108,¡º,35,61,17,0.86,19,104
2015-10,69,29~122,¡º,46,73,18,0.839,23,94
2015-11,55,28~109,¡º,35,58,22,1.09,23,39
2015-12,81,34~175,¡º,57,85,26,0.974,30,38
2016-01,97,39~175,¡º,71,100,27,1.142,29,45
2016-02,112,34~291,«·∂»Œ€»æ,84,110,16,1.097,28,72
2016-03,79,37~133,¡º,56,82,25,0.913,30,102
2016-04,65,36~128,¡º,39,67,19,0.823,27,97
2016-05,75,37~132,¡º,38,74,17,0.755,22,119
2016-06,76,33~149,¡º,30,56,12,0.703,17,126
2016-07,71,35~117,¡º,24,46,10,0.645,15,123
2016-08,71,31~124,¡º,31,52,12,0.752,17,122
2016-09,69,36~159,¡º,43,70,13,0.927,23,95
2016-10,52,26~110,¡º,30,59,17,0.858,19,64
2016-11,66,24~110,¡º,37,84,24,1.083,27,38
2016-12,99,59~169,¡º,70,135,26,1.265,34,33
2017-01,112,30~200,«·∂»Œ€»æ,80,154,18,1.387,36,39
2017-02,82,41~134,¡º,55,109,16,1.168,32,57
2017-03,64,32~112,¡º,32,78,22,0.903,33,72
2017-04,63,27~109,¡º,27,66,17,0.773,29,101
2017-05,70,24~115,¡º,30,66,14,0.781,29,113
2017-06,60,31~108,¡º,22,50,16,0.763,22,103
2017-07,78,26~123,¡º,20,46,12,0.642,21,130
2017-08,73,23~122,¡º,20,44,7,0.677,16,125
2017-09,42,21~85,”≈,20,42,5,0.783,18,69
2017-10,39,19~78,”≈,21,41,6,0.777,20,53
2017-11,61,29~107,¡º,36,73,11,0.92,31,47
2017-12,105,47~204,«·∂»Œ€»æ,77,125,13,1.139,39,40
2018-01,93,30~222,¡º,68,106,12,1.158,40,43
2018-02,94,42~186,¡º,68,106,11,1.136,36,57
2018-03,69,28~114,¡º,46,79,12,0.955,36,78
2018-04,73,40~91,¡º,37,89,13,0.775,35,115
