‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,109,21~190,«·∂»Œ€»æ,82,106,27,1.283,63,81
2014-01,120,59~207,«·∂»Œ€»æ,90,117,22,1.371,74,91
2014-02,63,12~145,¡º,46,61,12,0.971,44,59
2014-03,77,28~172,¡º,55,79,17,1.129,57,62
2014-04,69,48~108,¡º,49,69,19,0.967,54,79
2014-05,52,33~102,¡º,33,49,16,0.961,43,66
2014-06,71,34~142,¡º,34,53,15,0.887,38,109
2014-07,84,29~191,¡º,35,55,16,0.755,35,133
2014-08,76,26~186,¡º,31,49,15,0.777,34,123
2014-09,75,23~148,¡º,36,56,16,0.843,35,124
2014-10,96,52~139,¡º,59,85,17,0.945,49,148
2014-11,70,15~125,¡º,50,67,16,1.08,48,83
2014-12,76,28~142,¡º,55,82,19,1.232,41,60
2015-01,81,22~176,¡º,60,85,20,1.261,65,70
2015-02,75,28~147,¡º,55,75,12,1.079,49,67
2015-03,49,17~90,”≈,33,49,10,1.023,45,39
2015-04,71,21~170,¡º,38,60,14,1.04,45,99
2015-05,47,28~99,”≈,27,42,12,0.845,42,72
2015-06,52,28~89,¡º,21,36,11,0.74,31,94
2015-07,65,38~159,¡º,28,45,9,0.81,32,104
2015-08,89,49~200,¡º,39,60,13,0.884,39,131
2015-09,80,45~157,¡º,42,65,11,0.9,44,117
2015-10,71,30~131,¡º,45,77,12,0.919,53,95
2015-11,65,33~95,¡º,38,67,14,1.013,50,66
2015-12,69,33~166,¡º,41,64,12,1.09,50,39
2016-01,65,29~153,¡º,35,54,9,1.097,49,37
2016-02,58,30~130,¡º,36,53,9,0.866,40,62
2016-03,78,30~175,¡º,47,71,13,1.068,61,65
2016-04,66,45~129,¡º,38,55,13,1.053,51,47
2016-05,65,33~147,¡º,31,51,11,0.926,38,96
2016-06,60,36~120,¡º,23,41,9,0.85,33,97
2016-07,74,28~202,¡º,27,45,12,0.877,33,113
2016-08,82,25~197,¡º,37,56,14,0.894,40,125
2016-09,76,38~201,¡º,36,57,12,0.903,41,107
2016-10,51,33~85,¡º,30,48,11,0.89,35,79
2016-11,76,33~166,¡º,41,69,14,1.017,62,78
2016-12,86,37~128,¡º,51,83,14,1.103,71,84
2017-01,82,40~205,¡º,54,78,12,1.203,65,77
2017-02,75,32~118,¡º,44,64,13,0.9,59,90
2017-03,81,49~106,¡º,41,69,12,0.952,65,57
2017-04,83,45~173,¡º,34,61,12,0.82,58,88
2017-05,89,44~201,¡º,34,58,12,0.845,52,125
2017-06,56,39~110,¡º,19,36,10,0.733,39,82
2017-07,65,35~142,¡º,21,37,12,0.771,42,91
2017-08,70,29~144,¡º,23,41,11,0.768,39,110
2017-09,94,37~201,¡º,34,56,12,0.927,51,135
2017-10,65,29~116,¡º,32,51,11,0.848,42,109
2017-11,68,37~110,¡º,39,61,11,0.95,51,68
2017-12,80,38~125,¡º,51,77,16,0.968,65,80
2018-01,96,38~196,¡º,62,84,14,1.132,75,66
2018-02,71,27~189,¡º,44,58,11,0.779,45,84
2018-03,85,38~149,¡º,43,65,13,0.835,61,106
2018-04,94,48~159,¡º,39,78,13,0.725,49,143
