‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,120,120~120,«·∂»Œ€»æ,91,155,98,2.5,30,68
2015-01,97,64~240,¡º,65,124,93,2.826,29,71
2015-02,107,56~183,«·∂»Œ€»æ,64,140,67,2.275,23,86
2015-03,87,40~139,¡º,49,113,32,1.294,25,96
2015-04,93,53~326,¡º,38,113,12,1.907,19,114
2015-05,87,52~167,¡º,28,87,10,1.439,17,134
2015-06,66,33~105,¡º,24,61,5,0.817,12,111
2015-07,67,46~88,¡º,28,56,7,0.9,13,119
2015-08,58,40~95,¡º,21,48,8,0.767,15,104
2015-09,48,32~64,”≈,21,38,5,0.863,16,91
2015-10,49,22~172,”≈,25,50,11,0.781,25,72
2015-11,53,30~102,¡º,27,45,49,1.347,27,38
2015-12,80,43~192,¡º,45,72,80,1.197,24,49
2016-01,82,58~203,¡º,44,71,98,1.113,20,51
2016-02,89,46~182,¡º,41,106,84,1.162,15,64
2016-03,63,39~139,¡º,31,71,37,1.471,14,79
2016-04,52,38~78,¡º,19,51,9,0.923,11,89
2016-05,67,36~149,¡º,25,70,7,0.823,13,100
2016-06,74,50~111,¡º,26,54,6,0.57,14,125
2016-07,76,45~104,¡º,23,41,6,0.584,13,130
2016-08,67,34~95,¡º,29,45,5,0.703,12,119
2016-09,69,41~110,¡º,31,50,8,0.713,19,117
2016-10,55,25~124,¡º,31,57,10,0.855,20,81
2016-11,106,53~390,«·∂»Œ€»æ,63,140,73,1.077,37,73
2016-12,101,60~210,«·∂»Œ€»æ,68,112,98,1.31,41,76
2017-01,113,55~422,«·∂»Œ€»æ,68,123,92,1.21,34,82
2017-02,91,54~162,¡º,61,95,78,1.075,30,101
2017-03,72,48~156,¡º,42,73,40,0.839,24,100
2017-04,77,40~155,¡º,32,73,9,0.617,17,116
2017-05,94,60~275,¡º,32,82,8,0.581,18,134
2017-06,80,52~104,¡º,25,59,6,0.697,16,135
2017-07,71,41~113,¡º,22,52,7,0.645,12,124
2017-08,64,33~106,¡º,20,44,8,0.797,12,114
2017-09,59,36~81,¡º,29,65,9,0.783,21,96
2017-10,47,25~70,”≈,26,50,10,0.806,20,64
2017-11,78,50~192,¡º,46,96,19,0.913,30,70
2017-12,104,46~350,«·∂»Œ€»æ,60,131,36,1.058,33,68
2018-01,84,41~168,¡º,54,101,29,1.019,27,74
2018-02,79,43~268,¡º,42,104,28,1.011,21,85
2018-03,82,35~140,¡º,44,112,15,0.742,21,102
2018-04,121,66~187,«·∂»Œ€»æ,52,190,7,0.463,16,115
