‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,134,134~134,«·∂»Œ€»æ,102,140,38,1.8,40,34
2014-01,131,100~173,«·∂»Œ€»æ,89,186,25,1.416,35,66
2014-02,126,52~228,«·∂»Œ€»æ,67,200,14,0.689,25,87
2014-03,234,85~446,÷ÿ∂»Œ€»æ,91,348,18,0.611,30,106
2014-04,156,60~484,÷–∂»Œ€»æ,60,239,11,0.586,27,109
2014-05,186,52~421,÷–∂»Œ€»æ,69,280,21,0.619,23,107
2014-06,90,49~326,¡º,37,123,25,0.743,23,113
2014-07,89,48~264,¡º,38,108,22,0.587,23,117
2014-08,80,57~159,¡º,39,105,9,0.942,27,113
2014-09,134,50~406,«·∂»Œ€»æ,66,193,10,1.637,35,93
2014-10,119,40~378,«·∂»Œ€»æ,57,181,10,1.89,41,78
2014-11,87,31~180,¡º,46,123,8,1.64,38,59
2014-12,110,40~196,«·∂»Œ€»æ,73,142,12,2.139,44,51
2015-01,100,38~148,¡º,74,104,13,1.952,42,58
2015-02,107,69~342,«·∂»Œ€»æ,49,149,10,1.486,27,71
2015-03,197,71~497,÷–∂»Œ€»æ,59,285,8,1.474,26,88
2015-04,123,59~369,«·∂»Œ€»æ,43,177,4,1.231,25,105
2015-05,87,48~172,¡º,39,122,5,0.729,19,106
2015-06,70,48~123,¡º,29,79,9,1.14,19,108
2015-07,77,50~125,¡º,27,74,6,1.171,22,121
2015-08,90,47~343,¡º,39,117,6,1.306,25,103
2015-09,68,42~203,¡º,27,83,7,0.883,24,90
2015-10,138,48~500,«·∂»Œ€»æ,58,194,9,1.148,34,74
2015-11,85,50~134,¡º,50,115,8,1.56,38,57
2015-12,73,28~127,¡º,53,69,9,1.2,32,44
2016-01,103,59~193,«·∂»Œ€»æ,64,128,11,1.4,36,53
2016-02,308,86~500,—œ÷ÿŒ€»æ,89,456,17,1.759,30,62
2016-03,329,130~500,—œ÷ÿŒ€»æ,131,637,12,0.939,29,79
2016-04,120,54~322,«·∂»Œ€»æ,46,180,7,0.683,24,97
2016-05,185,44~500,÷–∂»Œ€»æ,66,311,8,0.881,21,91
2016-06,77,48~317,¡º,29,94,8,0.71,22,103
2016-07,73,46~155,¡º,33,90,4,0.9,22,101
2016-08,66,41~150,¡º,33,80,4,0.868,25,91
2016-09,73,44~120,¡º,29,96,7,0.977,30,86
2016-10,110,38~223,«·∂»Œ€»æ,41,169,7,1.603,30,67
2016-11,103,46~181,«·∂»Œ€»æ,50,154,8,1.46,41,57
2016-12,100,63~132,¡º,73,121,9,1.6,38,44
2017-01,80,43~138,¡º,49,95,11,1.613,34,52
2017-02,163,51~500,÷–∂»Œ€»æ,54,248,12,1.907,33,67
2017-03,162,55~500,÷–∂»Œ€»æ,69,270,9,1.639,33,83
2017-04,75,38~229,¡º,33,96,6,1.003,23,90
2017-05,76,47~136,¡º,38,98,9,1.145,18,101
2017-06,74,43~199,¡º,34,93,6,1.267,18,102
2017-07,79,50~150,¡º,34,101,7,1.387,19,106
2017-08,71,52~124,¡º,27,86,5,1.484,23,106
2017-09,97,54~226,¡º,41,142,5,1.543,30,97
2017-10,117,66~253,«·∂»Œ€»æ,49,181,7,1.577,34,86
2017-11,108,67~185,«·∂»Œ€»æ,53,166,11,1.807,48,74
2017-12,101,59~275,«·∂»Œ€»æ,57,135,11,1.694,37,56
2018-01,97,45~171,¡º,44,145,9,1.535,32,63
2018-02,95,41~138,¡º,50,141,7,1.571,32,76
2018-03,238,72~500,÷ÿ∂»Œ€»æ,78,362,8,0.726,24,94
2018-04,216,92~500,÷ÿ∂»Œ€»æ,78,339,6,0.475,15,100
