‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,179,52~427,÷–∂»Œ€»æ,144,201,78,2.24,82,26
2014-01,190,39~425,÷–∂»Œ€»æ,149,213,86,2.045,71,34
2014-02,197,28~493,÷–∂»Œ€»æ,162,213,77,2.243,67,41
2014-03,147,53~302,«·∂»Œ€»æ,108,183,45,1.474,62,69
2014-04,111,65~208,«·∂»Œ€»æ,75,152,25,0.957,42,102
2014-05,109,44~199,«·∂»Œ€»æ,66,143,22,0.835,33,139
2014-06,112,63~225,«·∂»Œ€»æ,66,106,12,0.737,25,154
2014-07,118,52~223,«·∂»Œ€»æ,78,129,14,1.074,34,150
2014-08,105,54~176,«·∂»Œ€»æ,64,104,15,1.019,33,145
2014-09,91,49~170,¡º,63,108,19,1.17,30,93
2014-10,169,29~342,÷–∂»Œ€»æ,131,195,28,1.445,59,66
2014-11,157,40~455,÷–∂»Œ€»æ,122,183,40,1.873,72,38
2014-12,136,43~368,«·∂»Œ€»æ,99,152,52,1.926,54,29
2015-01,138,39~304,«·∂»Œ€»æ,104,149,49,1.842,52,27
2015-02,139,40~273,«·∂»Œ€»æ,100,148,47,1.586,42,44
2015-03,128,48~265,«·∂»Œ€»æ,86,167,31,1.381,50,71
2015-04,111,40~223,«·∂»Œ€»æ,75,139,19,1.147,36,112
2015-05,96,48~165,¡º,59,106,17,0.926,32,138
2015-06,95,45~185,¡º,59,105,13,0.903,32,136
2015-07,100,56~161,«·∂»Œ€»æ,52,120,9,0.971,32,144
2015-08,97,57~150,¡º,53,103,8,1.016,42,144
2015-09,88,33~176,¡º,51,99,10,1.043,51,113
2015-10,117,34~357,«·∂»Œ€»æ,80,130,14,1.21,53,76
2015-11,165,34~500,÷–∂»Œ€»æ,132,161,26,1.883,60,28
2015-12,205,34~412,÷ÿ∂»Œ€»æ,166,225,41,3.068,77,16
2016-01,122,49~400,«·∂»Œ€»æ,89,135,41,1.974,61,31
2016-02,78,33~267,¡º,51,79,30,1.214,40,65
2016-03,115,37~262,«·∂»Œ€»æ,73,147,30,1.229,59,84
2016-04,89,43~172,¡º,46,111,14,0.83,45,117
2016-05,94,51~174,¡º,40,88,13,0.755,37,144
2016-06,113,60~157,«·∂»Œ€»æ,49,85,10,0.903,39,168
2016-07,107,48~159,«·∂»Œ€»æ,56,90,7,1.003,39,151
2016-08,96,53~176,¡º,43,79,6,0.903,45,140
2016-09,82,43~133,¡º,41,76,6,0.867,44,121
2016-10,85,38~199,¡º,55,95,10,1.252,57,53
2016-11,120,30~290,«·∂»Œ€»æ,89,143,22,2.117,66,32
2016-12,190,55~429,÷–∂»Œ€»æ,152,209,28,3.29,85,26
2017-01,160,35~402,÷–∂»Œ€»æ,125,174,27,2.89,69,42
2017-02,121,40~309,«·∂»Œ€»æ,87,126,27,1.829,64,72
2017-03,94,41~242,¡º,63,105,18,1.035,53,96
2017-04,90,50~180,¡º,52,116,14,0.913,48,113
2017-05,142,58~500,«·∂»Œ€»æ,54,149,12,0.894,37,168
2017-06,129,50~205,«·∂»Œ€»æ,44,83,10,0.887,39,188
2017-07,119,47~206,«·∂»Œ€»æ,51,82,7,1.045,30,177
2017-08,88,40~145,¡º,33,56,6,0.761,34,141
2017-09,102,44~173,«·∂»Œ€»æ,50,103,11,0.83,44,151
2017-10,80,34~196,¡º,52,92,8,0.939,48,57
2017-11,82,34~176,¡º,52,96,11,0.91,52,47
2017-12,90,34~223,¡º,59,101,16,1.135,57,41
2018-01,78,35~188,¡º,47,88,15,1.21,52,49
2018-02,87,35~190,¡º,58,100,14,1.029,40,75
2018-03,122,52~288,«·∂»Œ€»æ,83,153,15,1.226,60,91
2018-04,103,38~244,«·∂»Œ€»æ,65,130,9,0.938,39,103
