‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,80,40~152,¡º,54,101,83,2.83,51,35
2014-01,95,60~256,¡º,66,124,93,2.542,50,34
2014-02,119,28~206,«·∂»Œ€»æ,85,133,54,2.804,41,51
2014-03,99,54~312,¡º,53,138,37,2.342,43,70
2014-04,87,32~223,¡º,45,121,12,2.163,37,82
2014-05,96,28~185,¡º,47,140,11,1.503,41,110
2014-06,82,47~122,¡º,42,103,8,2.193,42,130
2014-07,83,44~111,¡º,31,90,8,1.155,36,132
2014-08,72,33~117,¡º,30,79,8,1.181,34,116
2014-09,62,22~108,¡º,35,74,7,1.6,35,85
2014-10,91,46~188,¡º,49,128,14,2.132,50,77
2014-11,90,61~143,¡º,54,117,37,1.94,51,50
2014-12,90,63~152,¡º,51,127,72,3.358,51,43
2015-01,101,56~213,«·∂»Œ€»æ,68,130,80,3.861,57,49
2015-02,97,48~159,¡º,58,125,53,2.964,41,76
2015-03,90,46~123,¡º,49,125,30,2.168,42,89
2015-04,80,52~170,¡º,37,107,11,1.543,38,110
2015-05,83,56~116,¡º,40,105,9,1.361,41,119
2015-06,84,50~139,¡º,36,93,7,1.093,39,126
2015-07,84,55~134,¡º,36,80,9,1.119,48,136
2015-08,77,47~125,¡º,32,76,8,1.235,44,114
2015-09,73,51~112,¡º,40,81,9,1.347,43,102
2015-10,78,47~215,¡º,41,96,12,1.432,47,68
2015-11,76,33~115,¡º,51,92,29,1.983,49,41
2015-12,103,59~193,«·∂»Œ€»æ,71,116,46,1.968,56,47
2016-01,80,43~214,¡º,53,93,55,1.623,47,53
2016-02,89,40~190,¡º,48,117,50,1.134,39,75
2016-03,112,51~355,«·∂»Œ€»æ,62,140,26,1.352,57,111
2016-04,85,50~125,¡º,37,108,8,1.313,53,129
2016-05,94,46~154,¡º,39,92,9,1.181,45,139
2016-06,82,53~151,¡º,25,63,8,1.163,43,137
2016-07,76,47~115,¡º,30,61,8,1.255,35,118
2016-08,66,40~98,¡º,34,65,8,1.384,39,99
2016-09,62,42~84,¡º,28,67,10,1.473,43,98
2016-10,61,38~105,¡º,32,66,14,1.5,43,60
2016-11,95,47~153,¡º,61,126,62,2.403,63,44
2016-12,106,56~168,«·∂»Œ€»æ,77,123,78,2.916,70,32
2017-01,102,48~179,«·∂»Œ€»æ,67,115,85,2.706,66,43
2017-02,93,38~150,¡º,61,103,71,2.343,64,70
2017-03,79,54~128,¡º,44,80,42,1.81,53,91
2017-04,80,40~213,¡º,33,99,15,1.137,47,104
2017-05,90,44~350,¡º,40,102,14,1.074,48,124
2017-06,87,49~113,¡º,33,78,12,1.137,46,142
2017-07,81,39~136,¡º,38,87,10,1.171,44,129
2017-08,72,42~117,¡º,29,70,11,1.132,42,113
2017-09,71,52~89,¡º,34,90,11,1.223,44,96
2017-10,60,29~98,¡º,34,66,12,1.481,41,54
2017-11,86,57~122,¡º,51,115,39,2.247,63,50
2017-12,98,52~220,¡º,60,125,63,2.461,66,45
2018-01,84,49~119,¡º,47,98,64,2.197,57,58
2018-02,90,45~410,¡º,44,107,73,2.004,52,80
2018-03,87,42~143,¡º,48,119,27,1.545,54,102
2018-04,124,77~186,«·∂»Œ€»æ,45,197,12,1.263,44,110
