‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,34,34~34,”≈,14,25,20,0.6,11,67
2015-01,87,30~195,¡º,63,79,61,0.961,28,54
2015-02,79,37~190,¡º,54,75,38,0.789,24,73
2015-03,68,42~130,¡º,45,68,25,0.733,21,95
2015-04,66,40~122,¡º,35,62,15,0.803,21,110
2015-05,64,31~168,¡º,21,54,6,0.574,18,105
2015-06,56,31~99,¡º,17,29,3,0.587,19,104
2015-07,56,31~103,¡º,16,30,3,0.548,18,103
2015-08,40,21~60,”≈,15,29,4,0.49,15,78
2015-09,40,30~47,”≈,17,33,3,0.487,17,76
2015-10,51,28~89,¡º,30,52,7,0.661,27,69
2015-11,88,30~344,¡º,66,73,19,0.82,35,53
2015-12,87,29~207,¡º,64,77,33,1.065,38,40
2016-01,60,30~104,¡º,42,59,27,0.726,25,63
2016-02,64,38~139,¡º,44,57,24,0.724,26,74
2016-03,63,40~167,¡º,37,67,16,0.835,24,97
2016-04,68,44~142,¡º,33,67,7,0.943,20,103
2016-05,64,43~113,¡º,18,38,5,0.732,18,115
2016-06,48,29~95,”≈,14,25,4,0.953,17,91
2016-07,43,20~88,”≈,15,27,4,0.884,14,81
2016-08,44,20~73,”≈,16,29,4,0.813,16,83
2016-09,39,23~68,”≈,17,33,6,0.987,16,67
2016-10,47,25~85,”≈,28,48,10,0.877,23,66
2016-11,72,31~158,¡º,51,68,25,1.337,32,55
2016-12,81,34~210,¡º,57,72,28,1.239,38,57
2017-01,77,35~186,¡º,53,65,32,1.206,33,68
2017-02,62,41~143,¡º,38,49,25,0.886,27,90
2017-03,65,44~112,¡º,40,53,16,0.91,24,106
2017-04,80,44~204,¡º,47,64,10,0.857,24,119
2017-05,80,41~482,¡º,21,63,9,0.703,17,112
2017-06,55,33~106,¡º,14,26,10,0.81,19,101
2017-07,59,35~88,¡º,19,30,8,0.852,16,109
2017-08,35,19~77,”≈,10,23,7,0.677,11,68
2017-09,42,25~72,”≈,15,31,8,0.717,16,77
2017-10,52,31~99,¡º,32,50,13,0.906,28,70
2017-11,59,27~143,¡º,39,56,19,0.847,28,55
2017-12,61,36~134,¡º,40,55,23,0.987,27,69
2018-01,56,38~98,¡º,35,51,21,0.8,23,77
2018-02,75,38~267,¡º,52,69,21,0.796,24,91
2018-03,77,44~163,¡º,45,67,17,0.868,25,114
2018-04,61,48~84,¡º,28,47,13,0.65,15,112
