‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-01,238,81~433,÷ÿ∂»Œ€»æ,193,206,38,5.594,21,0
2013-02,188,93~357,÷–∂»Œ€»æ,145,145,26,4.557,15,0
2013-03,131,86~309,«·∂»Œ€»æ,85,118,30,5.7,12,4
2013-04,113,53~205,«·∂»Œ€»æ,82,89,33,2.003,16,23
2013-05,99,38~158,¡º,42,61,16,0.597,19,125
2013-06,158,45~321,÷–∂»Œ€»æ,116,125,13,0.97,22,104
2013-07,113,78~225,«·∂»Œ€»æ,64,89,12,1.01,18,5
2013-08,95,59~219,¡º,57,83,12,0.981,17,120
2013-09,156,53~264,÷–∂»Œ€»æ,113,133,15,1.147,24,104
2013-10,245,49~436,÷ÿ∂»Œ€»æ,203,226,34,1.771,32,103
2013-11,147,57~239,«·∂»Œ€»æ,109,131,47,1.623,43,66
2013-12,225,80~450,÷ÿ∂»Œ€»æ,182,198,86,2.761,67,47
2014-01,192,59~348,÷–∂»Œ€»æ,151,161,73,2.926,61,43
2014-02,140,45~262,«·∂»Œ€»æ,106,116,48,2.271,36,63
2014-03,129,72~258,«·∂»Œ€»æ,96,153,34,1.816,37,88
2014-04,117,66~227,«·∂»Œ€»æ,83,119,14,2.16,26,70
2014-05,102,31~180,«·∂»Œ€»æ,57,125,23,1.165,23,94
2014-06,100,46~214,«·∂»Œ€»æ,68,63,18,1.22,26,119
2014-07,81,35~133,¡º,51,87,18,0.671,24,109
2014-08,83,33~166,¡º,60,94,21,0.984,27,94
2014-09,85,32~185,¡º,59,92,21,1.263,29,82
2014-10,123,48~320,«·∂»Œ€»æ,90,140,30,1.306,41,54
2014-11,129,40~315,«·∂»Œ€»æ,95,139,31,1.357,50,38
2014-12,94,39~228,¡º,62,106,64,1.539,51,39
2015-01,168,69~426,÷–∂»Œ€»æ,130,186,61,2.106,62,39
2015-02,121,66~230,«·∂»Œ€»æ,88,141,44,1.939,48,71
2015-03,97,55~175,¡º,61,130,35,1.584,38,84
2015-04,97,36~145,¡º,56,124,31,1.373,33,120
2015-05,106,75~183,«·∂»Œ€»æ,70,139,26,1.503,29,137
2015-06,87,25~174,¡º,54,115,18,1.437,31,100
2015-07,71,49~101,¡º,47,86,10,1.19,20,65
2015-08,69,52~108,¡º,45,78,15,1.203,25,98
2015-09,77,38~172,¡º,51,95,19,1.373,36,80
2015-10,93,53~207,¡º,62,118,29,1.416,50,60
2015-11,121,30~375,«·∂»Œ€»æ,91,130,31,1.553,47,39
2015-12,178,59~496,÷–∂»Œ€»æ,137,204,50,2.29,64,31
2016-01,179,73~500,÷–∂»Œ€»æ,140,197,54,2.239,63,39
2016-02,111,46~188,«·∂»Œ€»æ,75,143,49,1.986,46,77
2016-03,113,58~229,«·∂»Œ€»æ,71,162,40,1.713,48,117
2016-04,116,61~228,«·∂»Œ€»æ,77,152,26,1.73,38,126
2016-05,83,55~158,¡º,43,97,19,1.132,28,126
2016-06,87,50~133,¡º,39,83,11,1.27,26,137
2016-07,74,50~124,¡º,38,69,7,0.955,20,121
2016-08,73,38~120,¡º,37,65,11,1.242,21,122
2016-09,88,54~125,¡º,57,108,24,1.283,37,125
2016-10,65,32~98,¡º,41,74,19,1.284,41,65
2016-11,136,44~262,«·∂»Œ€»æ,100,154,30,1.76,49,50
2016-12,179,65~420,÷–∂»Œ€»æ,142,185,43,2.181,61,49
2017-01,174,62~338,÷–∂»Œ€»æ,133,184,36,2.371,56,52
2017-02,144,62~294,«·∂»Œ€»æ,107,151,40,1.65,46,81
2017-03,104,58~198,«·∂»Œ€»æ,72,113,30,1.248,42,101
2017-04,97,54~160,¡º,54,108,21,1.067,36,128
2017-05,136,52~438,«·∂»Œ€»æ,61,161,17,0.903,27,164
2017-06,116,42~196,«·∂»Œ€»æ,45,98,8,0.91,27,172
2017-07,77,33~125,¡º,35,66,3,0.832,16,129
2017-08,81,34~150,¡º,37,71,6,0.884,21,133
2017-09,87,44~140,¡º,46,93,14,0.983,34,133
2017-10,77,27~134,¡º,53,84,16,1.09,44,73
2017-11,115,59~228,«·∂»Œ€»æ,82,133,25,1.187,55,67
2017-12,127,59~280,«·∂»Œ€»æ,93,138,27,1.419,60,50
2018-01,149,48~382,«·∂»Œ€»æ,112,145,21,1.481,47,54
2018-02,137,60~270,«·∂»Œ€»æ,96,144,20,1.118,36,82
2018-03,111,52~250,«·∂»Œ€»æ,76,115,15,1.032,34,106
2018-04,114,61~268,«·∂»Œ€»æ,49,162,17,1.038,30,108
