‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,75,40~144,¡º,40,100,84,0.9,32,57
2014-01,91,50~233,¡º,54,124,103,1.294,34,53
2014-02,155,32~390,÷–∂»Œ€»æ,119,196,114,2.046,45,58
2014-03,71,33~155,¡º,36,92,77,1.161,39,75
2014-04,72,42~151,¡º,29,87,63,1.07,26,109
2014-05,82,42~186,¡º,20,71,75,1.006,19,125
2014-06,72,40~116,¡º,17,31,26,0.867,16,125
2014-07,69,27~136,¡º,22,42,29,0.987,18,119
2014-08,54,23~149,¡º,23,46,33,0.884,17,92
2014-09,48,24~91,”≈,19,39,28,0.857,24,84
2014-10,52,31~105,¡º,26,52,29,1.113,38,66
2014-11,54,27~110,¡º,30,56,51,1.123,27,60
2014-12,59,29~124,¡º,30,72,59,1.206,25,54
2015-01,61,32~106,¡º,35,73,65,1.471,28,53
2015-02,56,36~100,¡º,26,65,52,1.107,21,73
2015-03,87,43~191,¡º,42,119,45,0.926,20,104
2015-04,82,51~188,¡º,32,94,26,0.673,24,118
2015-05,93,42~185,¡º,31,90,30,0.645,20,142
2015-06,94,38~173,¡º,32,63,27,0.627,17,149
2015-07,88,46~147,¡º,39,70,16,0.639,18,142
2015-08,75,43~199,¡º,26,62,14,0.455,18,123
2015-09,59,14~124,¡º,28,58,14,0.55,23,100
2015-10,65,32~111,¡º,34,81,17,0.59,30,75
2015-11,71,38~176,¡º,41,87,38,1.203,46,53
2015-12,71,30~130,¡º,35,93,46,1.165,42,59
2016-01,58,37~125,¡º,28,67,37,0.745,25,69
2016-02,63,41~183,¡º,29,72,36,0.731,23,87
2016-03,84,43~189,¡º,36,115,31,0.735,29,104
2016-04,88,49~159,¡º,28,110,14,0.533,23,124
2016-05,97,49~171,¡º,26,84,13,0.477,21,149
2016-06,88,49~139,¡º,23,61,12,0.467,20,144
2016-07,97,36~146,¡º,40,77,13,0.529,23,152
2016-08,73,38~114,¡º,24,62,13,0.497,22,123
2016-09,57,28~106,¡º,22,60,10,0.413,25,94
2016-10,71,28~130,¡º,38,90,12,0.655,34,83
2016-11,84,36~188,¡º,45,115,25,1.1,40,54
2016-12,67,35~130,¡º,39,83,30,0.929,35,57
2017-01,76,37~192,¡º,49,85,30,1.039,32,64
2017-02,63,43~218,¡º,36,65,25,0.925,26,82
2017-03,68,42~140,¡º,35,69,21,0.794,26,103
2017-04,72,57~115,¡º,25,80,15,0.573,20,120
2017-05,111,48~500,«·∂»Œ€»æ,35,132,15,0.635,19,146
2017-06,105,63~159,«·∂»Œ€»æ,30,71,13,0.637,21,164
2017-07,110,47~201,«·∂»Œ€»æ,37,74,11,0.535,24,166
2017-08,79,39~117,¡º,22,51,10,0.429,20,132
2017-09,71,40~126,¡º,25,68,7,0.507,24,119
2017-10,60,25~105,¡º,34,69,10,0.732,32,74
2017-11,64,38~135,¡º,31,79,17,0.76,30,66
2017-12,56,37~104,¡º,28,64,18,0.819,26,64
2018-01,55,30~150,¡º,25,61,20,0.8,22,70
2018-02,63,36~137,¡º,33,74,20,0.954,20,85
2018-03,109,50~500,«·∂»Œ€»æ,54,179,20,1.332,32,100
2018-04,103,50~276,«·∂»Œ€»æ,27,143,11,1.15,19,99
