‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,145,145~145,«·∂»Œ€»æ,111,179,113,1.5,74,59
2014-01,142,52~440,«·∂»Œ€»æ,108,135,40,1.094,46,61
2014-02,84,29~240,¡º,57,90,21,1.061,27,75
2014-03,98,53~193,¡º,68,120,39,1.032,41,94
2014-04,81,40~137,¡º,55,90,28,0.813,37,110
2014-05,113,53~205,«·∂»Œ€»æ,68,117,31,0.829,37,159
2014-06,97,36~193,¡º,61,103,22,0.87,34,132
2014-07,95,59~177,¡º,55,105,26,0.858,35,117
2014-08,78,48~203,¡º,44,89,28,0.823,30,104
2014-09,73,42~126,¡º,41,92,24,0.787,33,101
2014-10,99,66~214,¡º,63,135,33,0.755,48,110
2014-11,102,57~190,«·∂»Œ€»æ,74,133,36,0.913,52,80
2014-12,118,61~205,«·∂»Œ€»æ,85,157,48,1.106,55,51
2015-01,142,47~282,«·∂»Œ€»æ,107,165,45,1.232,54,54
2015-02,109,38~247,«·∂»Œ€»æ,80,124,25,0.964,33,78
2015-03,95,49~185,¡º,64,112,29,0.87,34,95
2015-04,109,51~194,«·∂»Œ€»æ,68,131,40,0.741,42,141
2015-05,90,55~180,¡º,44,105,32,0.813,43,127
2015-06,94,44~197,¡º,54,101,20,0.843,36,134
2015-07,85,32~205,¡º,45,85,22,0.61,39,121
2015-08,84,36~179,¡º,37,81,21,0.674,36,126
2015-09,76,40~201,¡º,33,67,24,0.687,35,124
2015-10,84,48~131,¡º,39,98,33,0.958,52,121
2015-11,74,38~152,¡º,37,92,24,1.1,52,61
2015-12,121,57~250,«·∂»Œ€»æ,88,138,29,1.177,61,52
2016-01,100,39~189,¡º,70,116,30,1.239,51,65
2016-02,92,38~178,¡º,65,104,25,1.138,46,88
2016-03,99,41~159,¡º,70,114,31,1.145,55,105
2016-04,96,56~182,¡º,63,106,27,1.103,50,127
2016-05,99,52~188,¡º,54,104,15,0.945,37,136
2016-06,81,48~151,¡º,48,74,11,0.837,34,121
2016-07,93,44~170,¡º,65,84,14,0.858,32,120
2016-08,79,34~152,¡º,27,55,21,0.5,29,121
2016-09,81,36~175,¡º,35,74,17,0.59,39,122
2016-10,58,32~107,¡º,27,61,15,0.677,34,74
2016-11,79,33~139,¡º,52,97,24,0.937,47,64
2016-12,99,0~206,¡º,70,111,31,0.971,43,62
2017-01,82,40~204,¡º,56,95,15,0.971,38,64
2017-02,87,40~149,¡º,60,101,12,0.829,46,91
2017-03,75,44~117,¡º,52,88,12,0.777,44,109
2017-04,99,57~165,¡º,49,108,13,0.873,41,139
2017-05,103,44~175,«·∂»Œ€»æ,39,95,11,0.726,34,149
2017-06,93,43~188,¡º,36,75,8,0.75,37,144
2017-07,99,40~205,¡º,32,66,15,0.755,38,150
2017-08,95,43~193,¡º,31,61,13,0.652,33,149
2017-09,70,42~158,¡º,31,58,12,0.587,40,110
2017-10,61,34~102,¡º,31,61,9,0.532,42,71
2017-11,91,33~190,¡º,61,107,13,0.71,18,0
2017-12,105,42~292,«·∂»Œ€»æ,77,119,14,0.777,27,22
2018-01,111,33~289,«·∂»Œ€»æ,80,112,14,0.926,50,58
2018-02,85,34~214,¡º,57,94,12,0.743,40,82
2018-03,79,40~124,¡º,50,84,11,0.748,48,98
2018-04,83,42~130,¡º,37,100,12,0.688,40,116
