‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,133,133~133,«·∂»Œ€»æ,101,155,26,1.8,36,94
2014-01,178,105~278,÷–∂»Œ€»æ,137,175,35,1.316,28,102
2014-02,106,29~173,«·∂»Œ€»æ,80,99,22,1.186,14,69
2014-03,92,55~147,¡º,68,100,19,1.139,15,82
2014-04,73,38~150,¡º,51,75,14,1.227,13,100
2014-05,76,30~199,¡º,51,80,15,1.445,13,88
2014-06,81,31~177,¡º,58,82,12,1.673,12,105
2014-07,52,20~119,¡º,33,46,11,1.397,8,80
2014-08,59,38~104,¡º,35,58,9,1.906,9,94
2014-09,65,31~135,¡º,38,57,6,1.54,11,98
2014-10,90,28~185,¡º,64,98,11,1.823,16,107
2014-11,65,29~170,¡º,43,74,12,1.627,17,63
2014-12,89,61~209,¡º,62,105,19,2.381,26,57
2015-01,123,26~194,«·∂»Œ€»æ,92,133,18,2.419,31,60
2015-02,102,27~164,«·∂»Œ€»æ,76,105,12,1.914,21,65
2015-03,81,29~206,¡º,57,90,10,1.458,17,62
2015-04,61,29~101,¡º,39,64,8,1.34,17,91
2015-05,68,40~145,¡º,45,71,9,1.455,13,87
2015-06,50,30~99,”≈,31,50,9,1.607,9,66
2015-07,56,35~105,¡º,30,54,9,1.526,11,97
2015-08,65,48~89,¡º,30,54,8,1.303,19,116
2015-09,70,36~98,¡º,46,75,9,1.733,16,98
2015-10,85,37~142,¡º,60,94,10,1.532,20,103
2015-11,56,36~87,¡º,37,55,6,1.657,20,47
2015-12,91,33~199,¡º,66,95,8,1.697,23,56
2016-01,123,68~226,«·∂»Œ€»æ,93,124,10,2.203,28,62
2016-02,88,44~159,¡º,63,101,8,1.459,20,73
2016-03,86,45~148,¡º,62,99,8,1.784,24,88
2016-04,60,38~108,¡º,37,64,7,1.227,21,80
2016-05,63,42~87,¡º,31,57,5,1.471,16,107
2016-06,48,33~61,”≈,23,43,5,1.52,15,79
2016-07,48,31~70,”≈,23,41,4,1.426,17,78
2016-08,57,41~81,¡º,28,49,5,1.594,19,99
2016-09,80,35~139,¡º,46,70,7,1.59,21,126
2016-10,59,33~89,¡º,34,55,10,1.539,20,73
2016-11,69,28~195,¡º,47,76,12,1.723,21,52
2016-12,112,52~195,«·∂»Œ€»æ,84,126,8,1.813,37,61
2017-01,131,45~297,«·∂»Œ€»æ,99,144,9,1.758,28,82
2017-02,79,41~172,¡º,56,84,9,1.593,22,76
2017-03,72,34~140,¡º,48,78,8,1.297,25,83
2017-04,66,34~89,¡º,31,62,9,1.247,25,101
2017-05,72,35~133,¡º,29,60,9,1.155,20,114
2017-06,55,33~92,¡º,22,41,9,1.157,16,96
2017-07,52,32~93,¡º,20,43,9,1.484,15,91
2017-08,51,35~77,¡º,22,44,7,1.452,15,94
2017-09,59,28~102,¡º,28,52,7,1.153,17,95
2017-10,49,25~102,”≈,27,44,7,1.181,17,80
2017-11,65,32~94,¡º,43,73,7,1.233,27,71
2017-12,101,67~205,«·∂»Œ€»æ,75,111,10,1.445,35,68
2018-01,82,38~158,¡º,60,85,7,1.265,25,58
2018-02,85,35~183,¡º,60,96,10,1.196,23,81
2018-03,53,22~70,¡º,29,54,6,1.006,22,82
2018-04,69,33~84,¡º,29,84,6,0.838,20,101
