‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,123,123~123,«·∂»Œ€»æ,94,139,112,1.8,48,61
2015-01,110,65~234,«·∂»Œ€»æ,75,148,110,1.255,34,66
2015-02,105,61~163,«·∂»Œ€»æ,73,142,88,0.971,24,90
2015-03,135,76~480,«·∂»Œ€»æ,75,206,73,1.01,24,112
2015-04,110,57~449,«·∂»Œ€»æ,56,134,20,0.627,15,126
2015-05,94,64~203,¡º,39,95,17,0.419,16,142
2015-06,83,53~194,¡º,35,80,14,0.627,16,124
2015-07,75,61~104,¡º,25,56,12,0.406,14,128
2015-08,75,53~125,¡º,21,46,15,0.419,18,124
2015-09,61,43~133,¡º,18,40,15,0.533,19,108
2015-10,62,39~87,¡º,17,38,19,0.948,27,112
2015-11,61,38~83,¡º,28,58,65,1.19,34,78
2015-12,74,36~129,¡º,44,74,87,1.187,36,74
2016-01,77,52~122,¡º,49,92,82,1.5,35,73
2016-02,88,53~215,¡º,42,116,70,1.214,26,93
2016-03,104,53~236,«·∂»Œ€»æ,50,156,45,1.123,26,97
2016-04,71,51~130,¡º,31,80,15,0.753,19,107
2016-05,81,53~160,¡º,31,89,13,0.629,17,123
2016-06,100,59~500,¡º,39,96,8,0.52,16,137
2016-07,80,34~185,¡º,30,69,6,0.516,16,125
2016-08,61,33~164,¡º,24,46,5,0.377,17,96
2016-09,60,37~93,¡º,19,44,8,0.437,18,107
2016-10,67,45~101,¡º,31,73,9,0.719,23,108
2016-11,99,57~380,¡º,57,138,21,0.643,28,83
2016-12,71,50~112,¡º,47,86,22,0.813,28,72
2017-01,89,48~500,¡º,50,111,25,1.023,27,81
2017-02,93,49~370,¡º,47,125,21,1.032,24,100
2017-03,79,57~263,¡º,33,91,17,0.477,24,121
2017-04,79,39~114,¡º,19,61,10,0.417,24,128
2017-05,115,60~500,«·∂»Œ€»æ,36,127,8,0.361,17,135
2017-06,95,64~144,¡º,22,69,7,0.293,15,148
2017-07,78,46~149,¡º,14,38,8,0.316,15,129
2017-08,71,44~94,¡º,9,27,8,0.416,14,125
2017-09,63,44~99,¡º,14,44,9,0.33,19,111
2017-10,58,31~81,¡º,25,64,12,0.471,23,96
2017-11,67,53~115,¡º,34,84,17,0.697,26,81
2017-12,95,40~500,¡º,45,131,17,0.552,22,73
2018-01,81,50~215,¡º,42,111,15,0.577,19,70
2018-02,79,45~500,¡º,40,94,12,0.646,14,92
2018-03,159,56~500,÷–∂»Œ€»æ,61,220,11,0.571,20,103
2018-04,107,60~272,«·∂»Œ€»æ,37,152,9,0.4,16,110
