‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,176,80~331,÷–∂»Œ€»æ,137,204,86,1.897,65,33
2014-01,170,64~343,÷–∂»Œ€»æ,132,190,60,1.526,49,44
2014-02,116,56~340,«·∂»Œ€»æ,88,121,42,1.361,31,63
2014-03,113,66~338,«·∂»Œ€»æ,79,141,45,1.252,42,91
2014-04,91,55~148,¡º,65,115,34,1.2,36,94
2014-05,105,60~170,«·∂»Œ€»æ,61,140,34,1.158,30,147
2014-06,117,56~245,«·∂»Œ€»æ,80,125,29,1.14,37,157
2014-07,74,46~112,¡º,39,67,23,0.852,25,120
2014-08,69,30~109,¡º,35,67,31,1.132,30,115
2014-09,57,35~82,¡º,30,63,25,0.95,29,78
2014-10,75,39~162,¡º,43,95,17,0.897,31,88
2014-11,108,59~218,«·∂»Œ€»æ,73,149,46,1.567,56,60
2014-12,120,72~234,«·∂»Œ€»æ,81,154,69,1.648,50,42
2015-01,139,57~302,«·∂»Œ€»æ,101,176,66,1.903,46,49
2015-02,122,52~239,«·∂»Œ€»æ,88,152,48,1.725,40,75
2015-03,106,58~183,«·∂»Œ€»æ,69,143,35,1.587,41,93
2015-04,92,55~217,¡º,57,121,30,1.473,40,109
2015-05,103,64~186,«·∂»Œ€»æ,64,113,27,1.103,35,145
2015-06,92,33~161,¡º,49,104,28,1.007,32,140
2015-07,68,40~114,¡º,38,68,23,0.935,28,106
2015-08,68,29~101,¡º,36,70,31,1.116,30,112
2015-09,74,37~114,¡º,37,78,30,1.15,35,119
2015-10,98,39~200,¡º,64,138,42,1.474,50,108
2015-11,94,30~223,¡º,69,117,43,1.52,36,53
2015-12,132,65~242,«·∂»Œ€»æ,96,175,53,1.716,47,45
2016-01,130,57~262,«·∂»Œ€»æ,96,167,51,1.694,57,48
2016-02,111,38~196,«·∂»Œ€»æ,78,149,44,1.621,46,76
2016-03,103,59~168,«·∂»Œ€»æ,66,151,36,1.6,49,105
2016-04,98,51~149,¡º,59,140,35,1.413,41,130
2016-05,86,57~154,¡º,41,103,36,1.284,31,129
2016-06,86,41~118,¡º,37,78,27,1.23,26,141
2016-07,67,34~127,¡º,33,68,26,1.016,22,109
2016-08,75,39~128,¡º,32,74,35,1.006,26,119
2016-09,77,35~127,¡º,44,86,38,1.273,43,117
2016-10,70,39~150,¡º,43,85,25,1.119,43,63
2016-11,105,37~256,«·∂»Œ€»æ,75,139,32,1.18,52,55
2016-12,158,63~332,÷–∂»Œ€»æ,121,186,42,1.542,62,48
2017-01,142,50~312,«·∂»Œ€»æ,107,165,32,1.542,52,59
2017-02,124,67~192,«·∂»Œ€»æ,90,151,32,1.232,53,89
2017-03,100,51~196,«·∂»Œ€»æ,67,139,29,1.023,52,105
2017-04,104,63~140,«·∂»Œ€»æ,60,132,24,0.933,40,140
2017-05,133,59~500,«·∂»Œ€»æ,62,146,20,0.781,34,168
2017-06,129,50~202,«·∂»Œ€»æ,48,107,17,0.773,31,187
2017-07,77,33~144,¡º,33,65,10,0.716,25,122
2017-08,81,34~137,¡º,37,71,14,0.768,29,133
2017-09,91,35~153,¡º,52,91,17,0.85,37,138
2017-10,98,45~237,¡º,69,115,22,1.006,54,95
2017-11,109,57~195,«·∂»Œ€»æ,78,142,22,0.953,60,71
2017-12,151,64~333,÷–∂»Œ€»æ,116,181,27,1.235,63,54
2018-01,175,65~320,÷–∂»Œ€»æ,137,174,28,1.284,54,58
2018-02,125,65~215,«·∂»Œ€»æ,91,134,21,0.954,40,83
2018-03,123,53~262,«·∂»Œ€»æ,93,123,18,0.913,48,111
2018-04,124,70~202,«·∂»Œ€»æ,84,129,17,0.75,37,121
