‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,223,74~421,÷ÿ∂»Œ€»æ,181,229,117,2.004,81,27
2014-01,223,72~402,÷ÿ∂»Œ€»æ,178,242,108,1.668,73,40
2014-02,160,49~341,÷–∂»Œ€»æ,124,155,82,1.711,50,50
2014-03,149,70~238,«·∂»Œ€»æ,111,181,59,1.41,50,77
2014-04,124,80~204,«·∂»Œ€»æ,89,146,38,1.085,38,94
2014-05,111,47~185,«·∂»Œ€»æ,81,140,41,1.59,33,103
2014-06,109,51~219,«·∂»Œ€»æ,80,104,36,1.46,30,122
2014-07,107,49~187,«·∂»Œ€»æ,78,116,36,1.371,32,143
2014-08,102,58~168,«·∂»Œ€»æ,75,121,32,1.548,36,139
2014-09,98,38~215,¡º,71,111,42,1.863,41,98
2014-10,142,55~229,«·∂»Œ€»æ,106,158,55,1.868,57,81
2014-11,172,50~397,÷–∂»Œ€»æ,134,180,57,1.997,62,48
2014-12,169,63~296,÷–∂»Œ€»æ,129,188,93,2.197,68,34
2015-01,173,48~352,÷–∂»Œ€»æ,135,193,87,2.242,67,43
2015-02,152,55~292,÷–∂»Œ€»æ,115,182,69,3.029,48,71
2015-03,139,61~421,«·∂»Œ€»æ,90,191,49,1.635,41,94
2015-04,110,57~191,«·∂»Œ€»æ,75,147,33,1.353,32,122
2015-05,109,62~154,«·∂»Œ€»æ,71,137,31,1.513,30,155
2015-06,127,70~200,«·∂»Œ€»æ,68,126,28,1.537,26,186
2015-07,125,65~172,«·∂»Œ€»æ,76,123,18,1.606,25,178
2015-08,112,61~166,«·∂»Œ€»æ,73,117,21,1.829,30,156
2015-09,103,43~214,«·∂»Œ€»æ,68,110,30,1.747,39,140
2015-10,134,54~319,«·∂»Œ€»æ,100,164,38,1.748,48,105
2015-11,159,32~500,÷–∂»Œ€»æ,124,170,45,2.133,49,43
2015-12,250,52~500,÷ÿ∂»Œ€»æ,209,311,73,3.077,72,36
2016-01,168,62~352,÷–∂»Œ€»æ,130,203,67,2.142,58,44
2016-02,129,40~280,«·∂»Œ€»æ,95,158,52,2.007,38,70
2016-03,144,58~283,«·∂»Œ€»æ,97,204,45,1.726,41,107
2016-04,125,61~220,«·∂»Œ€»æ,77,182,31,1.527,34,139
2016-05,111,62~238,«·∂»Œ€»æ,58,133,30,1.281,31,155
2016-06,125,93~182,«·∂»Œ€»æ,50,102,25,1.127,26,185
2016-07,110,51~187,«·∂»Œ€»æ,63,113,18,1.19,23,163
2016-08,87,44~137,¡º,42,90,17,1.319,25,129
2016-09,117,51~197,«·∂»Œ€»æ,61,118,30,1.563,37,168
2016-10,95,51~234,¡º,66,118,24,1.516,42,83
2016-11,134,40~259,«·∂»Œ€»æ,100,178,33,1.843,51,47
2016-12,185,56~367,÷–∂»Œ€»æ,145,221,42,2.355,58,37
2017-01,181,46~356,÷–∂»Œ€»æ,141,214,46,2.255,55,42
2017-02,137,57~314,«·∂»Œ€»æ,103,154,40,1.446,48,82
2017-03,101,58~208,«·∂»Œ€»æ,70,124,27,1.255,42,109
2017-04,99,70~183,¡º,60,130,27,1.333,39,127
2017-05,158,75~500,÷–∂»Œ€»æ,64,190,20,1.2,26,180
2017-06,140,46~203,«·∂»Œ€»æ,53,118,17,1.217,27,200
2017-07,113,60~179,«·∂»Œ€»æ,56,97,15,1.242,19,160
2017-08,101,38~175,«·∂»Œ€»æ,42,71,13,1.181,28,154
2017-09,97,46~144,¡º,46,90,17,1.203,32,151
2017-10,89,38~215,¡º,59,95,13,1.484,45,73
2017-11,92,49~190,¡º,58,118,21,1.323,52,61
2017-12,116,52~309,«·∂»Œ€»æ,83,141,23,1.703,58,46
2018-01,109,45~284,«·∂»Œ€»æ,77,130,27,1.794,54,53
2018-02,119,56~260,«·∂»Œ€»æ,82,142,26,1.736,37,90
2018-03,107,53~186,«·∂»Œ€»æ,69,125,16,1.268,34,125
2018-04,101,42~182,«·∂»Œ€»æ,51,137,13,0.8,22,121
