‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,204,204~204,÷ÿ∂»Œ€»æ,154,195,18,1.7,40,27
2014-01,183,73~337,÷–∂»Œ€»æ,142,187,27,1.832,64,69
2014-02,136,29~252,«·∂»Œ€»æ,103,128,18,1.504,35,62
2014-03,107,44~248,«·∂»Œ€»æ,79,120,27,0.968,45,84
2014-04,86,45~174,¡º,55,88,23,0.867,32,119
2014-05,104,56~176,«·∂»Œ€»æ,72,123,26,0.784,34,136
2014-06,89,37~201,¡º,57,88,26,0.833,32,130
2014-07,70,29~105,¡º,34,69,22,0.661,28,114
2014-08,55,24~84,¡º,31,52,22,0.816,23,92
2014-09,51,29~92,¡º,31,51,21,0.94,25,73
2014-10,68,23~157,¡º,48,73,17,0.926,32,63
2014-11,55,22~102,¡º,38,58,11,0.923,35,36
2014-12,72,32~126,¡º,51,72,18,1.026,47,36
2015-01,137,28~227,«·∂»Œ€»æ,103,152,16,1.194,49,45
2015-02,99,36~217,¡º,72,112,14,0.996,31,72
2015-03,83,49~129,¡º,57,100,16,1.087,30,93
2015-04,85,41~172,¡º,54,96,19,0.86,29,135
2015-05,96,49~164,¡º,42,82,14,0.929,21,151
2015-06,72,24~131,¡º,32,56,11,0.877,20,117
2015-07,81,28~144,¡º,38,68,16,0.935,24,131
2015-08,76,33~165,¡º,40,71,17,1.042,28,116
2015-09,54,30~102,¡º,31,54,9,0.937,25,81
2015-10,74,36~135,¡º,49,83,14,0.984,33,95
2015-11,56,26~95,¡º,36,60,9,1.007,30,43
2015-12,112,49~281,«·∂»Œ€»æ,84,127,12,1.261,39,50
2016-01,115,55~211,«·∂»Œ€»æ,85,129,11,1.319,38,59
2016-02,98,56~186,¡º,68,119,10,1,31,89
2016-03,86,38~176,¡º,59,111,16,1.1,34,94
2016-04,73,45~119,¡º,45,85,14,0.97,27,101
2016-05,80,40~146,¡º,37,70,12,0.771,17,133
2016-06,97,54~174,¡º,34,70,14,0.997,19,155
2016-07,67,32~139,¡º,23,44,15,1.016,17,114
2016-08,74,39~166,¡º,27,52,14,0.819,15,127
2016-09,69,40~134,¡º,33,63,9,0.83,22,106
2016-10,60,21~126,¡º,37,61,9,0.723,19,73
2016-11,107,30~185,«·∂»Œ€»æ,77,123,10,0.823,29,52
2016-12,141,41~228,«·∂»Œ€»æ,107,164,12,1.142,45,44
2017-01,145,50~268,«·∂»Œ€»æ,110,165,11,1.129,41,61
2017-02,108,35~193,«·∂»Œ€»æ,79,122,10,0.918,34,72
2017-03,74,35~138,¡º,50,86,9,0.784,32,84
2017-04,79,41~145,¡º,43,81,12,0.67,30,119
2017-05,97,41~185,¡º,42,85,12,0.694,32,147
2017-06,91,40~153,¡º,41,79,10,0.7,26,139
2017-07,91,34~198,¡º,30,55,11,0.652,19,147
2017-08,64,24~150,¡º,21,38,7,0.668,16,112
2017-09,56,27~133,¡º,24,45,7,0.767,23,89
2017-10,49,24~92,”≈,27,50,6,0.777,26,61
2017-11,84,43~147,¡º,59,96,8,0.91,36,64
2017-12,136,58~282,«·∂»Œ€»æ,96,159,9,1.087,52,64
2018-01,105,29~234,«·∂»Œ€»æ,77,123,8,1.074,47,65
2018-02,110,48~238,«·∂»Œ€»æ,78,129,8,0.904,33,85
2018-03,85,31~192,¡º,57,101,9,0.835,39,105
2018-04,99,79~119,¡º,47,136,10,0.638,43,130
