‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,46,46~46,”≈,23,46,75,1,25,78
2015-01,128,33~328,«·∂»Œ€»æ,95,154,114,3.129,49,50
2015-02,67,37~141,¡º,41,79,62,2.807,32,78
2015-03,78,48~135,¡º,50,99,64,2.574,33,108
2015-04,73,50~124,¡º,48,86,46,1.737,30,102
2015-05,88,26~186,¡º,47,82,46,0.832,25,128
2015-06,66,27~176,¡º,35,65,26,0.96,25,87
2015-07,84,45~163,¡º,56,84,32,0.729,31,121
2015-08,59,44~88,¡º,32,59,38,1.135,33,102
2015-09,67,31~138,¡º,41,59,35,1.447,33,85
2015-10,81,35~210,¡º,57,77,46,1.445,42,64
2015-11,132,45~312,«·∂»Œ€»æ,99,127,95,2.56,49,36
2015-12,132,41~295,«·∂»Œ€»æ,98,119,82,3.103,44,39
2016-01,83,39~223,¡º,54,65,53,2.416,26,67
2016-02,89,54~217,¡º,54,84,41,2.369,22,103
2016-03,102,54~183,«·∂»Œ€»æ,65,131,54,1.5,40,124
2016-04,102,64~178,«·∂»Œ€»æ,43,79,37,0.85,36,158
2016-05,76,41~118,¡º,44,93,38,0.89,36,108
2016-06,69,38~148,¡º,42,84,29,1.093,34,96
2016-07,65,33~117,¡º,40,78,20,1.474,26,93
2016-08,57,34~84,¡º,31,64,32,1.329,29,85
2016-09,66,46~108,¡º,35,78,36,1.14,41,93
2016-10,75,34~113,¡º,35,97,37,1.274,51,62
2016-11,118,49~216,«·∂»Œ€»æ,80,169,94,2.03,58,43
2016-12,177,67~323,÷–∂»Œ€»æ,139,226,120,2.942,62,35
2017-01,178,78~438,÷–∂»Œ€»æ,139,214,116,2.735,58,57
2017-02,135,59~295,«·∂»Œ€»æ,102,165,85,1.682,53,78
2017-03,91,42~201,¡º,64,103,53,1.313,44,93
2017-04,89,55~149,¡º,52,99,38,1.053,38,136
2017-05,136,63~500,«·∂»Œ€»æ,59,120,15,0.874,29,177
2017-06,106,52~172,«·∂»Œ€»æ,37,67,15,0.99,34,166
2017-07,109,42~197,«·∂»Œ€»æ,41,72,21,0.89,29,166
2017-08,78,40~122,¡º,36,63,24,1.006,32,131
2017-09,84,51~124,¡º,53,110,51,1.197,51,115
2017-10,84,27~155,¡º,57,99,38,1.313,47,56
2017-11,99,58~232,¡º,63,130,60,1.493,52,48
2017-12,106,51~251,«·∂»Œ€»æ,73,123,67,1.684,51,40
2018-01,107,45~245,«·∂»Œ€»æ,73,125,74,1.616,50,41
2018-02,112,45~273,«·∂»Œ€»æ,74,123,46,1.343,39,74
2018-03,127,51~229,«·∂»Œ€»æ,87,159,41,1.426,54,95
2018-04,89,49~183,¡º,36,126,18,1.038,34,104
