‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,113,113~113,«·∂»Œ€»æ,85,151,50,0.6,24,88
2015-01,136,34~304,«·∂»Œ€»æ,101,164,63,1.003,31,58
2015-02,93,20~212,¡º,68,110,27,1.318,20,63
2015-03,79,44~135,¡º,54,97,23,1.029,19,61
2015-04,74,36~120,¡º,51,88,23,1.04,19,96
2015-05,78,42~145,¡º,55,94,18,1.242,15,96
2015-06,53,37~84,¡º,27,52,13,1.22,9,91
2015-07,60,32~90,¡º,33,63,16,1.216,11,100
2015-08,60,38~94,¡º,32,68,14,1.135,13,91
2015-09,74,35~128,¡º,48,92,16,1.24,14,95
2015-10,87,34~132,¡º,58,118,23,1.158,24,107
2015-11,57,25~102,¡º,33,66,22,1.01,15,50
2015-12,81,26~155,¡º,54,97,34,1.042,22,49
2016-01,84,30~160,¡º,60,96,31,1.048,17,57
2016-02,82,37~173,¡º,56,97,24,0.855,15,81
2016-03,83,33~138,¡º,59,102,25,0.968,23,81
2016-04,58,34~100,¡º,34,65,21,1.12,17,71
2016-05,60,35~95,¡º,31,67,17,1.206,15,87
2016-06,51,34~76,¡º,22,53,11,1.267,12,82
2016-07,48,27~72,”≈,21,50,7,1.297,11,76
2016-08,59,33~89,¡º,29,65,14,1.381,13,96
2016-09,76,34~111,¡º,46,94,19,1.2,19,121
2016-10,59,28~88,¡º,31,67,12,1.135,14,91
2016-11,66,30~132,¡º,42,79,17,1.187,19,58
2016-12,94,25~168,¡º,67,125,32,1.148,28,59
2017-01,108,40~198,«·∂»Œ€»æ,79,135,20,1.139,19,58
2017-02,76,37~169,¡º,50,95,16,0.971,20,68
2017-03,61,33~97,¡º,33,72,14,0.784,17,73
2017-04,64,32~82,¡º,32,78,14,0.9,20,97
2017-05,71,38~133,¡º,27,79,9,0.874,19,106
2017-06,53,28~74,¡º,19,54,5,1.067,13,87
2017-07,54,34~80,¡º,17,58,6,1.229,13,93
2017-08,56,36~83,¡º,19,59,5,1.265,10,93
2017-09,62,39~93,¡º,29,71,7,1.32,14,91
2017-10,55,24~118,¡º,29,64,7,1.035,16,80
2017-11,80,29~133,¡º,54,102,13,0.947,28,70
2017-12,104,40~169,«·∂»Œ€»æ,77,131,19,1.21,34,72
2018-01,81,28~153,¡º,58,90,10,1.039,21,63
2018-02,92,41~134,¡º,65,120,10,1.093,21,80
2018-03,65,23~104,¡º,38,77,8,1.045,25,83
2018-04,82,63~97,¡º,42,110,9,0.963,25,107
