月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,98,98~98,良,73,96,10,0.7,18,67
2015-01,57,23~207,良,29,44,5,0.929,10,72
2015-02,55,39~107,良,32,45,4,0.618,7,91
2015-03,61,38~157,良,39,64,10,0.793,6,88
2015-04,45,26~65,优,20,34,7,0.85,6,84
2015-05,51,28~74,良,21,49,3,0.716,5,93
2015-06,37,28~52,优,15,31,5,0.52,5,72
2015-07,34,20~59,优,13,26,5,0.713,6,66
2015-08,30,21~42,优,13,26,8,0.597,8,55
2015-09,32,24~65,优,13,27,8,0.641,10,61
2015-10,36,19~54,优,17,34,5,0.739,8,61
2015-11,42,23~57,优,20,41,8,0.757,8,64
2015-12,50,28~64,良,28,54,8,0.829,13,57
2016-01,48,30~68,优,24,51,7,0.794,15,65
2016-02,59,29~172,良,37,54,8,0.741,9,79
2016-03,54,32~94,良,26,50,8,0.774,10,98
2016-04,44,27~57,优,19,36,10,0.373,9,81
2016-05,46,24~69,优,23,45,13,0.516,10,77
2016-06,34,22~49,优,13,28,8,0.55,10,66
2016-07,24,19~32,优,12,23,7,0.81,10,38
2016-08,33,0~59,优,14,28,11,0.874,7,61
2016-09,31,23~48,优,18,30,8,0.933,9,51
2016-10,35,23~55,优,19,31,13,0.968,13,56
2016-11,34,18~52,优,17,33,9,0.867,20,55
2016-12,47,32~65,优,24,46,15,1.306,26,47
2017-01,48,32~89,优,26,47,13,1.261,23,65
2017-02,55,33~87,良,31,56,12,1.164,30,87
2017-03,49,22~68,优,20,45,10,0.765,20,87
2017-04,54,31~94,良,27,53,11,0.93,18,87
2017-05,49,27~67,优,23,47,12,1.103,18,85
2017-06,44,30~88,优,12,35,12,0.977,16,74
2017-07,36,22~46,优,12,30,12,1.123,9,62
2017-08,38,21~74,优,12,34,13,1.023,11,63
2017-09,33,20~44,优,14,32,13,0.98,14,54
2017-10,35,23~53,优,16,34,12,0.919,15,52
2017-11,46,31~56,优,21,46,7,0.767,20,62
2017-12,58,46~71,良,27,66,10,0.977,27,52
2018-01,54,32~69,良,27,61,10,1.055,27,56
2018-02,58,37~85,良,35,62,12,1.096,19,88
2018-03,55,35~69,良,32,54,10,0.868,18,97
2018-04,60,35~74,良,33,69,11,0.975,17,106
