‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,241,241~241,÷ÿ∂»Œ€»æ,191,274,42,1.7,96,17
2015-01,155,36~237,÷–∂»Œ€»æ,119,165,35,1.21,42,38
2015-02,108,30~202,«·∂»Œ€»æ,81,101,11,1.296,24,55
2015-03,85,41~168,¡º,62,87,12,1.1,22,63
2015-04,67,33~127,¡º,47,73,17,0.917,19,75
2015-05,66,37~104,¡º,42,64,13,0.881,18,85
2015-06,52,33~79,¡º,32,50,13,0.863,15,76
2015-07,59,30~102,¡º,30,46,8,0.613,14,104
2015-08,53,33~85,¡º,32,48,7,0.668,9,90
2015-09,65,30~110,¡º,45,64,6,0.347,7,79
2015-10,81,25~210,¡º,58,85,12,0.671,17,53
2015-11,54,23~97,¡º,37,57,11,0.64,21,19
2015-12,81,30~198,¡º,60,84,12,0.539,23,23
2016-01,107,52~198,«·∂»Œ€»æ,79,104,10,0.645,28,29
2016-02,87,28~124,¡º,64,91,7,0.455,31,46
2016-03,79,34~138,¡º,56,88,10,0.765,24,53
2016-04,55,32~85,¡º,36,60,11,0.68,18,60
2016-05,53,32~105,¡º,32,58,7,0.587,11,75
2016-06,44,25~71,”≈,24,42,6,0.583,10,66
2016-07,41,20~60,”≈,21,35,5,0.571,6,70
2016-08,49,26~67,”≈,30,50,7,0.455,9,76
2016-09,73,32~105,¡º,53,78,8,0.557,12,76
2016-10,50,25~97,¡º,34,51,8,0.932,20,45
2016-11,66,28~113,¡º,48,67,22,1.25,28,30
2016-12,123,73~213,«·∂»Œ€»æ,93,120,19,1.255,42,25
2017-01,134,49~298,«·∂»Œ€»æ,102,126,13,1.097,37,28
2017-02,75,32~132,¡º,54,71,11,0.804,25,43
2017-03,60,29~87,¡º,42,61,14,0.648,29,61
2017-04,55,34~79,¡º,36,56,12,0.707,27,64
2017-05,57,29~95,¡º,34,51,11,0.758,23,78
2017-06,59,32~100,¡º,29,41,7,0.85,17,103
2017-07,63,23~113,¡º,23,37,7,0.768,15,106
2017-08,57,35~87,¡º,25,41,8,0.952,14,104
2017-09,47,25~83,”≈,28,43,6,1.14,17,71
2017-10,44,26~80,”≈,28,42,5,1.171,22,50
2017-11,74,43~143,¡º,54,76,7,1.097,25,44
2017-12,119,50~212,«·∂»Œ€»æ,90,120,8,1.345,30,41
2018-01,92,35~207,¡º,68,86,8,1.468,28,41
2018-02,91,39~163,¡º,67,87,5,1.243,25,56
2018-03,49,25~82,”≈,33,50,7,1,26,58
2018-04,65,51~83,¡º,37,79,7,0.85,27,79
