‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,101,19~162,«·∂»Œ€»æ,75,103,27,1.183,42,101
2014-01,96,49~170,¡º,68,101,24,0.971,40,126
2014-02,54,24~88,¡º,35,50,18,0.743,25,83
2014-03,60,26~95,¡º,38,62,17,0.803,33,83
2014-04,62,37~119,¡º,32,53,19,0.797,29,107
2014-05,48,28~135,”≈,21,39,13,0.606,27,80
2014-06,49,26~105,”≈,23,42,11,0.517,23,88
2014-07,63,23~176,¡º,24,44,11,0.542,24,107
2014-08,56,20~170,¡º,20,39,10,0.49,25,95
2014-09,54,20~131,¡º,25,44,10,0.553,22,96
2014-10,84,55~126,¡º,44,75,13,0.723,26,140
2014-11,64,29~102,¡º,42,67,12,0.643,26,95
2014-12,69,31~109,¡º,49,78,16,0.955,32,80
2015-01,63,26~94,¡º,39,74,13,1.026,31,99
2015-02,61,31~99,¡º,37,67,10,0.929,21,97
2015-03,44,21~63,”≈,23,44,8,0.868,20,72
2015-04,62,15~149,¡º,26,53,9,0.783,24,101
2015-05,42,27~63,”≈,18,36,7,0.755,18,78
2015-06,43,25~80,”≈,13,32,10,0.71,17,81
2015-07,47,27~100,”≈,21,40,9,0.687,16,85
2015-08,61,25~130,¡º,25,48,11,0.752,20,104
2015-09,70,22~114,¡º,30,51,11,0.757,21,119
2015-10,58,22~100,¡º,35,58,11,0.803,21,102
2015-11,52,30~84,¡º,31,54,11,0.903,22,85
2015-12,47,23~75,”≈,29,46,9,0.829,24,62
2016-01,46,25~87,”≈,27,42,7,0.961,25,57
2016-02,49,21~119,”≈,30,46,7,0.762,18,75
2016-03,56,27~134,¡º,34,54,8,0.835,31,83
2016-04,50,31~89,”≈,25,43,7,0.737,26,79
2016-05,55,30~100,¡º,22,41,8,0.7,18,99
2016-06,46,21~90,”≈,14,34,8,0.627,20,84
2016-07,63,25~146,¡º,20,41,10,0.603,22,105
2016-08,60,23~163,¡º,25,43,8,0.703,23,102
2016-09,53,26~120,¡º,26,44,8,0.717,20,93
2016-10,42,26~57,”≈,24,41,7,0.784,18,72
2016-11,51,20~90,¡º,31,53,8,0.897,26,81
2016-12,66,34~88,¡º,45,74,11,1.061,36,92
2017-01,61,28~120,¡º,41,64,7,0.948,28,87
2017-02,58,25~93,¡º,33,53,8,0.836,24,102
2017-03,55,32~100,¡º,30,58,8,0.861,29,86
2017-04,64,29~147,¡º,30,57,9,0.82,27,99
2017-05,64,32~111,¡º,27,52,8,0.784,23,109
2017-06,38,23~74,”≈,14,33,6,0.58,20,64
2017-07,37,17~137,”≈,15,32,7,0.568,17,64
2017-08,58,20~188,¡º,20,42,8,0.648,24,100
2017-09,63,26~146,¡º,25,49,9,0.703,26,107
2017-10,59,23~105,¡º,30,53,9,0.797,21,103
2017-11,59,28~100,¡º,39,61,10,0.913,30,80
2017-12,70,29~110,¡º,50,76,12,1.032,36,94
2018-01,62,23~107,¡º,41,61,9,1.065,36,79
2018-02,60,21~188,¡º,41,58,9,0.686,25,87
2018-03,65,26~100,¡º,30,51,8,0.606,27,110
2018-04,76,48~112,¡º,32,76,9,0.475,25,122
