‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,175,72~285,÷–∂»Œ€»æ,136,209,32,1.607,76,46
2014-01,222,74~462,÷ÿ∂»Œ€»æ,179,256,32,1.587,73,50
2014-02,149,43~234,«·∂»Œ€»æ,113,150,25,1.421,49,54
2014-03,114,40~211,«·∂»Œ€»æ,84,137,24,1.297,64,77
2014-04,90,43~160,¡º,60,100,16,1.037,51,110
2014-05,110,60~185,«·∂»Œ€»æ,76,131,15,0.819,52,136
2014-06,74,36~166,¡º,44,72,13,0.863,46,110
2014-07,75,27~122,¡º,40,71,13,0.868,47,122
2014-08,69,28~108,¡º,38,64,12,0.916,44,110
2014-09,62,31~114,¡º,40,68,14,0.96,46,74
2014-10,88,37~219,¡º,64,104,16,1.11,52,66
2014-11,76,41~132,¡º,53,96,15,1.067,49,41
2014-12,117,55~230,«·∂»Œ€»æ,84,156,23,1.21,57,40
2015-01,165,43~259,÷–∂»Œ€»æ,126,195,20,1.584,61,34
2015-02,115,43~221,«·∂»Œ€»æ,86,126,15,1.346,45,67
2015-03,94,58~146,¡º,68,114,15,1.126,51,93
2015-04,88,43~148,¡º,54,101,15,0.887,49,135
2015-05,107,60~176,«·∂»Œ€»æ,49,98,13,0.81,44,163
2015-06,87,36~170,¡º,38,70,14,0.823,38,133
2015-07,106,37~153,«·∂»Œ€»æ,45,82,15,0.939,48,161
2015-08,85,39~159,¡º,44,78,14,1.032,52,125
2015-09,64,38~120,¡º,35,60,13,1.03,47,77
2015-10,91,40~168,¡º,63,109,17,1.052,59,83
2015-11,74,40~123,¡º,50,84,16,1.117,48,32
2015-12,120,48~304,«·∂»Œ€»æ,90,143,18,1.423,65,32
2016-01,110,50~214,«·∂»Œ€»æ,81,127,17,1.355,57,49
2016-02,97,52~188,¡º,67,111,14,1.362,53,84
2016-03,105,45~176,«·∂»Œ€»æ,75,131,18,1.432,67,87
2016-04,94,49~209,¡º,65,104,14,1.027,57,103
2016-05,92,40~189,¡º,57,97,13,0.955,49,134
2016-06,95,51~150,¡º,44,76,12,0.94,45,147
2016-07,85,44~202,¡º,30,51,13,0.89,40,133
2016-08,105,50~206,«·∂»Œ€»æ,41,68,14,1.01,47,161
2016-09,80,47~120,¡º,45,69,13,1.02,49,106
2016-10,75,40~126,¡º,47,81,13,1.068,48,65
2016-11,117,48~244,«·∂»Œ€»æ,86,150,16,1.32,62,45
2016-12,154,53~252,÷–∂»Œ€»æ,117,193,18,1.581,69,32
2017-01,174,45~375,÷–∂»Œ€»æ,136,205,18,1.568,69,42
2017-02,111,42~214,«·∂»Œ€»æ,81,119,14,1.114,56,56
2017-03,78,47~123,¡º,50,81,13,0.9,58,73
2017-04,79,39~130,¡º,33,67,14,0.797,54,111
2017-05,95,44~142,¡º,43,73,10,0.697,51,142
2017-06,82,41~131,¡º,43,71,11,0.8,48,122
2017-07,114,40~204,«·∂»Œ€»æ,27,53,8,0.806,44,173
2017-08,79,28~138,¡º,20,37,8,0.774,34,129
2017-09,66,40~134,¡º,30,52,10,0.78,42,93
2017-10,64,29~107,¡º,37,59,9,0.771,45,53
2017-11,96,47~166,¡º,67,101,12,0.943,56,53
2017-12,144,70~242,«·∂»Œ€»æ,106,162,12,1.287,71,46
2018-01,115,37~267,«·∂»Œ€»æ,86,127,11,1.206,62,55
2018-02,111,39~221,«·∂»Œ€»æ,80,122,9,1.025,47,84
2018-03,94,40~166,¡º,65,105,12,1.029,61,104
2018-04,94,72~124,¡º,52,124,11,0.913,60,133
