‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,189,67~386,÷–∂»Œ€»æ,150,205,63,1.457,52,42
2014-01,150,59~305,«·∂»Œ€»æ,115,166,49,1.148,40,41
2014-02,96,25~206,¡º,71,99,27,0.779,29,48
2014-03,108,60~205,«·∂»Œ€»æ,79,133,47,0.932,48,63
2014-04,87,45~156,¡º,63,101,33,0.82,40,100
2014-05,114,68~215,«·∂»Œ€»æ,81,150,38,0.929,46,134
2014-06,117,51~219,«·∂»Œ€»æ,87,134,26,0.713,27,109
2014-07,95,50~161,¡º,65,117,23,0.742,23,109
2014-08,67,34~114,¡º,42,73,23,0.645,21,98
2014-09,60,33~126,¡º,33,58,24,0.56,17,101
2014-10,72,49~96,¡º,36,81,34,0.71,26,110
2014-11,83,37~161,¡º,55,107,33,1,33,69
2014-12,94,52~184,¡º,64,128,41,1,39,59
2015-01,113,47~214,«·∂»Œ€»æ,81,157,35,1.158,37,60
2015-02,91,33~206,¡º,65,114,26,1.043,27,81
2015-03,88,40~148,¡º,62,108,27,0.955,29,90
2015-04,95,48~187,¡º,50,112,32,1.117,28,134
2015-05,100,55~172,«·∂»Œ€»æ,52,98,31,0.706,35,146
2015-06,90,46~179,¡º,49,99,20,0.687,29,132
2015-07,84,37~152,¡º,39,80,19,0.765,26,121
2015-08,84,25~184,¡º,34,64,24,0.606,22,135
2015-09,81,53~174,¡º,31,57,18,0.69,21,136
2015-10,87,46~200,¡º,50,94,24,0.906,36,129
2015-11,74,32~188,¡º,50,86,18,0.963,34,76
2015-12,121,54~216,«·∂»Œ€»æ,89,134,23,1.094,35,63
2016-01,107,39~238,«·∂»Œ€»æ,77,118,24,1.068,28,75
2016-02,92,44~155,¡º,65,114,24,1.245,30,93
2016-03,91,47~189,¡º,63,114,34,1.155,39,101
2016-04,80,39~149,¡º,50,92,37,1.053,37,118
2016-05,89,55~171,¡º,50,99,27,0.971,28,127
2016-06,74,43~122,¡º,39,75,24,0.94,30,114
2016-07,83,37~166,¡º,32,59,18,0.71,27,127
2016-08,73,29~155,¡º,22,44,19,0.655,20,124
2016-09,81,31~168,¡º,32,59,16,0.773,22,130
2016-10,50,23~104,¡º,31,49,13,0.558,24,70
2016-11,87,32~220,¡º,62,103,16,0.827,39,65
2016-12,114,36~208,«·∂»Œ€»æ,85,126,21,1.061,51,63
2017-01,103,40~236,«·∂»Œ€»æ,76,107,16,1.055,39,70
2017-02,113,50~195,«·∂»Œ€»æ,84,120,19,1.043,45,92
2017-03,91,50~166,¡º,65,106,18,0.868,47,104
2017-04,97,47~131,¡º,55,118,24,1.053,48,141
2017-05,117,42~179,«·∂»Œ€»æ,48,112,23,0.894,44,163
2017-06,114,37~198,«·∂»Œ€»æ,45,88,20,0.88,31,169
2017-07,104,41~195,«·∂»Œ€»æ,34,65,21,0.79,32,153
2017-08,74,34~145,¡º,29,58,15,0.687,25,124
2017-09,66,34~129,¡º,35,69,15,0.687,30,100
2017-10,59,27~117,¡º,35,65,14,0.577,30,88
2017-11,91,46~160,¡º,63,114,15,0.857,54,67
2017-12,114,56~244,«·∂»Œ€»æ,84,136,17,1.003,58,50
2018-01,103,25~213,«·∂»Œ€»æ,71,133,12,1.055,45,57
2018-02,94,38~213,¡º,65,117,13,1.064,36,71
2018-03,91,34~190,¡º,65,114,17,1.165,47,95
2018-04,93,58~137,¡º,53,129,11,0.713,41,115
