‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,74,74~74,¡º,49,99,25,0.9,31,97
2015-01,80,19~168,¡º,59,83,30,1.235,37,71
2015-02,85,26~156,¡º,63,86,16,1.5,23,80
2015-03,49,30~71,”≈,31,44,14,1.123,18,74
2015-04,70,33~135,¡º,41,61,20,0.943,16,112
2015-05,65,35~154,¡º,42,60,19,0.981,14,104
2015-06,48,29~77,”≈,31,47,15,0.793,10,79
2015-07,55,33~162,¡º,35,55,13,0.916,11,88
2015-08,59,28~100,¡º,36,57,16,0.787,12,99
2015-09,67,26~118,¡º,41,61,19,0.983,14,107
2015-10,67,36~109,¡º,44,61,21,1.187,20,108
2015-11,45,26~61,”≈,23,40,16,1.483,23,42
2015-12,59,30~92,¡º,37,68,16,1.2,30,43
2016-01,61,30~102,¡º,38,71,16,1.413,29,45
2016-02,67,42~176,¡º,40,82,17,1.766,20,78
2016-03,68,29~119,¡º,46,68,22,1.239,28,81
2016-04,51,35~78,¡º,29,46,16,1.513,18,80
2016-05,55,36~90,¡º,33,49,11,1.365,15,88
2016-06,48,26~76,”≈,29,43,9,1.123,13,86
2016-07,45,26~70,”≈,28,44,9,1.194,13,74
2016-08,59,30~106,¡º,35,54,12,1.194,12,101
2016-09,68,30~100,¡º,45,65,14,1.297,15,100
2016-10,59,30~92,¡º,41,58,12,1.294,16,68
2016-11,71,23~148,¡º,51,74,15,1.063,25,50
2016-12,107,35~211,«·∂»Œ€»æ,80,111,20,1.2,32,69
2017-01,116,33~427,«·∂»Œ€»æ,89,116,20,1.174,25,71
2017-02,86,35~135,¡º,63,82,15,1.046,22,88
2017-03,62,30~133,¡º,43,61,12,0.877,23,79
2017-04,68,35~117,¡º,40,63,14,0.797,19,110
2017-05,82,38~139,¡º,42,64,16,0.823,16,130
2017-06,41,25~67,”≈,23,34,12,0.797,10,71
2017-07,43,22~80,”≈,27,44,10,0.729,10,71
2017-08,42,28~69,”≈,26,38,9,0.687,8,79
2017-09,59,29~95,¡º,36,47,13,0.827,10,101
2017-10,64,23~109,¡º,45,60,12,0.939,15,91
2017-11,91,40~193,¡º,67,91,23,0.977,33,69
2017-12,97,35~165,¡º,72,98,23,0.868,35,67
2018-01,80,25~165,¡º,59,80,16,0.948,31,52
2018-02,82,32~169,¡º,59,86,13,0.964,22,75
2018-03,59,26~93,¡º,40,63,14,0.787,24,82
2018-04,74,54~101,¡º,43,85,17,0.788,17,110
