‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,150,150~150,«·∂»Œ€»æ,35,250,66,1.4,36,36
2014-01,101,46~203,«·∂»Œ€»æ,72,113,57,1.51,41,45
2014-02,97,47~234,¡º,70,112,50,1.546,38,62
2014-03,84,40~229,¡º,57,107,36,1.5,39,93
2014-04,81,49~135,¡º,48,110,26,1.01,36,107
2014-05,84,41~202,¡º,40,84,23,0.987,35,132
2014-06,90,41~190,¡º,40,71,18,1.027,31,145
2014-07,100,45~166,¡º,50,79,19,1.035,26,154
2014-08,97,50~150,¡º,43,77,24,1.139,29,154
2014-09,68,38~121,¡º,29,68,29,1,31,108
2014-10,114,52~474,«·∂»Œ€»æ,81,148,32,1.477,42,97
2014-11,115,55~493,«·∂»Œ€»æ,81,146,61,1.7,49,51
2014-12,100,57~176,«·∂»Œ€»æ,69,121,76,1.823,48,34
2015-01,116,56~206,«·∂»Œ€»æ,87,137,77,2.135,49,39
2015-02,115,46~317,«·∂»Œ€»æ,81,142,66,1.929,44,51
2015-03,83,37~136,¡º,53,108,37,1.397,35,77
2015-04,83,53~122,¡º,48,104,24,1.192,36,106
2015-05,78,36~173,¡º,33,80,18,0.871,33,118
2015-06,72,44~122,¡º,25,46,9,0.857,27,125
2015-07,73,36~148,¡º,19,36,7,0.839,19,126
2015-08,71,32~150,¡º,24,43,8,1.01,17,122
2015-09,69,42~121,¡º,27,59,14,0.96,30,114
2015-10,82,36~192,¡º,53,93,21,1.203,37,90
2015-11,122,41~420,«·∂»Œ€»æ,94,129,31,1.363,38,59
2015-12,116,46~297,«·∂»Œ€»æ,87,125,57,1.803,47,47
2016-01,88,46~185,¡º,64,101,54,2.087,42,51
2016-02,73,40~158,¡º,48,83,49,1.452,36,67
2016-03,89,39~273,¡º,48,116,33,1.513,35,103
2016-04,78,52~152,¡º,32,87,17,1.237,28,118
2016-05,91,48~140,¡º,29,70,17,0.974,28,144
2016-06,92,48~154,¡º,30,50,15,0.807,27,149
2016-07,84,31~137,¡º,32,53,11,0.861,25,136
2016-08,69,21~139,¡º,22,47,10,0.829,23,118
2016-09,59,28~90,¡º,30,53,16,0.943,27,103
2016-10,70,30~175,¡º,48,75,18,0.99,38,67
2016-11,84,39~186,¡º,59,97,35,1.173,40,54
2016-12,108,44~212,«·∂»Œ€»æ,79,122,47,1.394,50,42
2017-01,112,50~274,«·∂»Œ€»æ,81,129,52,1.445,50,49
2017-02,88,41~145,¡º,62,93,38,1.111,42,68
2017-03,99,39~199,¡º,72,116,32,0.9,43,96
2017-04,80,40~130,¡º,47,99,18,0.787,30,105
2017-05,95,46~256,¡º,32,89,12,0.619,25,132
2017-06,85,39~172,¡º,29,53,14,0.697,27,138
2017-07,83,30~159,¡º,28,48,12,0.81,21,137
2017-08,54,28~116,¡º,21,42,14,0.794,23,97
2017-09,55,29~78,¡º,26,53,17,0.847,28,93
2017-10,82,27~169,¡º,56,93,19,0.997,39,76
2017-11,70,44~155,¡º,44,80,25,0.777,33,60
2017-12,97,50~201,¡º,71,108,34,1.2,45,45
2018-01,99,51~175,¡º,73,105,33,1.226,49,55
2018-02,86,51~124,¡º,61,96,28,1.011,36,82
2018-03,85,47~168,¡º,57,89,25,0.923,35,116
2018-04,75,57~106,¡º,43,90,17,0.75,27,113
