‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,78,45~346,¡º,35,94,11,1.457,25,85
2014-01,51,33~74,¡º,24,53,11,1.503,19,84
2014-02,63,41~172,¡º,23,76,9,1.086,15,93
2014-03,57,42~76,¡º,21,52,9,0.977,13,103
2014-04,75,63~92,¡º,29,77,12,1.177,15,127
2014-05,80,48~115,¡º,25,61,13,1.152,15,135
2014-06,71,43~106,¡º,21,50,11,0.733,16,124
2014-07,50,30~84,¡º,14,32,9,0.642,16,95
2014-08,54,35~83,¡º,15,37,8,0.665,19,100
2014-09,49,32~77,”≈,16,38,9,0.687,19,93
2014-10,60,51~75,¡º,23,55,9,0.894,28,108
2014-11,62,53~75,¡º,32,74,10,0.9,33,90
2014-12,64,47~95,¡º,38,77,12,1.516,35,84
2015-01,53,43~69,¡º,24,53,10,1.039,22,85
2015-02,45,36~63,”≈,22,42,9,0.686,20,78
2015-03,57,37~85,¡º,18,49,11,0.584,14,104
2015-04,76,53~96,¡º,22,50,10,0.573,16,131
2015-05,80,58~102,¡º,24,59,10,0.561,17,134
2015-06,67,37~108,¡º,19,45,9,0.5,14,118
2015-07,80,45~128,¡º,24,55,9,0.468,20,133
2015-08,58,37~85,¡º,20,45,8,0.532,21,108
2015-09,53,43~71,¡º,18,46,11,0.627,18,94
2015-10,62,48~78,¡º,29,72,10,0.587,25,99
2015-11,67,48~82,¡º,36,83,10,0.793,29,86
2015-12,72,50~134,¡º,40,90,9,0.742,26,85
2016-01,57,41~104,¡º,28,61,8,0.629,21,88
2016-02,60,44~108,¡º,21,65,7,0.486,14,93
2016-03,65,47~98,¡º,25,75,10,0.532,20,106
2016-04,85,51~140,¡º,32,95,9,0.473,23,134
2016-05,97,82~120,¡º,26,67,9,0.477,18,155
2016-06,84,51~122,¡º,19,46,9,0.483,18,140
2016-07,53,31~100,¡º,16,45,8,0.429,18,95
2016-08,61,46~76,¡º,19,63,6,0.439,21,102
2016-09,54,43~72,¡º,17,48,5,0.43,21,99
2016-10,65,40~102,¡º,23,80,5,0.397,27,89
2016-11,97,73~122,¡º,48,144,8,0.827,44,74
2016-12,104,52~154,«·∂»Œ€»æ,56,157,8,0.965,45,65
2017-01,59,44~94,¡º,26,67,7,0.69,24,79
2017-02,64,41~165,¡º,25,77,7,0.739,19,92
2017-03,62,50~97,¡º,21,68,7,0.716,19,100
2017-04,78,54~117,¡º,21,82,7,0.563,21,122
2017-05,72,52~86,¡º,19,54,9,0.506,18,126
2017-06,68,38~93,¡º,13,39,8,0.54,16,121
2017-07,47,29~75,”≈,9,25,8,0.49,17,90
2017-08,46,31~85,”≈,10,26,9,0.526,18,89
2017-09,45,30~76,”≈,11,34,9,0.573,21,86
2017-10,48,36~61,”≈,14,41,8,0.658,24,90
2017-11,54,43~69,¡º,24,54,7,0.793,34,88
2017-12,66,46~103,¡º,38,80,8,1.116,39,84
2018-01,66,45~100,¡º,31,79,7,0.861,29,95
2018-02,58,45~83,¡º,18,53,6,0.646,12,101
2018-03,62,45~84,¡º,16,47,6,0.597,16,111
2018-04,72,61~84,¡º,24,62,7,0.575,18,122
