‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,156,156~156,÷–∂»Œ€»æ,119,164,43,1.8,63,146
2014-01,132,62~233,«·∂»Œ€»æ,100,126,31,1.768,37,139
2014-02,76,22~147,¡º,54,63,19,2.179,23,95
2014-03,98,55~196,¡º,71,89,28,1.432,28,94
2014-04,95,63~132,¡º,62,79,28,1.653,21,130
2014-05,68,38~115,¡º,44,60,26,1.239,26,104
2014-06,61,35~138,¡º,32,50,21,1.06,19,103
2014-07,52,30~93,¡º,29,47,19,1.006,15,93
2014-08,56,35~98,¡º,30,49,21,1.032,13,98
2014-09,64,32~104,¡º,34,52,20,0.943,11,112
2014-10,100,60~133,«·∂»Œ€»æ,57,82,26,1.003,17,156
2014-11,68,24~115,¡º,42,55,23,1.167,24,112
2014-12,66,24~106,¡º,47,58,29,1.139,38,93
2015-01,79,27~131,¡º,57,76,26,1.329,41,97
2015-02,77,37~134,¡º,56,75,13,1.196,21,98
2015-03,61,31~90,¡º,39,62,16,1.071,24,93
2015-04,64,27~110,¡º,39,58,18,1.013,19,95
2015-05,52,25~104,¡º,31,44,15,1.113,19,83
2015-06,41,25~55,”≈,23,39,14,0.95,15,69
2015-07,51,26~83,¡º,29,46,15,1.094,15,83
2015-08,58,33~118,¡º,34,53,18,1.087,18,96
2015-09,71,35~125,¡º,37,55,16,1.1,16,120
2015-10,75,38~140,¡º,48,72,20,0.929,20,116
2015-11,66,39~114,¡º,44,68,18,0.943,23,104
2015-12,51,27~84,¡º,34,51,17,0.968,25,64
2016-01,65,22~120,¡º,45,62,14,0.971,30,59
2016-02,61,23~119,¡º,44,62,6,0.866,18,72
2016-03,79,28~155,¡º,57,81,16,1.116,36,83
2016-04,66,43~118,¡º,44,68,12,1.057,26,80
2016-05,58,26~97,¡º,32,52,11,0.787,16,92
2016-06,44,22~75,”≈,24,41,15,0.75,19,70
2016-07,56,36~115,¡º,30,50,19,0.755,18,83
2016-08,56,25~113,¡º,33,52,16,0.813,19,88
2016-09,59,34~103,¡º,33,53,15,0.907,22,95
2016-10,54,20~87,¡º,34,57,18,1.097,23,76
2016-11,66,28~122,¡º,45,73,21,1.21,32,79
2016-12,73,36~133,¡º,51,85,17,1.194,39,92
2017-01,65,32~95,¡º,46,70,11,1.09,27,92
2017-02,66,33~99,¡º,44,64,12,0.975,25,98
2017-03,72,40~95,¡º,46,77,15,1.206,39,91
2017-04,66,28~125,¡º,34,58,16,1.043,30,105
2017-05,64,35~140,¡º,29,49,14,0.987,22,108
2017-06,38,24~60,”≈,18,34,12,0.92,17,67
2017-07,44,18~128,”≈,18,34,14,0.868,16,80
2017-08,55,22~145,¡º,21,38,13,0.829,16,99
2017-09,70,32~139,¡º,27,50,15,0.91,18,121
2017-10,72,26~135,¡º,33,57,16,0.884,21,119
2017-11,67,34~113,¡º,40,64,17,0.957,29,102
2017-12,76,32~129,¡º,53,81,21,0.99,37,106
2018-01,68,28~117,¡º,46,64,16,0.948,35,90
2018-02,74,32~107,¡º,51,68,11,1.007,20,102
2018-03,88,22~180,¡º,50,72,14,1.026,30,126
2018-04,83,60~115,¡º,48,90,15,0.85,23,126
