‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,92,92~92,¡º,64,133,49,3.1,52,46
2014-01,101,72~131,«·∂»Œ€»æ,74,144,61,3.29,45,50
2014-02,70,53~104,¡º,41,88,49,2.679,34,61
2014-03,75,48~104,¡º,46,100,44,1.606,37,77
2014-04,78,47~126,¡º,52,99,35,1.52,32,96
2014-05,60,48~81,¡º,34,71,35,1.477,23,90
2014-06,57,36~81,¡º,29,65,53,1.313,26,79
2014-07,62,36~79,¡º,33,74,62,1.548,26,89
2014-08,60,34~96,¡º,32,72,58,1.484,26,71
2014-09,47,22~57,”≈,20,48,33,1.073,25,64
2014-10,48,36~64,”≈,24,50,30,1.406,29,71
2014-11,55,27~68,¡º,31,62,34,1.663,36,59
2014-12,77,55~97,¡º,49,104,69,1.681,44,50
2015-01,73,39~98,¡º,47,93,49,2.242,43,44
2015-02,62,42~101,¡º,37,72,39,1.9,39,82
2015-03,62,45~100,¡º,36,70,34,1.697,34,107
2015-04,57,41~78,¡º,26,52,38,1.427,28,104
2015-05,65,45~86,¡º,27,57,32,1.577,28,117
2015-06,49,27~66,”≈,17,41,22,1.363,20,92
2015-07,59,32~113,¡º,27,53,25,1.397,26,101
2015-08,47,32~66,”≈,24,48,27,1.445,27,74
2015-09,51,28~64,¡º,25,54,35,1.35,25,64
2015-10,58,33~85,¡º,33,66,31,1.716,32,72
2015-11,66,44~97,¡º,37,80,34,2.113,38,49
2015-12,67,38~101,¡º,41,83,32,1.91,39,44
2016-01,70,49~88,¡º,44,88,38,1.981,42,55
2016-02,58,41~95,¡º,34,65,33,1.479,29,79
2016-03,61,41~97,¡º,34,69,31,1.277,31,101
2016-04,60,45~71,¡º,30,68,35,1.363,29,100
2016-05,56,38~82,¡º,27,54,31,1.497,28,97
2016-06,46,30~69,”≈,18,38,31,1.407,27,72
2016-07,52,34~71,¡º,21,46,42,1.335,28,73
2016-08,62,37~93,¡º,27,55,45,1.442,33,105
2016-09,56,35~76,¡º,30,62,40,1.527,33,59
2016-10,64,50~86,¡º,35,77,47,1.594,37,69
2016-11,65,41~80,¡º,36,79,47,1.563,45,58
2016-12,67,52~77,¡º,39,81,39,1.69,48,46
2017-01,70,46~94,¡º,45,85,53,2.087,47,58
2017-02,70,56~84,¡º,43,88,46,1.604,41,73
2017-03,59,36~78,¡º,36,67,29,1.181,32,95
2017-04,64,35~115,¡º,37,69,32,1.43,31,103
2017-05,67,41~90,¡º,32,67,30,1.435,26,113
2017-06,56,38~92,¡º,23,47,26,1.343,23,97
2017-07,57,33~91,¡º,28,54,32,1.49,28,88
2017-08,51,32~88,¡º,21,43,19,1.294,27,89
2017-09,48,30~71,”≈,24,48,28,1.537,30,71
2017-10,55,40~77,¡º,29,56,44,1.603,35,58
2017-11,69,40~93,¡º,43,83,47,2.097,51,59
2017-12,77,53~117,¡º,49,97,41,2.368,54,59
2018-01,74,44~113,¡º,49,93,53,2.339,51,65
2018-02,62,49~80,¡º,40,68,39,1.804,37,90
2018-03,74,56~96,¡º,43,73,39,1.645,40,127
2018-04,76,48~92,¡º,40,77,39,1.588,44,127
