月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,98,98~98,良,73,98,25,1,30,51
2015-01,83,42~122,良,61,80,18,0.903,19,74
2015-02,63,45~84,良,42,53,11,1.232,14,88
2015-03,71,36~126,良,50,58,12,0.839,17,109
2015-04,59,31~106,良,34,51,10,0.72,16,103
2015-05,60,25~97,良,40,42,10,0.894,14,101
2015-06,39,27~50,优,25,24,6,0.42,11,71
2015-07,57,32~87,良,35,47,8,0.561,15,94
2015-08,50,24~95,优,31,40,10,0.561,14,74
2015-09,42,23~74,优,29,36,8,0.49,13,59
2015-10,59,34~102,良,42,55,8,0.526,14,73
2015-11,51,33~68,良,35,45,13,0.597,15,62
2015-12,46,20~73,优,31,38,9,0.6,16,58
2016-01,48,29~62,优,33,46,9,0.658,17,75
2016-02,59,33~122,良,42,52,6,0.707,10,80
2016-03,69,34~97,良,45,65,7,0.732,14,114
2016-04,74,48~102,良,44,67,7,0.62,14,125
2016-05,58,31~97,良,27,44,6,0.552,12,105
2016-06,38,20~80,优,16,27,13,0.457,11,71
2016-07,31,20~48,优,13,25,11,0.49,13,59
2016-08,45,28~69,优,25,41,14,0.565,15,77
2016-09,50,33~67,良,30,47,18,0.567,23,87
2016-10,45,21~64,优,27,45,18,0.642,19,72
2016-11,39,23~74,优,23,40,14,0.753,16,62
2016-12,52,34~89,良,36,55,14,0.79,21,67
2017-01,36,20~74,优,21,31,11,0.6,12,58
2017-02,46,25~65,优,30,43,9,0.625,13,77
2017-03,57,23~95,良,32,51,11,0.742,15,98
2017-04,58,34~122,良,28,48,11,0.603,18,103
2017-05,68,35~102,良,24,42,11,0.577,15,120
2017-06,37,22~65,优,13,29,7,0.633,14,72
2017-07,37,18~82,优,13,29,12,0.587,13,69
2017-08,34,20~55,优,12,27,9,0.765,13,62
2017-09,36,25~51,优,15,32,10,0.777,11,65
2017-10,37,21~71,优,19,35,7,0.768,12,66
2017-11,51,25~94,良,32,55,12,0.91,17,69
2017-12,53,28~100,良,34,59,8,0.984,20,67
2018-01,43,25~74,优,26,43,6,0.719,16,66
2018-02,59,28~103,良,39,58,6,0.779,14,85
2018-03,64,38~87,良,41,66,6,0.835,15,110
2018-04,70,37~87,良,41,80,4,0.688,13,111
