‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,116,116~116,«·∂»Œ€»æ,80,181,50,1.7,19,42
2014-01,122,36~328,«·∂»Œ€»æ,93,112,34,1.755,12,67
2014-02,95,39~188,¡º,67,78,27,1.461,10,86
2014-03,85,42~139,¡º,56,94,25,1.752,22,107
2014-04,79,53~110,¡º,40,82,21,1.58,23,128
2014-05,86,48~171,¡º,47,84,20,1.052,21,137
2014-06,84,50~150,¡º,38,46,16,0.893,13,136
2014-07,95,38~180,¡º,41,55,16,0.797,9,150
2014-08,88,31~153,¡º,41,52,19,0.632,15,144
2014-09,65,37~99,¡º,30,40,20,0.787,20,117
2014-10,68,43~120,¡º,40,52,23,0.861,24,109
2014-11,90,34~217,¡º,64,75,34,1.08,31,69
2014-12,86,28~247,¡º,57,89,42,1.21,28,47
2015-01,76,26~266,¡º,54,71,31,1.303,28,48
2015-02,77,30~181,¡º,49,82,26,1.125,20,55
2015-03,68,32~131,¡º,41,78,21,1.177,23,69
2015-04,61,35~112,¡º,33,65,19,0.86,22,95
2015-05,65,43~129,¡º,24,51,19,1.048,20,114
2015-06,79,45~138,¡º,28,46,16,0.76,14,134
2015-07,54,25~98,¡º,21,33,18,0.713,12,98
2015-08,77,23~150,¡º,33,46,14,0.823,15,127
2015-09,70,42~105,¡º,21,35,19,0.833,20,123
2015-10,66,31~122,¡º,30,52,19,0.839,19,110
2015-11,61,28~129,¡º,41,57,22,1.027,23,74
2015-12,90,25~263,¡º,65,93,32,1.423,34,51
2016-01,75,34~203,¡º,51,76,29,1.003,30,66
2016-02,61,32~138,¡º,39,65,19,0.962,20,78
2016-03,67,36~146,¡º,39,77,15,0.913,20,97
2016-04,92,47~226,¡º,42,104,15,0.943,20,128
2016-05,93,45~149,¡º,33,65,14,0.613,20,148
2016-06,78,0~139,¡º,24,41,11,0.523,12,131
2016-07,62,31~104,¡º,22,38,10,0.523,10,112
2016-08,48,22~80,”≈,16,33,12,0.594,14,88
2016-09,63,35~97,¡º,25,46,10,0.807,15,114
2016-10,52,31~96,¡º,26,46,7,0.687,18,94
2016-11,61,30~120,¡º,40,66,10,0.787,25,72
2016-12,68,34~172,¡º,46,66,12,0.977,28,73
2017-01,71,34~183,¡º,47,65,11,1.045,25,82
2017-02,66,42~179,¡º,38,57,9,0.8,20,102
2017-03,73,48~117,¡º,36,70,10,0.652,24,126
2017-04,90,53~142,¡º,28,70,9,0.633,20,145
2017-05,82,39~154,¡º,24,69,7,0.506,13,131
2017-06,68,36~150,¡º,18,40,6,0.46,13,119
2017-07,61,27~111,¡º,24,48,8,0.623,11,108
2017-08,59,19~145,¡º,14,23,4,0.584,11,106
2017-09,88,43~155,¡º,21,42,6,0.67,14,145
2017-10,58,25~115,¡º,18,43,6,0.661,21,106
2017-11,50,31~100,¡º,21,50,7,0.753,22,80
2017-12,55,26~93,¡º,31,62,10,0.952,29,65
2018-01,57,30~112,¡º,31,66,10,1.016,33,66
2018-02,59,39~122,¡º,29,55,8,0.754,19,96
2018-03,68,39~128,¡º,32,57,6,0.713,24,119
2018-04,67,51~109,¡º,27,64,6,0.663,22,109
