‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2014-12,52,52~52,¡º,26,54,63,0.7,35,68
2015-01,75,18~128,¡º,54,94,55,1.31,44,45
2015-02,60,21~101,¡º,41,71,34,1.193,30,57
2015-03,55,31~77,¡º,37,63,32,0.961,25,51
2015-04,63,27~96,¡º,42,74,42,0.967,26,87
2015-05,64,29~146,¡º,40,73,35,1.332,19,89
2015-06,54,31~75,¡º,26,59,30,1.37,11,44
2015-07,57,32~138,¡º,33,62,24,1.558,13,50
2015-08,56,30~80,¡º,32,61,28,1.445,14,54
2015-09,56,35~67,¡º,35,63,22,1.367,17,62
2015-10,68,36~120,¡º,46,81,36,1.329,28,66
2015-11,54,34~84,¡º,31,58,30,1.52,32,21
2015-12,67,33~132,¡º,45,77,37,1.474,31,25
2016-01,68,32~144,¡º,45,76,31,1.558,33,32
2016-02,76,36~210,¡º,49,93,25,1.552,25,81
2016-03,77,34~124,¡º,51,100,41,1.39,34,82
2016-04,65,33~107,¡º,39,69,30,0.85,25,91
2016-05,61,37~101,¡º,37,70,26,1.158,22,78
2016-06,59,33~97,¡º,32,61,31,1.393,17,87
2016-07,55,36~86,¡º,31,58,28,1.513,18,76
2016-08,60,38~85,¡º,32,61,24,1.545,16,93
2016-09,68,34~104,¡º,44,78,24,1.463,22,91
2016-10,57,20~82,¡º,37,63,24,1.048,20,54
2016-11,64,23~127,¡º,44,74,32,1.077,34,38
2016-12,96,37~166,¡º,71,113,38,1.374,44,52
2017-01,109,50~326,«·∂»Œ€»æ,82,120,29,1.245,35,60
2017-02,88,35~149,¡º,65,99,28,0.946,31,78
2017-03,65,37~132,¡º,43,70,26,0.871,31,73
2017-04,69,34~97,¡º,44,78,34,1.033,29,100
2017-05,81,35~119,¡º,50,87,24,1.174,25,115
2017-06,55,37~86,¡º,32,58,24,1.02,22,72
2017-07,58,36~87,¡º,32,65,23,1.119,24,68
2017-08,53,34~72,¡º,27,55,15,0.974,20,87
2017-09,71,43~119,¡º,43,73,22,0.92,22,112
2017-10,65,30~103,¡º,43,74,28,0.8,22,94
2017-11,88,43~139,¡º,64,107,34,1.213,34,68
2017-12,93,38~148,¡º,68,116,36,1.097,44,60
2018-01,80,28~200,¡º,57,93,28,1.061,40,45
2018-02,80,36~204,¡º,56,93,17,1.161,31,89
2018-03,67,26~120,¡º,44,80,23,1.21,37,84
2018-04,74,55~89,¡º,42,96,25,1.088,26,85
