‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,196,55~413,÷–∂»Œ€»æ,157,213,63,1.867,72,40
2014-01,138,54~272,«·∂»Œ€»æ,105,148,40,1.216,65,49
2014-02,95,25~275,¡º,71,94,26,1.1,41,59
2014-03,96,55~162,¡º,70,115,30,1.042,56,83
2014-04,85,41~146,¡º,62,95,22,1.147,51,98
2014-05,111,51~194,«·∂»Œ€»æ,70,131,26,1.065,44,154
2014-06,108,42~202,«·∂»Œ€»æ,63,92,20,0.983,36,158
2014-07,105,34~175,«·∂»Œ€»æ,54,82,17,0.987,29,151
2014-08,84,29~172,¡º,50,77,21,1.103,33,121
2014-09,77,36~176,¡º,46,73,23,0.863,32,117
2014-10,90,60~152,¡º,58,100,29,0.939,40,119
2014-11,107,65~200,«·∂»Œ€»æ,80,122,37,1.24,52,68
2014-12,109,61~181,«·∂»Œ€»æ,81,136,46,1.548,54,43
2015-01,135,48~211,«·∂»Œ€»æ,101,147,40,1.5,53,49
2015-02,100,34~232,«·∂»Œ€»æ,74,106,24,1.071,37,71
2015-03,84,46~186,¡º,59,88,24,1.032,43,84
2015-04,97,63~185,¡º,63,105,26,0.925,45,131
2015-05,85,44~151,¡º,49,82,21,0.839,37,130
2015-06,81,33~140,¡º,44,73,18,0.877,32,121
2015-07,76,22~169,¡º,42,66,18,0.9,29,111
2015-08,87,30~155,¡º,42,68,22,0.974,31,135
2015-09,87,41~179,¡º,40,65,28,1.087,32,141
2015-10,88,46~145,¡º,60,100,31,0.877,47,119
2015-11,84,30~159,¡º,61,87,25,1.11,44,62
2015-12,131,63~250,«·∂»Œ€»æ,98,141,34,1.387,64,46
2016-01,109,48~211,«·∂»Œ€»æ,80,115,29,1.397,57,55
2016-02,92,39~165,¡º,67,102,22,1.366,46,84
2016-03,98,43~182,¡º,69,109,25,1.439,57,109
2016-04,101,49~167,«·∂»Œ€»æ,58,93,18,1.513,54,143
2016-05,102,44~168,«·∂»Œ€»æ,55,90,14,1.49,43,145
2016-06,79,33~137,¡º,41,60,10,0.753,37,125
2016-07,84,33~155,¡º,37,57,11,0.661,32,131
2016-08,88,36~156,¡º,28,50,12,0.613,30,143
2016-09,84,25~175,¡º,40,63,13,0.703,39,126
2016-10,60,37~89,¡º,32,52,14,0.858,43,70
2016-11,83,32~166,¡º,54,92,22,1.103,60,58
2016-12,104,50~190,«·∂»Œ€»æ,73,114,24,1.271,64,59
2017-01,87,41~202,¡º,60,90,18,1.1,52,58
2017-02,86,41~144,¡º,61,90,17,1.107,49,85
2017-03,78,53~114,¡º,53,88,16,1.013,52,97
2017-04,94,56~133,¡º,50,95,15,1.003,53,132
2017-05,114,41~187,«·∂»Œ€»æ,37,80,13,0.952,39,164
2017-06,101,40~199,«·∂»Œ€»æ,38,63,11,0.933,34,151
2017-07,90,37~184,¡º,26,51,9,0.681,25,144
2017-08,79,33~157,¡º,26,49,7,0.845,27,131
2017-09,72,43~151,¡º,31,56,9,0.993,41,109
2017-10,65,34~131,¡º,33,62,11,0.942,42,89
2017-11,87,44~142,¡º,52,100,15,1.163,63,63
2017-12,107,54~288,«·∂»Œ€»æ,74,125,18,1.384,71,50
2018-01,111,34~255,«·∂»Œ€»æ,79,114,15,1.435,57,51
2018-02,82,41~212,¡º,56,94,13,1.254,44,80
2018-03,76,40~117,¡º,45,79,12,1.077,55,98
2018-04,89,56~128,¡º,41,100,12,0.95,46,118
