‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,144,55~359,«·∂»Œ€»æ,110,168,86,1.45,62,43
2014-01,144,53~259,«·∂»Œ€»æ,108,171,61,1.613,54,50
2014-02,92,39~252,¡º,66,99,35,0.954,31,81
2014-03,112,57~299,«·∂»Œ€»æ,76,149,36,1.274,47,98
2014-04,95,63~205,¡º,57,113,22,0.78,39,121
2014-05,100,39~170,«·∂»Œ€»æ,58,132,26,0.784,39,132
2014-06,73,27~176,¡º,46,78,16,0.573,29,99
2014-07,75,37~170,¡º,45,78,17,0.703,23,116
2014-08,81,34~136,¡º,42,74,17,0.716,24,136
2014-09,69,41~102,¡º,37,66,15,0.653,24,114
2014-10,80,46~158,¡º,50,96,22,0.716,36,108
2014-11,113,50~251,«·∂»Œ€»æ,81,137,35,1.063,42,70
2014-12,116,58~287,«·∂»Œ€»æ,84,147,55,1.394,52,42
2015-01,119,46~264,«·∂»Œ€»æ,86,134,42,1.284,47,56
2015-02,107,50~206,«·∂»Œ€»æ,75,129,38,1.282,40,79
2015-03,95,45~188,¡º,61,124,25,1.071,41,102
2015-04,90,52~198,¡º,55,109,19,0.903,39,135
2015-05,82,50~144,¡º,47,90,22,0.684,38,129
2015-06,81,39~185,¡º,45,83,22,0.703,29,125
2015-07,77,33~143,¡º,40,70,17,0.719,21,122
2015-08,79,28~148,¡º,41,72,15,0.884,24,128
2015-09,78,46~124,¡º,36,69,18,0.963,32,130
2015-10,97,52~188,¡º,65,117,24,1.187,45,122
2015-11,92,29~252,¡º,67,93,24,1.113,37,64
2015-12,157,50~396,÷–∂»Œ€»æ,120,166,45,1.674,53,47
2016-01,147,46~332,«·∂»Œ€»æ,113,162,50,1.597,52,53
2016-02,92,36~212,¡º,65,105,32,1.434,37,82
2016-03,101,52~218,«·∂»Œ€»æ,65,133,22,1.003,42,88
2016-04,108,43~290,«·∂»Œ€»æ,66,145,17,0.747,37,113
2016-05,93,56~182,¡º,55,105,18,0.713,41,133
2016-06,87,39~155,¡º,40,68,15,0.593,31,140
2016-07,73,21~128,¡º,35,63,13,0.523,26,120
2016-08,69,25~170,¡º,23,48,13,0.629,28,115
2016-09,81,30~192,¡º,43,75,13,0.8,37,126
2016-10,63,30~104,¡º,38,67,13,0.794,34,84
2016-11,93,38~206,¡º,65,110,20,1.013,46,64
2016-12,122,35~290,«·∂»Œ€»æ,92,130,26,1.371,49,57
2017-01,119,39~294,«·∂»Œ€»æ,89,125,25,1.442,43,65
2017-02,98,46~186,¡º,69,103,22,1.036,42,79
2017-03,79,53~156,¡º,54,86,16,0.81,39,99
2017-04,82,58~130,¡º,47,99,15,0.723,36,126
2017-05,104,45~266,«·∂»Œ€»æ,45,118,13,0.645,34,139
2017-06,80,39~169,¡º,31,59,12,0.51,27,134
2017-07,73,21~114,¡º,34,61,12,0.665,28,123
2017-08,72,29~138,¡º,24,49,12,0.603,25,118
2017-09,78,41~131,¡º,29,60,11,0.743,35,132
2017-10,66,32~142,¡º,34,70,9,0.758,41,92
2017-11,84,46~158,¡º,49,107,15,0.753,49,72
2017-12,96,43~193,¡º,65,120,18,1.081,53,60
2018-01,113,36~310,«·∂»Œ€»æ,81,128,20,1.139,50,63
2018-02,82,44~129,¡º,53,94,17,0.882,36,81
2018-03,87,48~188,¡º,58,102,14,0.845,42,97
2018-04,74,57~108,¡º,41,97,9,0.725,31,92
