‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,96,96~96,¡º,71,139,54,1.7,79,72
2014-01,119,48~229,«·∂»Œ€»æ,88,125,43,1.168,51,70
2014-02,101,32~312,«·∂»Œ€»æ,75,78,33,1.214,35,73
2014-03,86,44~175,¡º,60,97,47,1.048,46,101
2014-04,76,39~127,¡º,49,83,36,0.707,44,110
2014-05,98,44~178,¡º,59,114,37,1.019,45,141
2014-06,74,29~183,¡º,43,73,28,1.233,35,116
2014-07,74,40~143,¡º,38,66,23,1.413,31,113
2014-08,65,27~137,¡º,33,57,30,1.065,32,107
2014-09,65,31~142,¡º,31,56,22,0.85,37,109
2014-10,78,52~158,¡º,40,77,28,0.987,49,116
2014-11,74,38~159,¡º,51,84,35,1.52,52,79
2014-12,98,48~166,¡º,71,121,47,1.758,61,47
2015-01,107,32~220,«·∂»Œ€»æ,79,115,40,1.868,54,54
2015-02,88,30~211,¡º,63,105,31,1.575,34,76
2015-03,76,45~140,¡º,49,86,27,1.106,39,91
2015-04,86,43~144,¡º,51,86,29,1.353,37,123
2015-05,80,50~147,¡º,40,72,25,0.935,36,128
2015-06,85,41~200,¡º,39,75,23,0.87,42,132
2015-07,81,26~201,¡º,35,58,21,0.684,35,126
2015-08,94,30~169,¡º,39,64,23,0.748,31,144
2015-09,93,38~186,¡º,30,55,25,0.797,35,146
2015-10,84,45~150,¡º,47,93,25,1.032,57,124
2015-11,81,30~166,¡º,56,77,22,1.183,52,45
2015-12,115,59~244,«·∂»Œ€»æ,82,124,31,1.226,63,38
2016-01,100,35~206,«·∂»Œ€»æ,70,107,26,1.139,59,54
2016-02,83,39~183,¡º,57,92,22,0.907,42,82
2016-03,84,38~166,¡º,58,97,22,0.855,47,92
2016-04,86,48~150,¡º,53,90,19,0.883,49,121
2016-05,78,42~155,¡º,44,83,17,0.8,35,115
2016-06,67,35~117,¡º,32,55,13,0.747,35,106
2016-07,75,0~144,¡º,33,57,12,0.732,33,114
2016-08,65,23~124,¡º,23,41,14,0.648,21,112
2016-09,67,17~149,¡º,36,56,16,0.81,33,103
2016-10,46,24~82,”≈,24,40,15,0.765,29,60
2016-11,74,0~117,¡º,44,76,17,0.863,54,47
2016-12,93,36~178,¡º,64,98,20,0.923,57,54
2017-01,73,33~159,¡º,49,75,13,0.9,42,58
2017-02,78,32~155,¡º,52,84,13,0.879,46,85
2017-03,73,45~109,¡º,42,77,15,0.806,51,106
2017-04,91,52~130,¡º,46,90,17,0.82,54,125
2017-05,99,40~177,¡º,33,65,15,0.606,38,151
2017-06,90,39~196,¡º,33,53,14,0.723,35,139
2017-07,108,34~204,«·∂»Œ€»æ,31,60,13,0.69,31,165
2017-08,90,30~171,¡º,27,50,13,0.748,28,143
2017-09,73,36~199,¡º,30,54,12,0.82,32,109
2017-10,56,36~102,¡º,26,50,11,0.694,31,88
2017-11,82,33~132,¡º,45,83,13,0.917,61,66
2017-12,103,48~334,«·∂»Œ€»æ,66,116,15,1.148,68,47
2018-01,112,32~334,«·∂»Œ€»æ,78,106,13,1.077,53,68
2018-02,75,42~182,¡º,47,79,10,0.961,37,90
2018-03,72,38~136,¡º,38,65,12,0.752,44,105
2018-04,77,44~114,¡º,33,84,13,0.65,35,116
