‘¬∑›,AQI,∑∂Œß,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3
2013-12,75,24~115,¡º,51,94,26,1.363,45,52
2014-01,66,42~110,¡º,44,76,27,1.294,41,61
2014-02,50,29~71,”≈,28,53,22,1.046,28,78
2014-03,72,45~102,¡º,46,92,28,1.106,40,98
2014-04,77,58~104,¡º,51,97,22,1.323,39,124
2014-05,58,46~83,¡º,29,61,16,1.071,30,103
2014-06,44,27~59,”≈,22,42,14,1.02,28,76
2014-07,45,17~79,”≈,22,45,14,0.865,29,72
2014-08,44,24~78,”≈,22,44,18,0.726,29,66
2014-09,46,22~64,”≈,22,47,19,0.8,30,63
2014-10,61,35~85,¡º,36,71,21,1.119,34,70
2014-11,55,27~74,¡º,27,61,16,1.09,32,52
2014-12,63,51~101,¡º,40,73,20,1.323,37,52
2015-01,55,23~82,¡º,34,60,21,1.323,37,57
2015-02,51,37~69,¡º,31,53,19,1.032,27,79
2015-03,61,43~126,¡º,38,67,21,1.09,31,98
2015-04,57,37~89,¡º,33,62,18,0.99,28,95
2015-05,60,30~88,¡º,30,59,18,0.81,24,108
2015-06,40,25~65,”≈,19,36,12,0.74,19,78
2015-07,66,31~125,¡º,30,55,16,0.7,28,111
2015-08,46,27~106,”≈,22,43,15,0.794,26,71
2015-09,45,32~62,”≈,23,46,13,0.827,27,63
2015-10,55,29~82,¡º,29,60,19,0.816,31,80
2015-11,53,32~87,¡º,26,58,20,0.983,32,63
2015-12,55,32~90,¡º,33,61,16,1.365,33,60
2016-01,54,36~86,¡º,31,59,18,0.971,33,76
2016-02,61,42~89,¡º,39,60,15,1.248,22,82
2016-03,64,42~92,¡º,37,68,17,1.442,25,112
2016-04,65,50~83,¡º,32,63,19,1.22,24,116
2016-05,59,28~92,¡º,26,51,15,0.877,23,105
2016-06,44,23~100,”≈,15,34,15,0.857,21,75
2016-07,38,22~66,”≈,17,38,18,0.771,21,63
2016-08,50,28~92,”≈,23,45,18,0.716,27,94
2016-09,51,28~70,¡º,28,52,16,0.777,28,80
2016-10,54,33~83,¡º,27,60,15,0.897,32,64
2016-11,58,36~86,¡º,26,67,16,0.95,37,62
2016-12,66,45~112,¡º,36,82,18,1.097,40,62
2017-01,55,41~80,¡º,26,60,15,0.942,32,73
2017-02,60,47~77,¡º,35,69,15,0.879,33,86
2017-03,67,37~86,¡º,39,83,17,1.013,39,104
2017-04,63,39~92,¡º,32,69,13,1.013,30,104
2017-05,69,41~110,¡º,28,66,14,0.935,29,119
2017-06,49,28~90,”≈,17,41,12,0.763,24,83
2017-07,46,28~84,”≈,21,43,16,0.723,29,73
2017-08,43,25~74,”≈,20,42,16,0.745,28,67
2017-09,44,29~70,”≈,20,44,14,0.81,27,64
2017-10,46,24~79,”≈,22,46,12,0.916,31,59
2017-11,63,38~98,¡º,38,74,19,1.097,40,63
2017-12,68,45~133,¡º,44,79,17,1.113,42,62
2018-01,59,39~83,¡º,33,65,16,1.006,37,68
2018-02,66,50~90,¡º,40,66,13,0.971,33,97
2018-03,78,55~110,¡º,47,82,15,0.977,40,130
2018-04,83,50~100,¡º,45,91,15,0.938,38,133
